Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-08-14
Time (HH:MM:SS):	13:05:45
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	10
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	         1951 	
        2	         2020 	
        3	         1925 	
        4	         1938 	
        5	         2026 	
        6	         1928 	
        7	         1909 	
        8	         1869 	
        9	         1924 	
       10	         1929 	
       11	         1973 	
       12	         1966 	
       13	         1838 	
       14	         1900 	
       15	         1947 	
       16	         1863 	
       17	         1883 	
       18	         1883 	
       19	         1934 	
       20	         1888 	
       21	         1925 	
       22	         1879 	
       23	         1919 	
       24	         1924 	
       25	         1854 	
       26	         1946 	
       27	         1911 	
       28	         1960 	
       29	         1857 	
       30	         1848 	
       31	         1920 	
       32	         1909 	
       33	         2024 	
       34	         1959 	
       35	         1973 	
       36	         1961 	
       37	         2048 	
       38	         1968 	
       39	         1965 	
       40	         1984 	
       41	         1892 	
       42	         1982 	
       43	         1990 	
       44	         1912 	
       45	         1977 	
       46	         2007 	
       47	         2074 	
       48	         2045 	
       49	         2022 	
       50	         1986 	
       51	         2049 	
       52	         1988 	
       53	         2025 	
       54	         2027 	
       55	         1976 	
       56	         1903 	
       57	         2000 	
       58	         2015 	
       59	         1958 	
       60	         1916 	
       61	         2007 	
       62	         1925 	
       63	         1982 	
       64	         1949 	
       65	         1884 	
       66	         1951 	
       67	         1980 	
       68	         1924 	
       69	         1912 	
       70	         1904 	
       71	         1886 	
       72	         1900 	
       73	         1889 	
       74	         1955 	
       75	         2009 	
       76	         1920 	
       77	         1887 	
       78	         1905 	
       79	         1825 	
       80	         1995 	
       81	         1905 	
       82	         1959 	
       83	         1995 	
       84	         1843 	
       85	         1971 	
       86	         1836 	
       87	         1933 	
       88	         1833 	
       89	         1889 	
       90	         1981 	
       91	         1871 	
       92	         1988 	
       93	         1898 	
       94	         1874 	
       95	         1928 	
       96	         1816 	
       97	         1944 	
       98	         1984 	
       99	         1833 	
      100	         1884 	
      101	         1931 	
      102	         1967 	
      103	         1991 	
      104	         1842 	
      105	         1905 	
      106	         1894 	
      107	         1925 	
      108	         1978 	
      109	         1920 	
      110	         1927 	
      111	         1855 	
