Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-08-15
Time (HH:MM:SS):	15:09:04
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	10
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	         6119 	
        2	         6158 	
        3	         6258 	
        4	         6312 	
        5	         6173 	
        6	         6225 	
        7	         6126 	
        8	         6394 	
        9	         6323 	
       10	         6024 	
       11	         6193 	
       12	         6241 	
       13	         6251 	
       14	         6171 	
       15	         6198 	
       16	         6188 	
       17	         6203 	
       18	         6270 	
       19	         6230 	
       20	         6340 	
       21	         6302 	
       22	         6203 	
       23	         6324 	
       24	         6228 	
       25	         6201 	
       26	         6328 	
       27	         6152 	
       28	         6340 	
       29	         6359 	
       30	         6338 	
       31	         6260 	
       32	         6373 	
       33	         6395 	
       34	         6405 	
       35	         6267 	
       36	         6156 	
       37	         6444 	
       38	         6235 	
       39	         6312 	
       40	         6342 	
       41	         6261 	
       42	         6454 	
       43	         6252 	
       44	         6251 	
       45	         6263 	
       46	         6337 	
       47	         6265 	
       48	         6372 	
       49	         6337 	
       50	         6299 	
       51	         6366 	
       52	         6405 	
       53	         6358 	
       54	         6355 	
       55	         6196 	
       56	         6405 	
       57	         6267 	
       58	         6074 	
       59	         6259 	
       60	         6197 	
       61	         6404 	
       62	         6081 	
       63	         6233 	
       64	         6147 	
       65	         6240 	
       66	         6194 	
       67	         6407 	
       68	         6195 	
       69	         6195 	
       70	         6238 	
       71	         6279 	
       72	         6024 	
       73	         6239 	
       74	         6247 	
       75	         6218 	
       76	         6329 	
       77	         6257 	
       78	         6373 	
       79	         6271 	
       80	         6185 	
       81	         6224 	
       82	         6245 	
       83	         6173 	
       84	         6175 	
       85	         6393 	
       86	         6312 	
       87	         6269 	
       88	         6399 	
       89	         6276 	
       90	         6108 	
       91	         6166 	
       92	         6340 	
       93	         6152 	
       94	         6195 	
       95	         6203 	
       96	         6098 	
       97	         6187 	
       98	         6096 	
       99	         6083 	
      100	         6308 	
      101	         6343 	
      102	         6242 	
      103	         6179 	
      104	         6145 	
      105	         6224 	
      106	         6192 	
      107	         6354 	
      108	         6196 	
      109	         6143 	
      110	         6101 	
      111	         6263 	
      112	         6346 	
      113	         6214 	
      114	         6266 	
      115	         6372 	
      116	         6098 	
      117	         6168 	
      118	         6291 	
      119	         6342 	
      120	         6221 	
      121	         6242 	
      122	         6228 	
      123	         6230 	
      124	         6250 	
      125	         6179 	
      126	         6225 	
      127	         6096 	
      128	         6225 	
      129	         6182 	
      130	         6203 	
      131	         6155 	
      132	         6106 	
      133	         6237 	
      134	         6137 	
      135	         6252 	
      136	         6169 	
      137	         6122 	
      138	         6022 	
      139	         6193 	
      140	         6266 	
      141	         6187 	
      142	         6190 	
      143	         6166 	
      144	         6213 	
      145	         6281 	
