Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-08-15
Time (HH:MM:SS):	15:16:03
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	10
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	         5938 	
        2	         5893 	
        3	         5904 	
        4	         5984 	
        5	         6078 	
        6	         5966 	
        7	         5889 	
        8	         5995 	
        9	         5866 	
       10	         5973 	
       11	         6036 	
       12	         5866 	
       13	         5900 	
       14	         5896 	
       15	         5898 	
       16	         5947 	
       17	         6055 	
       18	         5979 	
       19	         5905 	
       20	         5832 	
       21	         5923 	
       22	         5913 	
       23	         5997 	
       24	         5935 	
       25	         6080 	
       26	         5999 	
       27	         5969 	
       28	         5986 	
       29	         5964 	
       30	         5985 	
       31	         5996 	
       32	         5902 	
       33	         5864 	
       34	         5810 	
       35	         5972 	
       36	         5820 	
       37	         5782 	
       38	         5875 	
       39	         5811 	
       40	         5968 	
       41	         5955 	
       42	         5945 	
       43	         5942 	
       44	         6047 	
       45	         5836 	
       46	         5941 	
       47	         6144 	
       48	         6020 	
       49	         6031 	
       50	         5927 	
       51	         6000 	
       52	         5924 	
       53	         5956 	
       54	         6067 	
       55	         5917 	
       56	         6064 	
       57	         5814 	
       58	         5915 	
       59	         5950 	
       60	         6047 	
       61	         6125 	
       62	         5983 	
       63	         5970 	
       64	         5738 	
       65	         5966 	
       66	         6081 	
       67	         5888 	
       68	         5937 	
       69	         5964 	
       70	         5939 	
       71	         6104 	
       72	         6019 	
       73	         5985 	
       74	         5928 	
       75	         5975 	
       76	         6003 	
       77	         5728 	
       78	         5780 	
       79	         6050 	
       80	         5844 	
       81	         5828 	
       82	         5862 	
       83	         5998 	
       84	         5908 	
       85	         5893 	
       86	         5865 	
       87	         5896 	
       88	         5855 	
       89	         5966 	
       90	         5846 	
       91	         5843 	
       92	         5868 	
       93	         5908 	
       94	         6054 	
       95	         6124 	
       96	         6047 	
       97	         6049 	
       98	         5948 	
       99	         5930 	
      100	         5925 	
      101	         5933 	
      102	         5819 	
      103	         5894 	
      104	         5880 	
      105	         5967 	
      106	         5934 	
      107	         5987 	
      108	         5942 	
      109	         6068 	
      110	         5883 	
      111	         5850 	
      112	         5979 	
      113	         6074 	
      114	         5848 	
      115	         5858 	
      116	         5978 	
      117	         6000 	
      118	         5876 	
      119	         5770 	
      120	         5760 	
      121	         5890 	
      122	         5953 	
      123	         5986 	
      124	         5935 	
      125	         5872 	
      126	         5965 	
      127	         5995 	
      128	         5854 	
      129	         5871 	
      130	         5887 	
      131	         5909 	
      132	         5936 	
      133	         5843 	
      134	         5987 	
      135	         5918 	
      136	         5926 	
      137	         6075 	
      138	         5983 	
      139	         5959 	
      140	         6009 	
      141	         6100 	
      142	         6095 	
      143	         6027 	
      144	         5932 	
      145	         6036 	
