Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-08-13
Time (HH:MM:SS):	13:29:28
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	10
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	          308 	
        2	          276 	
        3	          284 	
        4	          268 	
        5	          279 	
        6	          283 	
        7	          302 	
        8	          329 	
        9	          248 	
       10	          278 	
       11	          270 	
       12	          275 	
       13	          259 	
       14	          265 	
       15	          287 	
       16	          292 	
       17	          305 	
       18	          294 	
       19	          309 	
       20	          254 	
       21	          289 	
       22	          287 	
       23	          285 	
       24	          278 	
       25	          286 	
       26	          300 	
       27	          280 	
       28	          305 	
       29	          276 	
       30	          269 	
       31	          272 	
       32	          281 	
       33	          290 	
       34	          281 	
       35	          293 	
       36	          286 	
       37	          304 	
       38	          296 	
       39	          284 	
       40	          302 	
       41	          280 	
       42	          277 	
       43	          293 	
       44	          250 	
       45	          277 	
       46	          276 	
       47	          277 	
       48	          266 	
       49	          288 	
       50	          291 	
       51	          292 	
       52	          291 	
       53	          286 	
       54	          291 	
       55	          281 	
       56	          287 	
       57	          299 	
       58	          303 	
       59	          281 	
       60	          288 	
       61	          298 	
       62	          245 	
       63	          276 	
       64	          255 	
       65	          290 	
       66	          270 	
       67	          261 	
       68	          288 	
       69	          291 	
       70	          284 	
       71	          307 	
       72	          275 	
       73	          285 	
       74	          340 	
       75	          285 	
       76	          275 	
       77	          258 	
       78	          288 	
       79	          279 	
       80	          317 	
       81	          281 	
       82	          288 	
       83	          295 	
       84	          293 	
       85	          303 	
       86	          287 	
       87	          254 	
       88	          278 	
       89	          273 	
       90	          268 	
       91	          274 	
       92	          273 	
       93	          283 	
       94	          286 	
       95	          263 	
       96	          287 	
       97	          283 	
       98	          285 	
       99	          285 	
      100	          295 	
      101	          294 	
      102	          255 	
      103	          289 	
      104	          248 	
      105	          288 	
      106	          298 	
      107	          291 	
      108	          313 	
      109	          289 	
      110	          287 	
      111	          281 	
      112	          268 	
      113	          274 	
      114	          256 	
      115	          271 	
      116	          276 	
      117	          285 	
      118	          308 	
      119	          309 	
      120	          292 	
      121	          241 	
      122	          267 	
      123	          294 	
      124	          262 	
      125	          294 	
      126	          259 	
      127	          290 	
      128	          256 	
      129	          271 	
      130	          273 	
      131	          313 	
      132	          281 	
      133	          278 	
      134	          278 	
      135	          273 	
      136	          318 	
      137	          251 	
      138	          313 	
      139	          296 	
      140	          263 	
      141	          305 	
      142	          276 	
      143	          283 	
      144	          252 	
      145	          269 	
