Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-08-07
Time (HH:MM:SS):	14:11:33
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	10
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	Yes

Bin Number 	Counts per Bin 	Remarks
        1	         1056 	
        2	          957 	
        3	         1024 	
        4	          995 	
        5	         1025 	
        6	          978 	
        7	         1002 	
        8	          975 	
        9	         1051 	
       10	         1037 	
       11	          959 	
       12	         1074 	
       13	          995 	
       14	         1026 	
       15	          961 	
       16	          970 	
       17	          978 	
       18	         1014 	
       19	         1017 	
       20	          997 	
       21	          998 	
       22	          995 	
       23	          989 	
       24	          970 	
       25	          955 	
       26	          941 	
       27	         1045 	
       28	          993 	
       29	         1014 	
       30	          990 	
       31	         1002 	
       32	         1012 	
       33	          931 	
       34	          967 	
       35	         1058 	
       36	         1039 	
       37	         1003 	
       38	         1015 	
       39	         1033 	
       40	         1000 	
       41	          977 	
       42	          964 	
       43	         1037 	
       44	          922 	
       45	          998 	
       46	         1027 	
       47	          985 	
       48	          988 	
       49	          990 	
       50	         1011 	
       51	         1031 	
       52	         1011 	
       53	         1008 	
       54	         1006 	
       55	          985 	
       56	          988 	
       57	         1010 	
       58	         1002 	
       59	          926 	
       60	         1003 	
       61	          979 	
       62	          967 	
       63	         1008 	
       64	          937 	
       65	          958 	
       66	         1009 	
       67	          966 	
       68	          973 	
       69	         1013 	
       70	         1001 	
       71	         1024 	
       72	         1045 	
       73	         1027 	
       74	         1003 	
       75	         1003 	
       76	          977 	
       77	         1027 	
       78	         1029 	
       79	          973 	
       80	         1011 	
       81	         1008 	
       82	         1008 	
       83	          994 	
       84	         1014 	
       85	         1061 	
       86	         1014 	
       87	          956 	
       88	          986 	
       89	         1035 	
       90	         1010 	
       91	         1004 	
       92	          989 	
       93	         1007 	
       94	         1062 	
       95	          974 	
       96	         1031 	
       97	         1077 	
       98	         1052 	
       99	         1039 	
      100	         1054 	
      101	         1076 	
      102	          913 	
      103	         1027 	
      104	         1015 	
      105	         1082 	
      106	         1036 	
      107	         1074 	
      108	         1099 	
      109	         1048 	
      110	         1047 	
      111	         1005 	
      112	          957 	
      113	          980 	
      114	         1006 	
      115	         1024 	
      116	          962 	
      117	         1074 	
      118	         1047 	
      119	         1024 	
      120	         1009 	
      121	          960 	
      122	         1065 	
      123	         1048 	
      124	          996 	
      125	         1027 	
      126	         1079 	
      127	         1011 	
      128	         1039 	
      129	          979 	
      130	          960 	
      131	          959 	
      132	          995 	
      133	         1007 	
      134	         1005 	
      135	          977 	
      136	          995 	
      137	          948 	
      138	          986 	
      139	         1012 	
      140	         1013 	
      141	         1032 	
      142	          980 	
      143	          987 	
      144	         1077 	
      145	         1072 	
