Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-08-14
Time (HH:MM:SS):	15:04:47
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	10
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	         2809 	
        2	         2623 	
        3	         2704 	
        4	         2686 	
        5	         2652 	
        6	         2723 	
        7	         2726 	
        8	         2785 	
        9	         2752 	
       10	         2667 	
       11	         2638 	
       12	         2745 	
       13	         2723 	
       14	         2770 	
       15	         2717 	
       16	         2629 	
       17	         2668 	
       18	         2678 	
       19	         2760 	
       20	         2636 	
       21	         2763 	
       22	         2593 	
       23	         2752 	
       24	         2742 	
       25	         2728 	
       26	         2625 	
       27	         2614 	
       28	         2738 	
       29	         2764 	
       30	         2726 	
       31	         2667 	
       32	         2692 	
       33	         2725 	
       34	         2653 	
       35	         2639 	
       36	         2799 	
       37	         2722 	
       38	         2700 	
       39	         2710 	
       40	         2770 	
       41	         2663 	
       42	         2660 	
       43	         2693 	
       44	         2825 	
       45	         2718 	
       46	         2659 	
       47	         2775 	
       48	         2803 	
       49	         2815 	
       50	         2913 	
       51	         2717 	
       52	         2742 	
       53	         2654 	
       54	         2728 	
       55	         2675 	
       56	         2781 	
       57	         2817 	
       58	         2724 	
       59	         2799 	
       60	         2687 	
       61	         2768 	
       62	         2657 	
       63	         2663 	
       64	         2666 	
       65	         2754 	
       66	         2797 	
       67	         2869 	
       68	         2756 	
       69	         2729 	
       70	         2703 	
       71	         2846 	
       72	         2772 	
       73	         2779 	
       74	         2748 	
       75	         2878 	
       76	         2867 	
       77	         2902 	
       78	         2945 	
       79	         2832 	
       80	         2868 	
       81	         2883 	
       82	         2840 	
       83	         2781 	
       84	         2883 	
       85	         2897 	
       86	         2929 	
       87	         2957 	
       88	         2976 	
       89	         2979 	
       90	         2878 	
       91	         2961 	
       92	         2888 	
       93	         2968 	
       94	         3037 	
       95	         2886 	
       96	         2869 	
       97	         2949 	
       98	         2898 	
       99	         2959 	
      100	         2956 	
      101	         2839 	
      102	         2977 	
      103	         2948 	
      104	         2902 	
      105	         2897 	
      106	         2848 	
      107	         2899 	
      108	         2841 	
      109	         2866 	
      110	         2903 	
      111	         2874 	
      112	         2873 	
      113	         2800 	
      114	         2874 	
      115	         2855 	
      116	         2921 	
      117	         2965 	
      118	         2882 	
      119	         2947 	
      120	         2907 	
      121	         2845 	
      122	         2873 	
      123	         2867 	
      124	         2899 	
      125	         2945 	
      126	         3021 	
      127	         2913 	
      128	         2984 	
      129	         2878 	
      130	         2913 	
      131	         2858 	
      132	         2953 	
      133	         2773 	
      134	         2796 	
      135	         2805 	
      136	         2813 	
      137	         2879 	
      138	         2830 	
      139	         2597 	
      140	         2741 	
      141	         2791 	
      142	         2713 	
      143	         2783 	
      144	         2753 	
      145	         2702 	
