Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-08-10
Time (HH:MM:SS):	10:38:49
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	10
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	          632 	
        2	          673 	
        3	          649 	
        4	          660 	
        5	          600 	
        6	          595 	
        7	          653 	
        8	          697 	
        9	          687 	
       10	          696 	
       11	          656 	
       12	          676 	
       13	          678 	
       14	          627 	
       15	          645 	
       16	          675 	
       17	          667 	
       18	          660 	
       19	          667 	
       20	          634 	
       21	          596 	
       22	          682 	
       23	          606 	
       24	          672 	
       25	          737 	
       26	          764 	
       27	          722 	
       28	          785 	
       29	          688 	
       30	          722 	
       31	          688 	
       32	          682 	
       33	          687 	
       34	          652 	
       35	          629 	
       36	          634 	
       37	          641 	
       38	          624 	
       39	          621 	
       40	          630 	
       41	          648 	
       42	          641 	
       43	          717 	
       44	          695 	
       45	          699 	
       46	          769 	
       47	          794 	
       48	          720 	
       49	          760 	
       50	          739 	
       51	          703 	
       52	          756 	
       53	          714 	
       54	          694 	
       55	          672 	
       56	          666 	
       57	          732 	
       58	          721 	
       59	          662 	
       60	          683 	
       61	          685 	
       62	          706 	
       63	          714 	
       64	          685 	
       65	          675 	
       66	          779 	
       67	          711 	
       68	          712 	
       69	          751 	
       70	          719 	
       71	          709 	
       72	          679 	
       73	          713 	
       74	          701 	
       75	          728 	
       76	          684 	
       77	          647 	
       78	          650 	
       79	          607 	
       80	          653 	
       81	          623 	
       82	          624 	
       83	          623 	
       84	          649 	
       85	          634 	
       86	          611 	
       87	          627 	
       88	          628 	
       89	          638 	
       90	          674 	
       91	          604 	
       92	          599 	
       93	          626 	
       94	          601 	
       95	          665 	
       96	          657 	
       97	          640 	
       98	          652 	
       99	          609 	
      100	          616 	
      101	          660 	
      102	          677 	
      103	          621 	
      104	          616 	
      105	          611 	
      106	          588 	
      107	          707 	
      108	          767 	
      109	          735 	
      110	          766 	
      111	          710 	
      112	          661 	
      113	          678 	
      114	          770 	
      115	          702 	
      116	          694 	
      117	          716 	
      118	          651 	
      119	          699 	
      120	          709 	
      121	          712 	
      122	          732 	
      123	          741 	
      124	          735 	
      125	          737 	
      126	          720 	
      127	          701 	
      128	          759 	
      129	          742 	
      130	          745 	
      131	          715 	
      132	          742 	
      133	          758 	
      134	          726 	
      135	          766 	
      136	          746 	
      137	          762 	
      138	          726 	
      139	          761 	
      140	          693 	
      141	          666 	
      142	          635 	
      143	          661 	
      144	          625 	
      145	          691 	
