Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-07-12
Time (HH:MM:SS):	15:21:49
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	            5 	
        2	           11 	
        3	           10 	
        4	            6 	
        5	            5 	
        6	            5 	
        7	           11 	
        8	            7 	
        9	            3 	
       10	            8 	
       11	            6 	
       12	            6 	
       13	            5 	
       14	            8 	
       15	           10 	
       16	            6 	
       17	            8 	
       18	            7 	
       19	            2 	
       20	            9 	
       21	           12 	
       22	           10 	
       23	            4 	
       24	           10 	
       25	            3 	
       26	            7 	
       27	            9 	
       28	            3 	
       29	            5 	
       30	           10 	
       31	            8 	
       32	            7 	
       33	            6 	
       34	           10 	
       35	            4 	
       36	            4 	
       37	            7 	
       38	            7 	
       39	           10 	
       40	           10 	
       41	            8 	
       42	            9 	
       43	           10 	
       44	           16 	
       45	            5 	
       46	            7 	
       47	            7 	
       48	            6 	
       49	            8 	
       50	            3 	
       51	            6 	
       52	            8 	
       53	            5 	
       54	            7 	
       55	            9 	
       56	           10 	
       57	            6 	
       58	           10 	
       59	            8 	
       60	            6 	
       61	            6 	
       62	           11 	
       63	           15 	
       64	            7 	
       65	            8 	
       66	            5 	
       67	           10 	
       68	            9 	
       69	           13 	
       70	            5 	
       71	            7 	
       72	            3 	
       73	            4 	
       74	            6 	
       75	            9 	
       76	           11 	
       77	            6 	
       78	            6 	
       79	           13 	
       80	            6 	
       81	           12 	
       82	            9 	
       83	            7 	
       84	            7 	
       85	           12 	
       86	            5 	
       87	            7 	
       88	            6 	
       89	           12 	
       90	            7 	
       91	            6 	
       92	            5 	
       93	            5 	
       94	            7 	
       95	            4 	
       96	            5 	
       97	           13 	
       98	            7 	
       99	            4 	
      100	           12 	
      101	            6 	
      102	            6 	
      103	            6 	
      104	           13 	
      105	            8 	
      106	            7 	
      107	           10 	
      108	            4 	
      109	            4 	
      110	            4 	
      111	            7 	
      112	            6 	
      113	            7 	
      114	           15 	
      115	           12 	
      116	           11 	
      117	            6 	
      118	            6 	
      119	           13 	
      120	           11 	
      121	            6 	
      122	            5 	
      123	            7 	
      124	            4 	
      125	            9 	
      126	            6 	
      127	            5 	
      128	            6 	
      129	            8 	
      130	            7 	
      131	            9 	
      132	            4 	
      133	            8 	
      134	           12 	
      135	            5 	
      136	            9 	
      137	            5 	
      138	            5 	
      139	           10 	
      140	            9 	
      141	            7 	
      142	            8 	
      143	            9 	
      144	           10 	
      145	            9 	
      146	           10 	
      147	            6 	
      148	            8 	
      149	            9 	
      150	            5 	
      151	            5 	
      152	            3 	
      153	            6 	
      154	            5 	
      155	            9 	
      156	           12 	
      157	            8 	
      158	           10 	
      159	            6 	
      160	            5 	
      161	            9 	
      162	            7 	
      163	            6 	
      164	            9 	
      165	            8 	
      166	            6 	
      167	           10 	
      168	            3 	
