Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-07-12
Time (HH:MM:SS):	15:31:07
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	          268 	
        2	          276 	
        3	          225 	
        4	          266 	
        5	          254 	
        6	          288 	
        7	          271 	
        8	          304 	
        9	          274 	
       10	          266 	
       11	          286 	
       12	          288 	
       13	          247 	
       14	          265 	
       15	          281 	
       16	          316 	
       17	          244 	
       18	          262 	
       19	          275 	
       20	          310 	
       21	          262 	
       22	          287 	
       23	          290 	
       24	          277 	
       25	          271 	
       26	          269 	
       27	          308 	
       28	          265 	
       29	          262 	
       30	          249 	
       31	          266 	
       32	          305 	
       33	          303 	
       34	          279 	
       35	          261 	
       36	          269 	
       37	          298 	
       38	          256 	
       39	          265 	
       40	          280 	
       41	          276 	
       42	          270 	
       43	          273 	
       44	          260 	
       45	          296 	
       46	          221 	
       47	          274 	
       48	          276 	
       49	          257 	
       50	          285 	
       51	          239 	
       52	          272 	
       53	          295 	
       54	          265 	
       55	          279 	
       56	          231 	
       57	          267 	
       58	          275 	
       59	          266 	
       60	          273 	
       61	          276 	
       62	          285 	
       63	          296 	
       64	          252 	
       65	          253 	
       66	          267 	
       67	          242 	
       68	          279 	
       69	          260 	
       70	          264 	
       71	          262 	
       72	          259 	
       73	          272 	
       74	          258 	
       75	          289 	
       76	          265 	
       77	          265 	
       78	          252 	
       79	          267 	
       80	          263 	
       81	          271 	
       82	          286 	
       83	          268 	
       84	          277 	
       85	          274 	
       86	          273 	
       87	          254 	
       88	          265 	
       89	          243 	
       90	          266 	
       91	          279 	
       92	          308 	
       93	          256 	
       94	          302 	
       95	          264 	
       96	          263 	
       97	          300 	
       98	          312 	
       99	          285 	
      100	          289 	
      101	          262 	
      102	          280 	
      103	          258 	
      104	          260 	
      105	          288 	
      106	          255 	
      107	          259 	
      108	          269 	
      109	          283 	
      110	          230 	
      111	          267 	
      112	          231 	
      113	          259 	
      114	          247 	
      115	          256 	
      116	          314 	
      117	          257 	
      118	          265 	
      119	          286 	
      120	          260 	
      121	          292 	
      122	          280 	
      123	          259 	
      124	          261 	
      125	          266 	
      126	          300 	
      127	          258 	
      128	          292 	
      129	          257 	
      130	          275 	
      131	          276 	
      132	          292 	
      133	          259 	
      134	          269 	
      135	          281 	
      136	          268 	
      137	          279 	
      138	          293 	
      139	          288 	
      140	          265 	
      141	          281 	
      142	          262 	
      143	          274 	
      144	          289 	
      145	          290 	
      146	          236 	
      147	          261 	
      148	          270 	
      149	          280 	
      150	          278 	
      151	          237 	
      152	          248 	
      153	          270 	
      154	          294 	
      155	          253 	
      156	          286 	
      157	          281 	
      158	          282 	
      159	          256 	
      160	          282 	
      161	          248 	
      162	          286 	
      163	          235 	
      164	          267 	
      165	          227 	
      166	          266 	
      167	          284 	
      168	          269 	
      169	          264 	
      170	          291 	
      171	          262 	
      172	          256 	
      173	          266 	
      174	          308 	
      175	          287 	
      176	          282 	
      177	          287 	
      178	          262 	
      179	          290 	
      180	          280 	
      181	          286 	
      182	          275 	
      183	          237 	
      184	          278 	
      185	          278 	
      186	          243 	
      187	          272 	
      188	          260 	
      189	          295 	
      190	          255 	
      191	          266 	
      192	          294 	
      193	          291 	
      194	          269 	
      195	          268 	
      196	          275 	
      197	          254 	
      198	          263 	
      199	          266 	
      200	          279 	
      201	          278 	
      202	          278 	
      203	          260 	
      204	          281 	
      205	          263 	
      206	          285 	
      207	          281 	
      208	          279 	
      209	          268 	
      210	          256 	
      211	          275 	
      212	          295 	
      213	          270 	
      214	          279 	
      215	          304 	
      216	          279 	
      217	          304 	
      218	          250 	
      219	          261 	
      220	          315 	
      221	          332 	
      222	          259 	
      223	          280 	
      224	          276 	
      225	          280 	
      226	          272 	
      227	          267 	
      228	          269 	
      229	          277 	
      230	          247 	
      231	          259 	
      232	          310 	
      233	          250 	
      234	          261 	
      235	          271 	
      236	          285 	
      237	          272 	
      238	          248 	
      239	          274 	
      240	          276 	
      241	          255 	
      242	          278 	
      243	          234 	
      244	          256 	
      245	          267 	
      246	          287 	
      247	          256 	
      248	          283 	
      249	          260 	
      250	          276 	
      251	          282 	
      252	          264 	
      253	          261 	
      254	          275 	
      255	          284 	
      256	          240 	
      257	          279 	
      258	          275 	
      259	          245 	
      260	          249 	
      261	          237 	
      262	          263 	
      263	          235 	
      264	          242 	
      265	          272 	
      266	          292 	
      267	          286 	
      268	          264 	
      269	          283 	
      270	          275 	
      271	          269 	
      272	          274 	
      273	          257 	
      274	          281 	
      275	          229 	
      276	          283 	
      277	          259 	
      278	          254 	
      279	          270 	
      280	          220 	
      281	          248 	
      282	          254 	
      283	          285 	
      284	          266 	
      285	          286 	
      286	          242 	
      287	          268 	
      288	          264 	
      289	          259 	
      290	          242 	
      291	          287 	
