Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-07-12
Time (HH:MM:SS):	15:29:49
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	          387 	
        2	          334 	
        3	          361 	
        4	          330 	
        5	          354 	
        6	          365 	
        7	          354 	
        8	          318 	
        9	          335 	
       10	          344 	
       11	          332 	
       12	          332 	
       13	          333 	
       14	          334 	
       15	          323 	
       16	          353 	
       17	          337 	
       18	          330 	
       19	          355 	
       20	          337 	
       21	          371 	
       22	          303 	
       23	          361 	
       24	          342 	
       25	          349 	
       26	          392 	
       27	          364 	
       28	          369 	
       29	          339 	
       30	          331 	
       31	          366 	
       32	          319 	
       33	          357 	
       34	          364 	
       35	          348 	
       36	          339 	
       37	          325 	
       38	          338 	
       39	          354 	
       40	          347 	
       41	          364 	
       42	          374 	
       43	          341 	
       44	          344 	
       45	          361 	
       46	          375 	
       47	          367 	
       48	          355 	
       49	          336 	
       50	          358 	
       51	          337 	
       52	          380 	
       53	          333 	
       54	          383 	
       55	          292 	
       56	          312 	
       57	          366 	
       58	          330 	
       59	          384 	
       60	          338 	
       61	          375 	
       62	          374 	
       63	          357 	
       64	          385 	
       65	          358 	
       66	          371 	
       67	          399 	
       68	          364 	
       69	          321 	
       70	          330 	
       71	          371 	
       72	          367 	
       73	          348 	
       74	          355 	
       75	          339 	
       76	          339 	
       77	          370 	
       78	          360 	
       79	          359 	
       80	          340 	
       81	          369 	
       82	          369 	
       83	          345 	
       84	          372 	
       85	          372 	
       86	          383 	
       87	          357 	
       88	          329 	
       89	          358 	
       90	          333 	
       91	          394 	
       92	          343 	
       93	          365 	
       94	          359 	
       95	          369 	
       96	          368 	
       97	          368 	
       98	          368 	
       99	          343 	
