Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-07-11
Time (HH:MM:SS):	14:22:10
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	         6200 	
        2	         6232 	
        3	         6289 	
        4	         6315 	
        5	         6179 	
        6	         6085 	
        7	         5833 	
        8	         5744 	
        9	         5802 	
       10	         5870 	
       11	         5829 	
       12	         5739 	
       13	         5841 	
       14	         5704 	
       15	         5910 	
       16	         5722 	
       17	         6238 	
       18	         6124 	
       19	         5892 	
       20	         6531 	
       21	         6330 	
       22	         6260 	
       23	         6133 	
       24	         6193 	
       25	         6174 	
       26	         6236 	
       27	         6362 	
       28	         6156 	
       29	         6235 	
       30	         6350 	
       31	         6473 	
       32	         6449 	
       33	         6312 	
       34	         6270 	
       35	         6288 	
       36	         6329 	
       37	         6198 	
       38	         6494 	
       39	         6267 	
       40	         6252 	
       41	         6294 	
       42	         6266 	
       43	         6064 	
       44	         6187 	
       45	         6161 	
       46	         6231 	
       47	         6194 	
       48	         6187 	
       49	         6056 	
       50	         6030 	
       51	         5955 	
       52	         5870 	
       53	         6135 	
       54	         6070 	
       55	         6051 	
       56	         6013 	
       57	         6033 	
       58	         6066 	
       59	         6050 	
       60	         5995 	
       61	         5935 	
       62	         5931 	
       63	         6119 	
       64	         5984 	
       65	         6028 	
       66	         5868 	
       67	         6104 	
       68	         6290 	
       69	         6282 	
       70	         6355 	
       71	         6256 	
       72	         6246 	
       73	         6169 	
       74	         6190 	
       75	         6240 	
       76	         5977 	
       77	         6066 	
       78	         6098 	
       79	         6219 	
       80	         6125 	
       81	         6077 	
       82	         6136 	
       83	         6270 	
       84	         6270 	
       85	         6184 	
       86	         6269 	
       87	         6182 	
       88	         6046 	
       89	         6236 	
       90	         6106 	
       91	         6173 	
       92	         6235 	
       93	         6268 	
       94	         6104 	
       95	         6089 	
       96	         6192 	
       97	         6115 	
       98	         5849 	
       99	         6194 	
      100	         5989 	
      101	         6020 	
      102	         5996 	
      103	         5971 	
      104	         5843 	
      105	         6027 	
      106	         6045 	
      107	         5975 	
      108	         6218 	
      109	         6423 	
      110	         6485 	
      111	         6617 	
      112	         6621 	
      113	         6368 	
      114	         6462 	
      115	         6468 	
      116	         6408 	
      117	         6342 	
      118	         6304 	
      119	         6232 	
      120	         6395 	
      121	         6324 	
      122	         6465 	
      123	         6668 	
      124	         6515 	
      125	         6503 	
      126	         6411 	
      127	         6355 	
      128	         6266 	
      129	         6419 	
      130	         6460 	
      131	         6516 	
      132	         6433 	
      133	         6319 	
      134	         6331 	
      135	         6266 	
      136	         6163 	
      137	         6032 	
      138	         6155 	
      139	         6023 	
      140	         6064 	
      141	         5986 	
      142	         6103 	
      143	         6166 	
      144	         6224 	
      145	         6076 	
      146	         6121 	
      147	         6154 	
      148	         6117 	
      149	         6043 	
      150	         6174 	
      151	         6225 	
      152	         6269 	
      153	         6203 	
      154	         6310 	
      155	         6368 	
      156	         6228 	
      157	         6044 	
      158	         6035 	
      159	         6072 	
      160	         5948 	
      161	         6098 	
      162	         5917 	
      163	         6179 	
      164	         5966 	
      165	         6055 	
      166	         6200 	
      167	         6103 	
      168	         6202 	
      169	         6114 	
      170	         6338 	
      171	         6168 	
      172	         6187 	
      173	         6009 	
      174	         6225 	
      175	         6341 	
      176	         6126 	
      177	         6123 	
      178	         6154 	
      179	         6058 	
      180	         6106 	
      181	         6030 	
      182	         6045 	
      183	         5998 	
      184	         5980 	
      185	         5946 	
      186	         5991 	
      187	         5962 	
      188	         5941 	
      189	         6043 	
      190	         5976 	
      191	         6134 	
      192	         6064 	
      193	         6040 	
      194	         6010 	
      195	         6011 	
