Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-07-12
Time (HH:MM:SS):	12:40:53
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	           26 	
        2	           33 	
        3	           33 	
        4	           29 	
        5	           32 	
        6	           26 	
        7	           35 	
        8	           42 	
        9	           27 	
       10	           21 	
       11	           33 	
       12	           31 	
       13	           34 	
       14	           36 	
       15	           30 	
       16	           29 	
       17	           38 	
       18	           28 	
       19	           29 	
       20	           33 	
       21	           29 	
       22	           23 	
       23	           29 	
       24	           18 	
       25	           14 	
       26	           21 	
       27	           31 	
       28	           31 	
       29	           22 	
       30	           19 	
       31	           30 	
       32	           34 	
       33	           36 	
       34	           21 	
       35	           27 	
       36	           40 	
       37	           26 	
       38	           29 	
       39	           26 	
       40	           22 	
       41	           26 	
       42	           30 	
       43	           30 	
       44	           32 	
       45	           29 	
       46	           27 	
       47	           36 	
       48	           32 	
       49	           27 	
       50	           27 	
       51	           28 	
       52	           32 	
       53	           26 	
       54	           41 	
       55	           28 	
       56	           22 	
       57	           23 	
       58	           28 	
       59	           24 	
       60	           35 	
       61	           29 	
       62	           33 	
       63	           23 	
       64	           22 	
       65	           22 	
       66	           28 	
       67	           27 	
       68	           26 	
       69	           22 	
       70	           27 	
       71	           26 	
       72	           29 	
       73	           25 	
       74	           33 	
       75	           20 	
       76	           27 	
       77	           29 	
       78	           29 	
       79	           32 	
       80	           33 	
       81	           27 	
       82	           28 	
       83	           27 	
       84	           40 	
       85	           28 	
       86	           25 	
       87	           36 	
       88	           30 	
       89	           30 	
       90	           31 	
       91	           25 	
       92	           24 	
       93	           25 	
       94	           23 	
       95	           27 	
       96	           35 	
       97	           21 	
       98	           23 	
       99	           21 	
      100	           26 	
      101	           24 	
      102	           26 	
      103	           26 	
      104	           15 	
      105	           24 	
      106	           23 	
      107	           28 	
      108	           41 	
      109	           35 	
      110	           39 	
      111	           31 	
      112	           28 	
      113	           30 	
      114	           28 	
      115	           32 	
      116	           20 	
      117	           28 	
      118	           27 	
      119	           27 	
      120	           30 	
      121	           32 	
      122	           22 	
      123	           33 	
      124	           36 	
      125	           29 	
      126	           33 	
      127	           36 	
      128	           25 	
      129	           26 	
      130	           27 	
      131	           34 	
      132	           28 	
      133	           34 	
      134	           34 	
      135	           28 	
      136	           25 	
      137	           31 	
      138	           27 	
      139	           29 	
      140	           39 	
      141	           20 	
      142	           27 	
      143	           22 	
      144	           30 	
      145	           30 	
      146	           25 	
      147	           31 	
      148	           19 	
      149	           23 	
      150	           31 	
      151	           28 	
      152	           29 	
      153	           29 	
      154	           16 	
      155	           23 	
      156	           27 	
      157	           35 	
      158	           35 	
      159	           20 	
      160	           27 	
      161	           27 	
      162	           39 	
      163	           26 	
      164	           27 	
      165	           22 	
      166	           25 	
      167	           30 	
      168	           24 	
      169	           31 	
      170	           39 	
      171	           25 	
      172	           29 	
      173	           31 	
      174	           34 	
      175	           26 	
      176	           45 	
      177	           32 	
      178	           23 	
      179	           22 	
      180	           29 	
      181	           32 	
      182	           23 	
      183	           23 	
      184	           30 	
      185	           40 	
      186	           29 	
      187	           37 	
      188	           21 	
      189	           28 	
      190	           22 	
      191	           33 	
      192	           26 	
      193	           38 	
      194	           26 	
      195	           33 	
      196	           27 	
      197	           30 	
      198	           32 	
      199	           24 	
      200	           22 	
      201	           25 	
      202	           23 	
      203	           35 	
      204	           29 	
      205	           26 	
      206	           26 	
      207	           27 	
      208	           29 	
      209	           37 	
      210	           23 	
      211	           29 	
      212	           25 	
      213	           29 	
      214	           22 	
      215	           22 	
      216	           32 	
      217	           30 	
      218	           35 	
      219	           32 	
      220	           26 	
      221	           26 	
      222	           33 	
      223	           34 	
      224	           35 	
      225	           33 	
      226	           24 	
      227	           20 	
      228	           22 	
      229	           33 	
      230	           34 	
      231	           29 	
      232	           29 	
      233	           36 	
      234	           40 	
      235	           32 	
      236	           39 	
      237	           22 	
      238	           34 	
      239	           28 	
      240	           22 	
      241	           28 	
      242	           30 	
      243	           36 	
      244	           34 	
      245	           25 	
      246	           26 	
      247	           22 	
      248	           25 	
      249	           32 	
      250	           29 	
      251	           36 	
      252	           35 	
      253	           24 	
      254	           16 	
      255	           25 	
      256	           37 	
      257	           33 	
      258	           28 	
      259	           29 	
      260	           26 	
      261	           35 	
      262	           23 	
      263	           30 	
      264	           25 	
      265	           31 	
      266	           30 	
      267	           30 	
      268	           36 	
      269	           21 	
      270	           33 	
      271	           31 	
      272	           25 	
      273	           26 	
      274	           29 	
      275	           30 	
      276	           22 	
      277	           24 	
      278	           29 	
      279	           23 	
      280	           33 	
      281	           29 	
      282	           32 	
      283	           27 	
      284	           15 	
      285	           28 	
      286	           21 	
      287	           31 	
      288	           31 	
      289	           29 	
      290	           35 	
      291	           20 	
      292	           34 	
      293	           34 	
      294	           29 	
      295	           23 	
      296	           22 	
      297	           24 	
      298	           26 	
      299	           28 	
      300	           27 	
      301	           21 	
      302	           32 	
      303	           28 	
      304	           25 	
      305	           24 	
      306	           19 	
      307	           30 	
      308	           28 	
      309	           20 	
      310	           18 	
      311	           31 	
      312	           33 	
      313	           25 	
      314	           28 	
      315	           22 	
      316	           36 	
      317	           29 	
      318	           26 	
      319	           35 	
      320	           42 	
      321	           31 	
      322	           22 	
      323	           26 	
      324	           28 	
      325	           34 	
      326	           24 	
      327	           23 	
      328	           32 	
      329	           32 	
      330	           31 	
      331	           30 	
      332	           27 	
      333	           19 	
      334	           22 	
      335	           40 	
      336	           36 	
      337	           31 	
      338	           18 	
      339	           25 	
      340	           28 	
      341	           22 	
      342	           26 	
      343	           27 	
      344	           40 	
      345	           35 	
      346	           32 	
      347	           34 	
      348	           26 	
      349	           22 	
      350	           31 	
      351	           34 	
      352	           27 	
      353	           20 	
      354	           30 	
      355	           13 	
      356	           16 	
      357	           31 	
      358	           31 	
      359	           31 	
      360	           29 	
      361	           26 	
      362	           35 	
      363	           34 	
      364	           28 	
      365	           34 	
      366	           28 	
      367	           22 	
      368	           17 	
      369	           28 	
      370	           28 	
      371	           36 	
      372	           36 	
      373	           34 	
      374	           35 	
      375	           22 	
      376	           25 	
      377	           24 	
      378	           28 	
      379	           30 	
      380	           25 	
      381	           26 	
      382	           28 	
      383	           28 	
      384	           25 	
      385	           23 	
      386	           37 	
      387	           28 	
      388	           26 	
      389	           30 	
      390	           21 	
      391	           29 	
      392	           28 	
      393	           32 	
      394	           29 	
      395	           30 	
      396	           30 	
      397	           34 	
      398	           34 	
      399	           33 	
      400	           23 	
      401	           30 	
      402	           26 	
      403	           32 	
      404	           37 	
      405	           43 	
      406	           30 	
      407	           29 	
      408	           15 	
      409	           15 	
      410	           26 	
      411	           31 	
      412	           32 	
      413	           31 	
      414	           28 	
      415	           18 	
      416	           22 	
      417	           37 	
      418	           35 	
      419	           13 	
      420	           35 	
      421	           24 	
      422	           33 	
      423	           27 	
      424	           33 	
      425	           40 	
      426	           24 	
      427	           24 	
      428	           31 	
      429	           31 	
      430	           33 	
      431	           24 	
      432	           27 	
      433	           38 	
      434	           27 	
      435	           27 	
      436	           23 	
      437	           28 	
      438	           15 	
      439	           42 	
      440	           23 	
      441	           31 	
      442	           29 	
      443	           26 	
