Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-07-16
Time (HH:MM:SS):	17:40:31
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	          313 	
        2	          286 	
        3	          259 	
        4	          286 	
        5	          295 	
        6	          305 	
        7	          263 	
        8	          293 	
        9	          296 	
       10	          283 	
       11	          267 	
       12	          255 	
       13	          288 	
       14	          268 	
       15	          271 	
       16	          288 	
       17	          310 	
       18	          254 	
       19	          306 	
       20	          264 	
       21	          260 	
       22	          287 	
       23	          283 	
       24	          259 	
       25	          300 	
       26	          300 	
       27	          298 	
       28	          291 	
       29	          286 	
       30	          273 	
       31	          282 	
       32	          292 	
       33	          272 	
       34	          263 	
       35	          292 	
       36	          280 	
       37	          284 	
       38	          299 	
       39	          260 	
       40	          269 	
       41	          292 	
       42	          291 	
       43	          271 	
       44	          255 	
       45	          291 	
       46	          310 	
       47	          282 	
       48	          280 	
       49	          280 	
       50	          278 	
       51	          284 	
       52	          277 	
       53	          308 	
       54	          286 	
       55	          292 	
       56	          303 	
       57	          274 	
       58	          291 	
       59	          310 	
       60	          311 	
       61	          238 	
       62	          297 	
       63	          261 	
       64	          287 	
       65	          261 	
       66	          270 	
       67	          264 	
       68	          273 	
       69	          289 	
       70	          286 	
       71	          305 	
       72	          295 	
       73	          283 	
       74	          278 	
       75	          273 	
       76	          263 	
       77	          279 	
       78	          271 	
       79	          290 	
       80	          287 	
       81	          289 	
       82	          288 	
       83	          286 	
       84	          288 	
       85	          273 	
       86	          292 	
       87	          287 	
       88	          281 	
       89	          303 	
       90	          305 	
       91	          278 	
       92	          319 	
       93	          268 	
       94	          319 	
       95	          305 	
       96	          281 	
       97	          294 	
       98	          273 	
       99	          249 	
      100	          277 	
      101	          287 	
      102	          281 	
      103	          280 	
      104	          266 	
      105	          268 	
      106	          300 	
      107	          296 	
      108	          267 	
      109	          305 	
      110	          289 	
      111	          263 	
      112	          278 	
      113	          269 	
      114	          292 	
      115	          256 	
      116	          272 	
      117	          306 	
      118	          272 	
      119	          236 	
      120	          269 	
      121	          261 	
      122	          266 	
      123	          267 	
      124	          271 	
      125	          293 	
      126	          296 	
      127	          274 	
      128	          288 	
      129	          269 	
      130	          265 	
      131	          289 	
      132	          293 	
      133	          302 	
      134	          293 	
      135	          276 	
      136	          288 	
      137	          273 	
      138	          308 	
      139	          259 	
      140	          248 	
      141	          314 	
      142	          254 	
      143	          296 	
      144	          288 	
      145	          305 	
      146	          281 	
      147	          268 	
      148	          269 	
      149	          283 	
      150	          293 	
      151	          260 	
      152	          262 	
      153	          273 	
      154	          297 	
      155	          298 	
      156	          269 	
      157	          290 	
      158	          283 	
      159	          270 	
      160	          289 	
      161	          276 	
      162	          293 	
      163	          286 	
      164	          288 	
      165	          294 	
      166	          308 	
      167	          261 	
      168	          329 	
      169	          247 	
      170	          276 	
      171	          279 	
      172	          328 	
      173	          323 	
      174	          270 	
      175	          296 	
      176	          257 	
      177	          277 	
      178	          312 	
      179	          286 	
      180	          248 	
      181	          301 	
      182	          263 	
      183	          260 	
      184	          294 	
      185	          304 	
      186	          276 	
      187	          257 	
      188	          245 	
      189	          276 	
      190	          272 	
      191	          265 	
      192	          257 	
      193	          293 	
      194	          296 	
      195	          259 	
      196	          244 	
      197	          285 	
      198	          295 	
      199	          266 	
      200	          285 	
      201	          303 	
      202	          271 	
      203	          288 	
      204	          282 	
      205	          271 	
      206	          317 	
      207	          283 	
      208	          262 	
      209	          254 	
      210	          251 	
      211	          285 	
      212	          272 	
      213	          283 	
      214	          268 	
      215	          304 	
      216	          267 	
      217	          288 	
      218	          278 	
      219	          290 	
      220	          249 	
      221	          269 	
      222	          279 	
      223	          278 	
