Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-07-16
Time (HH:MM:SS):	17:38:07
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	          702 	
        2	          720 	
        3	          746 	
        4	          740 	
        5	          765 	
        6	          760 	
        7	          769 	
        8	          784 	
        9	          684 	
       10	          821 	
       11	          742 	
       12	          781 	
       13	          721 	
       14	          749 	
       15	          762 	
       16	          760 	
       17	          708 	
       18	          721 	
       19	          740 	
       20	          705 	
       21	          856 	
       22	          733 	
       23	          780 	
       24	          713 	
       25	          784 	
       26	          764 	
       27	          783 	
       28	          777 	
       29	          761 	
       30	          789 	
       31	          772 	
       32	          750 	
       33	          772 	
       34	          738 	
       35	          761 	
       36	          755 	
       37	          715 	
       38	          715 	
       39	          750 	
       40	          733 	
       41	          744 	
       42	          739 	
       43	          741 	
       44	          782 	
       45	          761 	
       46	          763 	
       47	          758 	
       48	          707 	
       49	          715 	
       50	          726 	
       51	          719 	
       52	          710 	
       53	          756 	
       54	          770 	
       55	          729 	
       56	          701 	
       57	          781 	
       58	          712 	
       59	          716 	
       60	          716 	
       61	          751 	
       62	          700 	
       63	          727 	
       64	          732 	
       65	          738 	
       66	          752 	
       67	          712 	
       68	          720 	
       69	          794 	
       70	          758 	
       71	          692 	
       72	          750 	
       73	          789 	
       74	          764 	
       75	          730 	
       76	          770 	
       77	          738 	
       78	          729 	
       79	          792 	
       80	          810 	
       81	          786 	
       82	          790 	
       83	          763 	
       84	          779 	
       85	          751 	
       86	          745 	
       87	          782 	
       88	          768 	
       89	          810 	
       90	          744 	
       91	          747 	
       92	          776 	
       93	          781 	
       94	          797 	
       95	          731 	
       96	          736 	
       97	          759 	
       98	          705 	
       99	          757 	
      100	          718 	
      101	          733 	
      102	          746 	
      103	          778 	
      104	          751 	
      105	          742 	
      106	          751 	
      107	          738 	
      108	          768 	
      109	          733 	
      110	          791 	
      111	          739 	
      112	          738 	
      113	          714 	
      114	          761 	
      115	          719 	
      116	          715 	
      117	          742 	
      118	          758 	
      119	          707 	
      120	          736 	
      121	          658 	
      122	          740 	
      123	          770 	
      124	          779 	
      125	          794 	
      126	          726 	
      127	          721 	
      128	          754 	
      129	          736 	
      130	          772 	
      131	          736 	
      132	          783 	
      133	          744 	
      134	          733 	
      135	          779 	
      136	          779 	
      137	          752 	
      138	          778 	
      139	          729 	
      140	          770 	
      141	          725 	
      142	          752 	
      143	          738 	
      144	          741 	
      145	          721 	
      146	          705 	
      147	          753 	
      148	          718 	
      149	          748 	
      150	          784 	
      151	          724 	
      152	          792 	
      153	          758 	
      154	          779 	
      155	          810 	
      156	          737 	
      157	          737 	
      158	          752 	
      159	          761 	
      160	          816 	
      161	          729 	
      162	          713 	
      163	          746 	
      164	          777 	
      165	          764 	
      166	          724 	
      167	          734 	
      168	          760 	
      169	          752 	
      170	          777 	
      171	          763 	
      172	          708 	
      173	          734 	
      174	          759 	
      175	          777 	
      176	          750 	
      177	          746 	
      178	          758 	
      179	          714 	
      180	          717 	
      181	          726 	
      182	          770 	
      183	          762 	
      184	          708 	
      185	          753 	
      186	          703 	
      187	          730 	
      188	          745 	
      189	          731 	
      190	          694 	
      191	          771 	
      192	          710 	
      193	          783 	
      194	          733 	
      195	          729 	
      196	          779 	
      197	          751 	
      198	          722 	
      199	          754 	
      200	          809 	
      201	          729 	
      202	          798 	
      203	          738 	
      204	          721 	
      205	          692 	
      206	          703 	
      207	          724 	
      208	          725 	
      209	          775 	
      210	          748 	
      211	          732 	
      212	          773 	
      213	          733 	
      214	          784 	
      215	          754 	
      216	          723 	
      217	          752 	
      218	          752 	
      219	          742 	
      220	          783 	
      221	          770 	
      222	          789 	
      223	          748 	
      224	          741 	
      225	          751 	
      226	          753 	
      227	          719 	
      228	          741 	
      229	          753 	
      230	          729 	
      231	          796 	
      232	          730 	
      233	          732 	
      234	          776 	
      235	          691 	
      236	          749 	
      237	          776 	
      238	          779 	
      239	          758 	
      240	          762 	
      241	          725 	
      242	          745 	
      243	          752 	
      244	          694 	
      245	          705 	
      246	          727 	
      247	          763 	
      248	          773 	
      249	          790 	
      250	          786 	
      251	          816 	
      252	          721 	
      253	          802 	
      254	          813 	
      255	          733 	
      256	          777 	
      257	          729 	
      258	          780 	
      259	          730 	
      260	          728 	
      261	          749 	
      262	          806 	
      263	          761 	
      264	          768 	
      265	          816 	
      266	          767 	
      267	          728 	
      268	          784 	
      269	          724 	
      270	          759 	
      271	          754 	
      272	          759 	
      273	          763 	
      274	          755 	
      275	          750 	
      276	          744 	
      277	          778 	
      278	          800 	
      279	          781 	
      280	          819 	
      281	          755 	
      282	          743 	
      283	          795 	
      284	          783 	
      285	          759 	
      286	          761 	
      287	          715 	
      288	          769 	
      289	          772 	
      290	          755 	
      291	          711 	
      292	          725 	
      293	          744 	
      294	          777 	
      295	          747 	
      296	          798 	
      297	          748 	
      298	          754 	
      299	          751 	
      300	          710 	
      301	          786 	
      302	          748 	
      303	          807 	
      304	          779 	
      305	          798 	
      306	          790 	
      307	          721 	
      308	          710 	
      309	          761 	
      310	          792 	
      311	          746 	
      312	          752 	
      313	          791 	
      314	          754 	
      315	          753 	
      316	          734 	
      317	          731 	
      318	          729 	
      319	          760 	
      320	          768 	
      321	          736 	
      322	          758 	
      323	          765 	
      324	          768 	
      325	          819 	
      326	          715 	
      327	          781 	
      328	          763 	
      329	          748 	
      330	          769 	
      331	          722 	
      332	          697 	
      333	          784 	
      334	          737 	
      335	          721 	
      336	          735 	
      337	          784 	
      338	          757 	
      339	          755 	
      340	          763 	
      341	          747 	
      342	          732 	
      343	          732 	
      344	          782 	
      345	          769 	
      346	          760 	
      347	          764 	
      348	          779 	
      349	          730 	
      350	          771 	
      351	          780 	
      352	          810 	
      353	          721 	
      354	          778 	
      355	          757 	
      356	          723 	
      357	          734 	
      358	          799 	
      359	          766 	
      360	          764 	
      361	          761 	
      362	          734 	
      363	          790 	
      364	          803 	
      365	          753 	
      366	          797 	
      367	          720 	
      368	          777 	
      369	          766 	
      370	          727 	
      371	          754 	
      372	          794 	
      373	          748 	
      374	          741 	
      375	          766 	
      376	          794 	
      377	          807 	
      378	          757 	
      379	          772 	
      380	          747 	
      381	          830 	
      382	          825 	
      383	          765 	
      384	          808 	
      385	          803 	
      386	          808 	
      387	          796 	
      388	          782 	
      389	          817 	
      390	          741 	
      391	          698 	
      392	          748 	
      393	          746 	
      394	          743 	
      395	          800 	
      396	          793 	
      397	          819 	
      398	          719 	
      399	          791 	
      400	          794 	
      401	          751 	
      402	          737 	
      403	          791 	
      404	          729 	
      405	          704 	
      406	          793 	
      407	          788 	
      408	          799 	
      409	          793 	
      410	          792 	
      411	          791 	
      412	          804 	
      413	          730 	
      414	          708 	
      415	          780 	
      416	          779 	
      417	          757 	
      418	          778 	
      419	          768 	
      420	          778 	
      421	          802 	
      422	          758 	
      423	          796 	
      424	          732 	
      425	          742 	
      426	          743 	
      427	          769 	
      428	          816 	
      429	          757 	
      430	          759 	
      431	          816 	
      432	          736 	
      433	          744 	
      434	          768 	
      435	          760 	
      436	          777 	
      437	          817 	
      438	          782 	
      439	          789 	
      440	          755 	
      441	          716 	
      442	          741 	
      443	          735 	
      444	          818 	
      445	          804 	
      446	          755 	
      447	          828 	
      448	          826 	
      449	          787 	
      450	          771 	
      451	          807 	
      452	          779 	
      453	          804 	
      454	          764 	
      455	          784 	
      456	          770 	
      457	          757 	
      458	          774 	
      459	          707 	
      460	          694 	
      461	          740 	
      462	          770 	
      463	          776 	
      464	          753 	
      465	          778 	
      466	          801 	
      467	          759 	
      468	          808 	
      469	          781 	
      470	          760 	
      471	          726 	
      472	          786 	
      473	          744 	
      474	          790 	
      475	          712 	
      476	          720 	
      477	          750 	
      478	          749 	
      479	          815 	
      480	          793 	
      481	          767 	
      482	          752 	
      483	          707 	
      484	          743 	
      485	          779 	
      486	          753 	
      487	          748 	
      488	          733 	
      489	          764 	
      490	          781 	
      491	          739 	
      492	          736 	
      493	          733 	
      494	          704 	
      495	          792 	
      496	          741 	
      497	          771 	
      498	          746 	
      499	          714 	
      500	          774 	
