Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-07-16
Time (HH:MM:SS):	17:26:29
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	          739 	
        2	          754 	
        3	          759 	
        4	          729 	
        5	          758 	
        6	          751 	
        7	          772 	
        8	          796 	
        9	          718 	
       10	          714 	
       11	          747 	
       12	          723 	
       13	          688 	
       14	          713 	
       15	          788 	
       16	          754 	
       17	          710 	
       18	          731 	
       19	          709 	
       20	          720 	
       21	          714 	
       22	          725 	
       23	          744 	
       24	          758 	
       25	          751 	
       26	          739 	
       27	          691 	
       28	          726 	
       29	          757 	
       30	          699 	
       31	          723 	
       32	          698 	
       33	          730 	
       34	          724 	
       35	          740 	
       36	          731 	
       37	          725 	
       38	          757 	
       39	          733 	
       40	          708 	
       41	          708 	
       42	          701 	
       43	          689 	
       44	          676 	
       45	          755 	
       46	          682 	
       47	          711 	
       48	          685 	
       49	          788 	
       50	          755 	
       51	          742 	
       52	          717 	
       53	          708 	
       54	          745 	
       55	          717 	
       56	          737 	
       57	          729 	
       58	          771 	
       59	          695 	
       60	          753 	
       61	          711 	
       62	          766 	
       63	          728 	
       64	          728 	
       65	          744 	
       66	          742 	
       67	          765 	
       68	          722 	
       69	          654 	
       70	          769 	
       71	          714 	
       72	          714 	
       73	          759 	
       74	          770 	
       75	          706 	
       76	          712 	
       77	          718 	
       78	          697 	
       79	          662 	
       80	          688 	
       81	          736 	
       82	          752 	
       83	          711 	
       84	          784 	
       85	          711 	
       86	          746 	
       87	          779 	
       88	          717 	
       89	          742 	
       90	          722 	
       91	          724 	
       92	          750 	
       93	          759 	
       94	          710 	
       95	          747 	
       96	          772 	
       97	          782 	
       98	          742 	
       99	          718 	
      100	          694 	
      101	          714 	
      102	          778 	
      103	          728 	
      104	          734 	
      105	          745 	
      106	          745 	
      107	          720 	
      108	          708 	
      109	          755 	
      110	          740 	
      111	          741 	
      112	          713 	
      113	          747 	
      114	          705 	
      115	          753 	
      116	          770 	
      117	          711 	
      118	          725 	
      119	          725 	
      120	          738 	
      121	          700 	
      122	          752 	
      123	          712 	
      124	          701 	
      125	          745 	
      126	          763 	
      127	          713 	
      128	          797 	
      129	          734 	
      130	          739 	
      131	          711 	
      132	          736 	
      133	          817 	
      134	          703 	
      135	          744 	
      136	          757 	
      137	          715 	
      138	          732 	
      139	          694 	
      140	          723 	
      141	          755 	
      142	          759 	
      143	          752 	
      144	          756 	
      145	          722 	
      146	          725 	
      147	          740 	
      148	          766 	
      149	          759 	
      150	          719 	
      151	          727 	
      152	          707 	
      153	          782 	
      154	          675 	
      155	          698 	
      156	          749 	
      157	          756 	
      158	          741 	
      159	          709 	
      160	          768 	
      161	          757 	
      162	          715 	
      163	          752 	
      164	          732 	
      165	          745 	
      166	          742 	
      167	          736 	
      168	          773 	
      169	          703 	
      170	          733 	
      171	          721 	
      172	          756 	
      173	          723 	
      174	          709 	
      175	          750 	
      176	          715 	
      177	          746 	
      178	          712 	
      179	          775 	
      180	          736 	
      181	          699 	
      182	          750 	
      183	          672 	
      184	          761 	
      185	          759 	
      186	          735 	
      187	          737 	
      188	          743 	
      189	          695 	
      190	          754 	
      191	          756 	
      192	          751 	
      193	          733 	
      194	          690 	
      195	          743 	
      196	          708 	
      197	          721 	
      198	          770 	
      199	          722 	
      200	          705 	
      201	          672 	
      202	          697 	
      203	          753 	
      204	          725 	
      205	          766 	
      206	          770 	
      207	          712 	
      208	          745 	
      209	          740 	
      210	          712 	
      211	          716 	
      212	          745 	
      213	          692 	
      214	          744 	
      215	          716 	
      216	          682 	
      217	          706 	
      218	          754 	
      219	          691 	
      220	          751 	
      221	          722 	
      222	          713 	
      223	          719 	
      224	          733 	
      225	          672 	
      226	          738 	
      227	          712 	
      228	          750 	
      229	          747 	
      230	          726 	
      231	          710 	
      232	          734 	
      233	          747 	
      234	          720 	
      235	          699 	
      236	          750 	
      237	          714 	
      238	          722 	
      239	          699 	
      240	          727 	
      241	          737 	
      242	          696 	
      243	          725 	
      244	          698 	
      245	          746 	
      246	          794 	
      247	          730 	
      248	          709 	
      249	          746 	
      250	          692 	
      251	          766 	
      252	          752 	
      253	          723 	
      254	          790 	
