Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-07-16
Time (HH:MM:SS):	16:46:43
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	          345 	
        2	          312 	
        3	          306 	
        4	          306 	
        5	          331 	
        6	          350 	
        7	          349 	
        8	          343 	
        9	          293 	
       10	          344 	
       11	          299 	
       12	          317 	
       13	          298 	
       14	          310 	
       15	          289 	
       16	          315 	
       17	          319 	
       18	          325 	
       19	          328 	
       20	          351 	
       21	          362 	
       22	          335 	
       23	          312 	
       24	          337 	
       25	          317 	
       26	          334 	
       27	          329 	
       28	          324 	
       29	          321 	
       30	          281 	
       31	          312 	
       32	          326 	
       33	          314 	
       34	          324 	
       35	          333 	
       36	          304 	
       37	          349 	
       38	          301 	
       39	          339 	
       40	          309 	
       41	          331 	
       42	          293 	
       43	          341 	
       44	          310 	
       45	          324 	
       46	          349 	
       47	          305 	
       48	          322 	
       49	          326 	
       50	          294 	
       51	          339 	
       52	          331 	
       53	          327 	
       54	          324 	
       55	          314 	
       56	          326 	
       57	          303 	
       58	          336 	
       59	          305 	
       60	          323 	
       61	          325 	
       62	          307 	
       63	          331 	
       64	          331 	
       65	          319 	
       66	          331 	
       67	          327 	
       68	          335 	
       69	          314 	
       70	          329 	
       71	          323 	
       72	          288 	
       73	          320 	
       74	          342 	
       75	          303 	
       76	          349 	
       77	          340 	
       78	          295 	
       79	          311 	
       80	          291 	
       81	          340 	
       82	          321 	
       83	          329 	
       84	          309 	
       85	          314 	
       86	          355 	
       87	          301 	
       88	          276 	
       89	          317 	
       90	          324 	
       91	          325 	
       92	          320 	
       93	          331 	
       94	          319 	
       95	          326 	
       96	          276 	
       97	          358 	
       98	          364 	
       99	          315 	
      100	          330 	
      101	          350 	
      102	          328 	
      103	          314 	
      104	          348 	
      105	          336 	
      106	          345 	
      107	          303 	
      108	          318 	
      109	          323 	
      110	          321 	
      111	          323 	
      112	          310 	
      113	          335 	
      114	          350 	
      115	          339 	
      116	          327 	
      117	          332 	
      118	          312 	
      119	          331 	
      120	          324 	
      121	          345 	
      122	          310 	
      123	          372 	
      124	          308 	
      125	          313 	
      126	          341 	
      127	          292 	
      128	          296 	
      129	          342 	
      130	          372 	
      131	          320 	
      132	          334 	
      133	          325 	
      134	          310 	
      135	          309 	
      136	          342 	
      137	          312 	
      138	          301 	
      139	          311 	
      140	          290 	
      141	          332 	
      142	          308 	
      143	          341 	
      144	          324 	
      145	          332 	
      146	          315 	
      147	          315 	
      148	          326 	
      149	          287 	
      150	          318 	
      151	          321 	
      152	          329 	
      153	          301 	
      154	          278 	
      155	          334 	
      156	          326 	
      157	          345 	
      158	          314 	
      159	          333 	
      160	          325 	
      161	          335 	
      162	          277 	
      163	          333 	
      164	          322 	
      165	          344 	
      166	          324 	
      167	          358 	
      168	          319 	
      169	          337 	
      170	          306 	
      171	          320 	
      172	          320 	
      173	          335 	
      174	          324 	
      175	          323 	
      176	          307 	
      177	          355 	
      178	          315 	
      179	          320 	
      180	          324 	
      181	          336 	
      182	          317 	
      183	          327 	
      184	          322 	
      185	          378 	
      186	          344 	
      187	          316 	
      188	          318 	
      189	          300 	
      190	          322 	
      191	          341 	
      192	          312 	
      193	          337 	
      194	          359 	
      195	          307 	
      196	          306 	
      197	          328 	
      198	          368 	
      199	          319 	
      200	          335 	
      201	          352 	
      202	          353 	
      203	          360 	
      204	          283 	
      205	          322 	
      206	          313 	
      207	          309 	
      208	          349 	
      209	          358 	
      210	          328 	
      211	          346 	
      212	          353 	
      213	          291 	
      214	          334 	
      215	          312 	
      216	          324 	
      217	          348 	
      218	          344 	
      219	          333 	
      220	          333 	
      221	          301 	
      222	          312 	
      223	          333 	
      224	          334 	
      225	          298 	
      226	          348 	
      227	          333 	
      228	          340 	
      229	          325 	
      230	          332 	
      231	          347 	
      232	          333 	
      233	          324 	
      234	          320 	
      235	          311 	
      236	          325 	
      237	          333 	
      238	          314 	
      239	          319 	
      240	          342 	
      241	          327 	
      242	          347 	
      243	          340 	
      244	          286 	
      245	          309 	
      246	          345 	
      247	          310 	
      248	          347 	
      249	          320 	
      250	          326 	
      251	          351 	
      252	          347 	
      253	          318 	
      254	          338 	
      255	          326 	
      256	          325 	
      257	          316 	
      258	          345 	
      259	          311 	
      260	          335 	
      261	          334 	
      262	          310 	
      263	          321 	
      264	          325 	
      265	          347 	
      266	          341 	
      267	          331 	
      268	          353 	
      269	          339 	
      270	          355 	
      271	          348 	
      272	          324 	
      273	          322 	
      274	          324 	
      275	          318 	
      276	          321 	
      277	          348 	
      278	          324 	
      279	          332 	
      280	          329 	
      281	          299 	
      282	          331 	
      283	          359 	
      284	          297 	
      285	          342 	
      286	          318 	
      287	          340 	
      288	          353 	
      289	          322 	
      290	          330 	
      291	          310 	
      292	          349 	
      293	          327 	
      294	          295 	
      295	          314 	
      296	          333 	
      297	          325 	
      298	          324 	
      299	          332 	
      300	          325 	
      301	          297 	
      302	          330 	
      303	          314 	
      304	          329 	
      305	          355 	
      306	          315 	
      307	          327 	
      308	          295 	
      309	          332 	
      310	          311 	
      311	          318 	
      312	          315 	
      313	          349 	
      314	          344 	
      315	          304 	
      316	          288 	
      317	          327 	
      318	          332 	
      319	          359 	
      320	          329 	
      321	          305 	
      322	          352 	
      323	          302 	
      324	          348 	
      325	          337 	
      326	          326 	
      327	          358 	
      328	          310 	
      329	          351 	
      330	          302 	
      331	          345 	
      332	          302 	
      333	          337 	
      334	          337 	
      335	          352 	
      336	          319 	
      337	          324 	
      338	          310 	
      339	          310 	
      340	          345 	
      341	          355 	
      342	          341 	
      343	          318 	
      344	          321 	
      345	          308 	
      346	          322 	
      347	          306 	
      348	          336 	
      349	          364 	
      350	          333 	
      351	          360 	
      352	          341 	
      353	          308 	
      354	          309 	
      355	          318 	
      356	          321 	
      357	          335 	
      358	          292 	
      359	          304 	
      360	          314 	
      361	          348 	
      362	          305 	
      363	          334 	
      364	          344 	
      365	          358 	
      366	          321 	
      367	          316 	
      368	          305 	
      369	          349 	
      370	          355 	
      371	          371 	
      372	          334 	
      373	          315 	
      374	          321 	
      375	          325 	
      376	          331 	
      377	          326 	
      378	          329 	
      379	          342 	
      380	          323 	
      381	          327 	
      382	          312 	
      383	          313 	
      384	          365 	
      385	          333 	
      386	          314 	
      387	          354 	
      388	          346 	
      389	          341 	
      390	          326 	
      391	          315 	
      392	          313 	
      393	          310 	
      394	          335 	
      395	          343 	
      396	          343 	
      397	          324 	
      398	          347 	
      399	          328 	
      400	          354 	
      401	          317 	
      402	          339 	
      403	          320 	
      404	          357 	
      405	          320 	
      406	          343 	
      407	          303 	
      408	          326 	
      409	          325 	
      410	          325 	
      411	          325 	
      412	          279 	
      413	          331 	
      414	          331 	
      415	          311 	
      416	          322 	
      417	          280 	
      418	          323 	
      419	          344 	
      420	          331 	
      421	          331 	
      422	          287 	
      423	          344 	
      424	          317 	
      425	          357 	
      426	          357 	
      427	          346 	
      428	          356 	
      429	          318 	
      430	          342 	
      431	          305 	
      432	          338 	
      433	          349 	
      434	          302 	
      435	          315 	
      436	          315 	
      437	          303 	
      438	          280 	
      439	          317 	
      440	          334 	
      441	          344 	
      442	          329 	
      443	          353 	
      444	          317 	
      445	          316 	
      446	          353 	
      447	          342 	
      448	          307 	
      449	          298 	
      450	          323 	
      451	          319 	
      452	          293 	
      453	          368 	
      454	          313 	
      455	          310 	
      456	          313 	
      457	          335 	
      458	          334 	
      459	          333 	
      460	          330 	
      461	          337 	
      462	          341 	
      463	          328 	
      464	          360 	
      465	          295 	
      466	          350 	
      467	          316 	
      468	          325 	
      469	          324 	
      470	          368 	
      471	          337 	
      472	          311 	
      473	          330 	
      474	          356 	
      475	          315 	
      476	          325 	
      477	          331 	
      478	          335 	
      479	          341 	
      480	          314 	
      481	          352 	
      482	          317 	
      483	          326 	
      484	          308 	
      485	          304 	
      486	          317 	
      487	          349 	
      488	          319 	
      489	          316 	
      490	          314 	
      491	          312 	
      492	          345 	
      493	          332 	
      494	          326 	
      495	          348 	
      496	          334 	
      497	          335 	
      498	          306 	
      499	          305 	
      500	          321 	
      501	          332 	
      502	          315 	
      503	          341 	
      504	          352 	
      505	          318 	
      506	          360 	
      507	          342 	
      508	          337 	
      509	          371 	
