Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-07-16
Time (HH:MM:SS):	16:40:48
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	           38 	
        2	           50 	
        3	           38 	
        4	           50 	
        5	           70 	
        6	           50 	
        7	           55 	
        8	           53 	
        9	           49 	
       10	           35 	
       11	           49 	
       12	           42 	
       13	           41 	
       14	           48 	
       15	           57 	
       16	           44 	
       17	           56 	
       18	           63 	
       19	           45 	
       20	           46 	
       21	           38 	
       22	           48 	
       23	           47 	
       24	           54 	
       25	           38 	
       26	           51 	
       27	           50 	
       28	           53 	
       29	           59 	
       30	           49 	
       31	           49 	
       32	           43 	
       33	           58 	
       34	           44 	
       35	           39 	
       36	           56 	
       37	           61 	
       38	           49 	
       39	           59 	
       40	           45 	
       41	           48 	
       42	           56 	
       43	           47 	
       44	           51 	
       45	           45 	
       46	           51 	
       47	           36 	
       48	           52 	
       49	           51 	
       50	           50 	
       51	           38 	
       52	           53 	
       53	           51 	
       54	           64 	
       55	           56 	
       56	           51 	
       57	           49 	
       58	           39 	
       59	           51 	
       60	           50 	
       61	           38 	
       62	           40 	
       63	           63 	
       64	           20 	
       65	           46 	
       66	           46 	
       67	           38 	
       68	           54 	
       69	           59 	
       70	           42 	
       71	           46 	
       72	           46 	
       73	           39 	
       74	           47 	
       75	           41 	
       76	           42 	
       77	           34 	
       78	           63 	
       79	           51 	
       80	           39 	
       81	           47 	
       82	           40 	
       83	           48 	
       84	           48 	
       85	           38 	
       86	           57 	
       87	           57 	
       88	           55 	
       89	           48 	
       90	           46 	
       91	           52 	
       92	           43 	
       93	           49 	
       94	           58 	
       95	           49 	
       96	           51 	
       97	           51 	
       98	           63 	
       99	           52 	
      100	           45 	
      101	           56 	
      102	           37 	
      103	           36 	
      104	           49 	
      105	           42 	
      106	           57 	
      107	           43 	
      108	           39 	
      109	           60 	
      110	           37 	
      111	           59 	
      112	           58 	
      113	           47 	
      114	           36 	
      115	           53 	
      116	           42 	
      117	           47 	
      118	           52 	
      119	           53 	
      120	           42 	
      121	           41 	
      122	           45 	
      123	           50 	
      124	           41 	
      125	           53 	
      126	           49 	
      127	           36 	
      128	           43 	
      129	           45 	
      130	           45 	
      131	           42 	
      132	           49 	
      133	           42 	
      134	           41 	
      135	           49 	
      136	           41 	
      137	           50 	
      138	           45 	
      139	           46 	
      140	           54 	
      141	           65 	
      142	           41 	
      143	           51 	
      144	           44 	
      145	           41 	
      146	           53 	
      147	           51 	
      148	           54 	
      149	           48 	
      150	           50 	
      151	           55 	
      152	           41 	
      153	           55 	
      154	           40 	
      155	           50 	
      156	           39 	
      157	           40 	
      158	           34 	
      159	           48 	
      160	           46 	
      161	           41 	
      162	           60 	
      163	           50 	
      164	           59 	
      165	           42 	
      166	           39 	
      167	           53 	
      168	           53 	
      169	           52 	
      170	           47 	
      171	           51 	
      172	           46 	
      173	           59 	
      174	           34 	
