Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-07-16
Time (HH:MM:SS):	16:31:20
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	          242 	
        2	          240 	
        3	          238 	
        4	          246 	
        5	          216 	
        6	          216 	
        7	          232 	
        8	          262 	
        9	          228 	
       10	          222 	
       11	          216 	
       12	          247 	
       13	          241 	
       14	          240 	
       15	          229 	
       16	          230 	
       17	          200 	
       18	          283 	
       19	          225 	
       20	          201 	
       21	          214 	
       22	          245 	
       23	          220 	
       24	          242 	
       25	          251 	
       26	          218 	
       27	          226 	
       28	          231 	
       29	          206 	
       30	          221 	
       31	          226 	
       32	          237 	
       33	          201 	
       34	          247 	
       35	          225 	
       36	          223 	
       37	          248 	
       38	          269 	
       39	          244 	
       40	          254 	
       41	          226 	
       42	          234 	
       43	          230 	
       44	          215 	
       45	          256 	
       46	          251 	
       47	          226 	
       48	          234 	
       49	          223 	
       50	          238 	
       51	          239 	
       52	          215 	
       53	          225 	
       54	          254 	
       55	          220 	
       56	          233 	
       57	          234 	
       58	          254 	
       59	          261 	
       60	          208 	
       61	          255 	
       62	          230 	
       63	          248 	
       64	          217 	
       65	          253 	
       66	          247 	
       67	          238 	
       68	          288 	
       69	          259 	
       70	          251 	
       71	          226 	
       72	          228 	
       73	          211 	
       74	          231 	
       75	          241 	
       76	          226 	
       77	          262 	
       78	          216 	
       79	          253 	
       80	          242 	
       81	          224 	
       82	          237 	
       83	          274 	
       84	          227 	
       85	          246 	
       86	          248 	
       87	          248 	
       88	          249 	
       89	          202 	
       90	          224 	
       91	          236 	
       92	          215 	
       93	          238 	
       94	          217 	
       95	          244 	
       96	          233 	
       97	          250 	
       98	          255 	
       99	          283 	
      100	          239 	
      101	          259 	
      102	          252 	
      103	          240 	
      104	          223 	
      105	          232 	
      106	          232 	
      107	          211 	
      108	          248 	
      109	          244 	
      110	          205 	
      111	          242 	
      112	          276 	
      113	          254 	
      114	          238 	
      115	          220 	
      116	          252 	
      117	          214 	
      118	          208 	
      119	          243 	
      120	          257 	
      121	          232 	
      122	          248 	
      123	          228 	
      124	          218 	
      125	          216 	
      126	          236 	
      127	          227 	
      128	          261 	
      129	          236 	
      130	          260 	
      131	          246 	
      132	          247 	
      133	          258 	
      134	          267 	
      135	          219 	
      136	          241 	
      137	          237 	
      138	          240 	
      139	          233 	
      140	          237 	
      141	          228 	
      142	          263 	
      143	          231 	
      144	          232 	
      145	          248 	
      146	          244 	
      147	          236 	
      148	          242 	
      149	          218 	
      150	          224 	
      151	          261 	
      152	          247 	
      153	          255 	
      154	          240 	
      155	          230 	
      156	          244 	
      157	          206 	
      158	          249 	
      159	          203 	
      160	          263 	
      161	          226 	
      162	          248 	
      163	          246 	
      164	          231 	
      165	          233 	
      166	          265 	
      167	          200 	
      168	          221 	
      169	          244 	
      170	          219 	
      171	          216 	
      172	          237 	
      173	          278 	
      174	          185 	
      175	          252 	
      176	          217 	
      177	          233 	
      178	          240 	
      179	          229 	
      180	          217 	
      181	          219 	
      182	          244 	
      183	          224 	
      184	          213 	
      185	          229 	
      186	          240 	
      187	          244 	
      188	          232 	
      189	          220 	
      190	          245 	
      191	          227 	
      192	          234 	
      193	          229 	
      194	          245 	
      195	          231 	
      196	          235 	
      197	          227 	
      198	          258 	
      199	          200 	
      200	          225 	
      201	          235 	
      202	          251 	
      203	          251 	
      204	          210 	
      205	          202 	
      206	          233 	
      207	          266 	
      208	          220 	
      209	          235 	
      210	          209 	
      211	          245 	
      212	          209 	
      213	          220 	
      214	          209 	
      215	          231 	
      216	          210 	
      217	          222 	
      218	          253 	
      219	          243 	
      220	          230 	
      221	          199 	
      222	          223 	
      223	          219 	
      224	          239 	
      225	          234 	
      226	          216 	
      227	          251 	
      228	          224 	
      229	          244 	
      230	          215 	
      231	          228 	
      232	          242 	
      233	          225 	
      234	          209 	
      235	          236 	
      236	          225 	
      237	          235 	
      238	          218 	
      239	          225 	
      240	          232 	
      241	          241 	
      242	          205 	
      243	          226 	
      244	          226 	
      245	          232 	
      246	          246 	
      247	          210 	
      248	          225 	
      249	          235 	
      250	          222 	
      251	          204 	
      252	          247 	
      253	          192 	
      254	          228 	
      255	          214 	
      256	          208 	
      257	          208 	
      258	          233 	
      259	          236 	
      260	          215 	
      261	          254 	
      262	          231 	
      263	          215 	
      264	          246 	
      265	          244 	
      266	          236 	
      267	          202 	
      268	          212 	
      269	          236 	
      270	          261 	
      271	          211 	
      272	          225 	
      273	          213 	
      274	          208 	
      275	          204 	
      276	          228 	
      277	          212 	
      278	          227 	
      279	          258 	
      280	          234 	
      281	          246 	
      282	          233 	
      283	          218 	
      284	          229 	
      285	          220 	
      286	          214 	
      287	          213 	
      288	          246 	
      289	          217 	
      290	          199 	
      291	          233 	
      292	          263 	
      293	          236 	
      294	          223 	
      295	          228 	
      296	          201 	
      297	          235 	
      298	          220 	
      299	          245 	
      300	          222 	
      301	          234 	
      302	          226 	
      303	          221 	
      304	          223 	
      305	          249 	
      306	          235 	
      307	          224 	
      308	          218 	
      309	          256 	
      310	          236 	
      311	          244 	
      312	          263 	
      313	          225 	
      314	          206 	
      315	          245 	
      316	          238 	
      317	          225 	
      318	          239 	
      319	          214 	
      320	          245 	
      321	          215 	
      322	          228 	
      323	          224 	
      324	          218 	
      325	          246 	
      326	          255 	
      327	          243 	
      328	          233 	
      329	          253 	
      330	          233 	
      331	          180 	
      332	          224 	
      333	          230 	
      334	          237 	
      335	          240 	
      336	          227 	
      337	          223 	
      338	          245 	
      339	          231 	
      340	          228 	
      341	          219 	
      342	          225 	
      343	          209 	
      344	          248 	
      345	          235 	
      346	          207 	
      347	          247 	
      348	          201 	
      349	          219 	
      350	          236 	
      351	          219 	
      352	          223 	
      353	          244 	
      354	          246 	
      355	          212 	
      356	          204 	
      357	          223 	
      358	          240 	
      359	          205 	
      360	          238 	
      361	          217 	
      362	          253 	
      363	          216 	
      364	          215 	
      365	          224 	
      366	          180 	
      367	          232 	
      368	          230 	
      369	          234 	
      370	          221 	
      371	          234 	
      372	          244 	
      373	          210 	
      374	          206 	
      375	          223 	
      376	          220 	
      377	          223 	
      378	          223 	
      379	          227 	
      380	          220 	
      381	          234 	
      382	          218 	
      383	          212 	
      384	          221 	
      385	          223 	
      386	          204 	
      387	          220 	
      388	          216 	
      389	          216 	
      390	          236 	
      391	          231 	
      392	          260 	
      393	          233 	
      394	          213 	
      395	          225 	
      396	          204 	
      397	          226 	
      398	          248 	
      399	          246 	
      400	          230 	
      401	          230 	
      402	          230 	
      403	          213 	
      404	          246 	
      405	          234 	
      406	          229 	
      407	          219 	
      408	          208 	
      409	          199 	
      410	          213 	
      411	          230 	
      412	          208 	
      413	          231 	
      414	          234 	
      415	          236 	
      416	          249 	
      417	          214 	
      418	          213 	
      419	          225 	
      420	          254 	
      421	          255 	
      422	          238 	
      423	          233 	
      424	          229 	
      425	          194 	
      426	          241 	
      427	          217 	
      428	          229 	
      429	          209 	
      430	          231 	
      431	          212 	
      432	          225 	
      433	          230 	
      434	          251 	
      435	          217 	
      436	          193 	
      437	          212 	
      438	          257 	
      439	          226 	
      440	          213 	
      441	          215 	
      442	          225 	
      443	          234 	
      444	          246 	
      445	          225 	
      446	          223 	
      447	          207 	
      448	          273 	
      449	          215 	
      450	          233 	
      451	          246 	
      452	          225 	
      453	          223 	
      454	          224 	
      455	          231 	
      456	          240 	
      457	          271 	
      458	          214 	
      459	          219 	
      460	          198 	
      461	          219 	
      462	          227 	
      463	          236 	
      464	          220 	
      465	          224 	
      466	          199 	
      467	          248 	
      468	          228 	
      469	          225 	
      470	          213 	
      471	          244 	
      472	          231 	
      473	          233 	
      474	          229 	
      475	          210 	
      476	          213 	
      477	          217 	
      478	          209 	
      479	          209 	
      480	          216 	
      481	          233 	
      482	          205 	
      483	          239 	
      484	          220 	
      485	          218 	
      486	          246 	
      487	          240 	
      488	          238 	
      489	          234 	
      490	          224 	
      491	          224 	
      492	          196 	
      493	          235 	
      494	          242 	
      495	          244 	
      496	          237 	
      497	          215 	
      498	          208 	
      499	          237 	
      500	          220 	
      501	          220 	
      502	          250 	
      503	          225 	
