Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-07-16
Time (HH:MM:SS):	16:22:19
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	          396 	
        2	          403 	
        3	          443 	
        4	          390 	
        5	          437 	
        6	          418 	
        7	          389 	
        8	          410 	
        9	          409 	
       10	          419 	
       11	          418 	
       12	          443 	
       13	          399 	
       14	          415 	
       15	          391 	
       16	          398 	
       17	          404 	
       18	          392 	
       19	          438 	
       20	          433 	
       21	          426 	
       22	          396 	
       23	          395 	
       24	          456 	
       25	          440 	
       26	          472 	
       27	          429 	
       28	          461 	
       29	          422 	
       30	          423 	
       31	          404 	
       32	          407 	
       33	          410 	
       34	          411 	
       35	          384 	
       36	          401 	
       37	          432 	
       38	          417 	
       39	          431 	
       40	          422 	
       41	          390 	
       42	          386 	
       43	          443 	
       44	          423 	
       45	          434 	
       46	          427 	
       47	          446 	
       48	          388 	
       49	          475 	
       50	          406 	
       51	          399 	
       52	          397 	
       53	          415 	
       54	          370 	
       55	          411 	
       56	          396 	
       57	          419 	
       58	          423 	
       59	          390 	
       60	          432 	
       61	          401 	
       62	          427 	
       63	          422 	
       64	          420 	
       65	          456 	
       66	          403 	
       67	          413 	
       68	          400 	
       69	          465 	
       70	          443 	
       71	          388 	
       72	          456 	
       73	          391 	
       74	          388 	
       75	          453 	
       76	          394 	
       77	          431 	
       78	          424 	
       79	          412 	
       80	          464 	
       81	          381 	
       82	          399 	
       83	          430 	
       84	          392 	
       85	          405 	
       86	          434 	
       87	          420 	
       88	          388 	
       89	          443 	
       90	          418 	
       91	          405 	
       92	          428 	
       93	          428 	
       94	          411 	
       95	          464 	
       96	          483 	
       97	          437 	
       98	          419 	
       99	          448 	
      100	          414 	
      101	          402 	
      102	          411 	
      103	          457 	
      104	          451 	
      105	          420 	
      106	          452 	
      107	          424 	
      108	          403 	
      109	          409 	
      110	          401 	
      111	          422 	
      112	          417 	
      113	          397 	
      114	          416 	
      115	          459 	
      116	          446 	
      117	          415 	
      118	          412 	
      119	          406 	
      120	          470 	
      121	          407 	
      122	          399 	
      123	          418 	
      124	          396 	
      125	          435 	
      126	          395 	
      127	          441 	
      128	          408 	
      129	          415 	
      130	          455 	
      131	          445 	
      132	          434 	
      133	          405 	
      134	          442 	
      135	          445 	
      136	          397 	
      137	          427 	
      138	          421 	
      139	          449 	
      140	          429 	
      141	          436 	
      142	          375 	
