Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-07-11
Time (HH:MM:SS):	15:26:28
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	           94 	
        2	           99 	
        3	           84 	
        4	          102 	
        5	          102 	
        6	          102 	
        7	           86 	
        8	          105 	
        9	          103 	
       10	          124 	
       11	           84 	
       12	           81 	
       13	           96 	
       14	          109 	
       15	           99 	
       16	           94 	
       17	          112 	
       18	          100 	
       19	          110 	
       20	          107 	
       21	           79 	
       22	           96 	
       23	           79 	
       24	           89 	
       25	           90 	
       26	           90 	
       27	          107 	
       28	          107 	
       29	           95 	
       30	          104 	
       31	          109 	
       32	           92 	
       33	          125 	
       34	           91 	
       35	           97 	
       36	           98 	
       37	          109 	
       38	           96 	
       39	           94 	
       40	           84 	
       41	           90 	
       42	           84 	
       43	           84 	
       44	           90 	
       45	          108 	
       46	           83 	
       47	          101 	
       48	           87 	
       49	           86 	
       50	           89 	
       51	           97 	
       52	          111 	
       53	           88 	
       54	          106 	
       55	           87 	
       56	          107 	
       57	          100 	
       58	          102 	
       59	          115 	
       60	          102 	
       61	           97 	
       62	           89 	
       63	          108 	
       64	          119 	
       65	          104 	
       66	          117 	
       67	          100 	
       68	           97 	
       69	          124 	
       70	          101 	
       71	           95 	
       72	           99 	
       73	          107 	
       74	          103 	
       75	          106 	
       76	           99 	
       77	          111 	
       78	          104 	
       79	          102 	
       80	          118 	
       81	          105 	
       82	          102 	
       83	           97 	
       84	           96 	
       85	           93 	
       86	          111 	
       87	          101 	
       88	          100 	
       89	           86 	
       90	          110 	
       91	           86 	
       92	           94 	
       93	           98 	
       94	           99 	
       95	           96 	
       96	           98 	
       97	          107 	
       98	          112 	
       99	          117 	
      100	          103 	
      101	          104 	
      102	           86 	
      103	          118 	
      104	          103 	
      105	          106 	
      106	           97 	
      107	          107 	
      108	           99 	
      109	           73 	
      110	           98 	
      111	          107 	
      112	          120 	
      113	          115 	
      114	           97 	
      115	           95 	
      116	           85 	
      117	          118 	
      118	          121 	
      119	          113 	
      120	          107 	
      121	          107 	
      122	          126 	
      123	          109 	
      124	          106 	
      125	          112 	
      126	          113 	
      127	          102 	
      128	          102 	
      129	           92 	
      130	          103 	
      131	           94 	
      132	          122 	
      133	          113 	
      134	          113 	
      135	           95 	
      136	           93 	
      137	           86 	
      138	           90 	
      139	          118 	
      140	          102 	
      141	          113 	
      142	          121 	
      143	           88 	
      144	          107 	
      145	          116 	
      146	           71 	
      147	           97 	
      148	           86 	
      149	           87 	
      150	           90 	
      151	           89 	
      152	           88 	
      153	          111 	
      154	           92 	
      155	           94 	
      156	           95 	
      157	           96 	
      158	           98 	
      159	           98 	
      160	          117 	
      161	           92 	
      162	          116 	
      163	           87 	
      164	          101 	
      165	           96 	
      166	          100 	
      167	           86 	
      168	          108 	
      169	          118 	
      170	           97 	
      171	          101 	
      172	           88 	
      173	          101 	
      174	           90 	
      175	          111 	
      176	          109 	
      177	           94 	
      178	           96 	
      179	          100 	
      180	           99 	
      181	          114 	
      182	           97 	
      183	          102 	
      184	          101 	
      185	           98 	
      186	           89 	
      187	          111 	
      188	          116 	
      189	           97 	
      190	           93 	
      191	           82 	
      192	           79 	
      193	          100 	
      194	           91 	
      195	           92 	
      196	           87 	
      197	           94 	
      198	          109 	
      199	          103 	
      200	           86 	
      201	           97 	
      202	          111 	
      203	          103 	
      204	          105 	
      205	           96 	
      206	          101 	
      207	          105 	
      208	          100 	
      209	          104 	
      210	           97 	
      211	           98 	
      212	          114 	
      213	           85 	
      214	           86 	
      215	           91 	
      216	           99 	
      217	           96 	
      218	           89 	
      219	           90 	
      220	           93 	
      221	          105 	
      222	           97 	
      223	          102 	
      224	          112 	
      225	           94 	
      226	           99 	
      227	          101 	
      228	          105 	
      229	           96 	
      230	          106 	
      231	          110 	
      232	           85 	
      233	          104 	
      234	           82 	
      235	           79 	
      236	           87 	
      237	          108 	
      238	           86 	
      239	          113 	
      240	           83 	
      241	           92 	
      242	           94 	
      243	           91 	
      244	           95 	
      245	          104 	
      246	          105 	
      247	           96 	
      248	          107 	
      249	          107 	
      250	          101 	
      251	           82 	
      252	           85 	
      253	          108 	
      254	          100 	
      255	           89 	
      256	          107 	
      257	          110 	
      258	          105 	
      259	           84 	
      260	          106 	
      261	           99 	
      262	           92 	
      263	           79 	
      264	           90 	
      265	           99 	
      266	           91 	
      267	           97 	
      268	          114 	
      269	           94 	
      270	           87 	
      271	           97 	
      272	          101 	
      273	          110 	
      274	           95 	
      275	          102 	
      276	           99 	
      277	          100 	
      278	           82 	
      279	           95 	
      280	          103 	
      281	           99 	
      282	           99 	
      283	          122 	
      284	          114 	
      285	          120 	
      286	          112 	
      287	           98 	
      288	           99 	
      289	          105 	
      290	          101 	
      291	          103 	
      292	           92 	
      293	           92 	
      294	          107 	
      295	          107 	
      296	           86 	
      297	          105 	
      298	           97 	
      299	          114 	
      300	           99 	
      301	           95 	
      302	          104 	
      303	          101 	
      304	           85 	
      305	           89 	
      306	          114 	
      307	          109 	
      308	          113 	
      309	          108 	
      310	          116 	
      311	          108 	
      312	          122 	
      313	           90 	
      314	           96 	
      315	           72 	
      316	          115 	
      317	          113 	
      318	           88 	
      319	           83 	
      320	           97 	
      321	          115 	
      322	           82 	
      323	          107 	
      324	           99 	
      325	          106 	
      326	          109 	
      327	          111 	
      328	          106 	
      329	           91 	
      330	          116 	
      331	           99 	
      332	          101 	
      333	           94 	
      334	          112 	
      335	          100 	
      336	           91 	
      337	          106 	
      338	           84 	
      339	           92 	
      340	          102 	
      341	          107 	
      342	          112 	
      343	          101 	
      344	           86 	
      345	           92 	
      346	           96 	
      347	           81 	
      348	           89 	
      349	           92 	
      350	          107 	
      351	           89 	
      352	           92 	
      353	           79 	
      354	          102 	
      355	           92 	
      356	          106 	
      357	          129 	
      358	          104 	
      359	          100 	
      360	          104 	
      361	          114 	
      362	          116 	
      363	           97 	
      364	          110 	
      365	           90 	
      366	           87 	
      367	          104 	
      368	          108 	
      369	          105 	
      370	          112 	
      371	          112 	
      372	          105 	
      373	          121 	
      374	          103 	
      375	          114 	
      376	          104 	
      377	          103 	
      378	           91 	
      379	           92 	
      380	           98 	
      381	           86 	
      382	          112 	
      383	           90 	
      384	           77 	
      385	           97 	
      386	           95 	
      387	           96 	
      388	           90 	
      389	          120 	
      390	           95 	
      391	           92 	
      392	           99 	
      393	           99 	
      394	           95 	
      395	          107 	
      396	          112 	
      397	           90 	
      398	           83 	
      399	          102 	
      400	           99 	
      401	          100 	
      402	           86 	
      403	           88 	
      404	           91 	
      405	           97 	
      406	           92 	
      407	          101 	
      408	          107 	
      409	          100 	
      410	          101 	
      411	           87 	
      412	           99 	
      413	          108 	
      414	           99 	
      415	           93 	
      416	          106 	
      417	           97 	
      418	          101 	
      419	           93 	
      420	           79 	
      421	          101 	
      422	           77 	
      423	          107 	
      424	          118 	
      425	          102 	
      426	          112 	
      427	          121 	
      428	          131 	
      429	           96 	
      430	          112 	
      431	           95 	
      432	          106 	
      433	          115 	
      434	          100 	
      435	          106 	
      436	          112 	
      437	          103 	
      438	           86 	
      439	           98 	
      440	          106 	
      441	          112 	
      442	          111 	
      443	          109 	
      444	           99 	
      445	          104 	
      446	          110 	
      447	           97 	
      448	           82 	
      449	           91 	
      450	           94 	
      451	           85 	
      452	          103 	
      453	          113 	
      454	          102 	
      455	           84 	
      456	          108 	
      457	          101 	
      458	           81 	
      459	          107 	
      460	          116 	
      461	          103 	
      462	           79 	
      463	           80 	
      464	          105 	
      465	           90 	
      466	           94 	
      467	           98 	
      468	          101 	
      469	          110 	
      470	          130 	
      471	           97 	
      472	          103 	
      473	          103 	
      474	          106 	
      475	          107 	
      476	           94 	
      477	          128 	
      478	          104 	
      479	           88 	
      480	          105 	
      481	          108 	
      482	          110 	
      483	          100 	
      484	          109 	
      485	          105 	
      486	           96 	
      487	          117 	
      488	           91 	
      489	          127 	
      490	           97 	
      491	          103 	
      492	           92 	
      493	           93 	
      494	           84 	
      495	          116 	
      496	           77 	
      497	           90 	
      498	          107 	
      499	           93 	
      500	          123 	
      501	           97 	
      502	           92 	
      503	           96 	
      504	           93 	
      505	           86 	
      506	           94 	
      507	          103 	
      508	          119 	
      509	          100 	
      510	          105 	
      511	          102 	
      512	           95 	
      513	           88 	
      514	           92 	
      515	           98 	
      516	           91 	
      517	          108 	
      518	          103 	
      519	          117 	
      520	          100 	
      521	           80 	
      522	          109 	
      523	           95 	
      524	           84 	
      525	           93 	
      526	          102 	
      527	          107 	
      528	           93 	
      529	           90 	
      530	          112 	
      531	          116 	
      532	           83 	
      533	           99 	
      534	           86 	
      535	           97 	
      536	          103 	
      537	           79 	
      538	          100 	
      539	          107 	
      540	           84 	
      541	          108 	
      542	          118 	
      543	          102 	
      544	          111 	
      545	          112 	
      546	           83 	
      547	           86 	
      548	           94 	
      549	          100 	
      550	          101 	
      551	           89 	
      552	           81 	
      553	           88 	
      554	           86 	
      555	          105 	
      556	           82 	
      557	           87 	
      558	          117 	
      559	           99 	
      560	          116 	
      561	           99 	
      562	           94 	
      563	          102 	
      564	          107 	
