Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-07-11
Time (HH:MM:SS):	15:06:01
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	          213 	
        2	          234 	
        3	          219 	
        4	          213 	
        5	          231 	
        6	          215 	
        7	          222 	
        8	          200 	
        9	          230 	
       10	          231 	
       11	          226 	
       12	          229 	
       13	          218 	
       14	          231 	
       15	          232 	
       16	          221 	
       17	          239 	
       18	          237 	
       19	          225 	
       20	          211 	
       21	          240 	
       22	          216 	
       23	          174 	
       24	          255 	
       25	          199 	
       26	          215 	
       27	          224 	
       28	          179 	
       29	          179 	
       30	          214 	
       31	          229 	
       32	          227 	
       33	          214 	
       34	          214 	
       35	          221 	
       36	          196 	
       37	          209 	
       38	          212 	
       39	          208 	
       40	          222 	
       41	          220 	
       42	          224 	
       43	          206 	
       44	          246 	
       45	          210 	
       46	          224 	
       47	          199 	
       48	          227 	
       49	          205 	
       50	          220 	
       51	          189 	
       52	          218 	
       53	          246 	
       54	          219 	
       55	          248 	
       56	          190 	
       57	          224 	
       58	          215 	
       59	          263 	
       60	          235 	
       61	          241 	
       62	          219 	
       63	          204 	
       64	          227 	
       65	          216 	
       66	          205 	
       67	          174 	
       68	          241 	
       69	          200 	
       70	          192 	
       71	          219 	
       72	          176 	
       73	          244 	
       74	          232 	
       75	          215 	
       76	          230 	
       77	          239 	
       78	          213 	
       79	          211 	
       80	          213 	
       81	          252 	
       82	          238 	
       83	          214 	
       84	          229 	
       85	          223 	
       86	          238 	
       87	          222 	
       88	          208 	
       89	          205 	
       90	          218 	
       91	          206 	
       92	          221 	
       93	          214 	
       94	          231 	
       95	          211 	
       96	          225 	
       97	          221 	
       98	          210 	
       99	          196 	
      100	          209 	
      101	          224 	
      102	          200 	
      103	          193 	
      104	          234 	
      105	          226 	
      106	          185 	
      107	          223 	
      108	          180 	
      109	          214 	
      110	          197 	
      111	          193 	
      112	          218 	
      113	          229 	
      114	          198 	
      115	          229 	
      116	          251 	
      117	          203 	
      118	          204 	
      119	          235 	
      120	          219 	
      121	          238 	
      122	          230 	
      123	          221 	
      124	          210 	
      125	          235 	
      126	          186 	
      127	          212 	
      128	          218 	
      129	          229 	
      130	          228 	
      131	          239 	
      132	          219 	
      133	          234 	
      134	          223 	
      135	          222 	
      136	          234 	
      137	          231 	
      138	          211 	
      139	          233 	
      140	          216 	
      141	          194 	
      142	          228 	
      143	          227 	
      144	          204 	
      145	          217 	
      146	          188 	
      147	          203 	
      148	          207 	
      149	          205 	
      150	          200 	
      151	          215 	
      152	          190 	
      153	          224 	
      154	          216 	
      155	          219 	
      156	          237 	
      157	          200 	
      158	          214 	
      159	          214 	
      160	          198 	
      161	          219 	
      162	          229 	
      163	          224 	
      164	          229 	
      165	          245 	
      166	          212 	
      167	          226 	
      168	          212 	
      169	          221 	
      170	          201 	
      171	          201 	
      172	          221 	
      173	          265 	
      174	          222 	
      175	          212 	
      176	          207 	
      177	          241 	
      178	          190 	
      179	          200 	
      180	          202 	
      181	          224 	
      182	          235 	
      183	          228 	
      184	          236 	
      185	          210 	
      186	          224 	
      187	          223 	
      188	          210 	
      189	          227 	
      190	          257 	
      191	          223 	
      192	          229 	
      193	          217 	
      194	          211 	
      195	          240 	
      196	          208 	
