Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-07-11
Time (HH:MM:SS):	14:19:12
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	        18472 	
        2	        18902 	
        3	        19552 	
        4	        19185 	
        5	        19003 	
        6	        18954 	
        7	        18851 	
        8	        18805 	
        9	        18831 	
       10	        18606 	
       11	        18660 	
       12	        18631 	
       13	        18706 	
       14	        18857 	
       15	        18766 	
       16	        18850 	
       17	        18646 	
       18	        18335 	
       19	        18482 	
       20	        18378 	
       21	        18357 	
       22	        17909 	
       23	        18117 	
       24	        18529 	
       25	        18939 	
       26	        19047 	
       27	        19192 	
       28	        19045 	
       29	        19182 	
       30	        19562 	
       31	        19237 	
       32	        19207 	
       33	        19496 	
       34	        19613 	
       35	        19472 	
       36	        19488 	
       37	        19469 	
       38	        19559 	
       39	        19080 	
       40	        19244 	
       41	        19214 	
       42	        19132 	
       43	        19012 	
       44	        19162 	
       45	        19043 	
       46	        19300 	
       47	        19277 	
       48	        19206 	
       49	        19022 	
       50	        18302 	
       51	        18227 	
       52	        18319 	
       53	        18340 	
       54	        18357 	
       55	        17845 	
       56	        17892 	
       57	        18217 	
       58	        18415 	
       59	        18204 	
       60	        18160 	
       61	        18238 	
       62	        18227 	
       63	        18418 	
       64	        18553 	
       65	        18817 	
       66	        18553 	
       67	        18538 	
       68	        18392 	
       69	        18412 	
       70	        18534 	
       71	        18237 	
       72	        18403 	
       73	        18472 	
       74	        18430 	
       75	        18577 	
       76	        18200 	
       77	        18306 	
       78	        18100 	
       79	        17718 	
       80	        18091 	
       81	        17736 	
       82	        17326 	
       83	        17663 	
       84	        18007 	
       85	        18251 	
       86	        18311 	
       87	        17994 	
       88	        18002 	
       89	        17858 	
       90	        17951 	
       91	        17919 	
       92	        18179 	
       93	        18030 	
       94	        18325 	
       95	        18514 	
       96	        19678 	
       97	        19689 	
       98	        19847 	
       99	        19970 	
      100	        19799 	
      101	        19891 	
      102	        19945 	
      103	        19920 	
      104	        19874 	
      105	        19512 	
      106	        19463 	
      107	        19286 	
      108	        18967 	
      109	        18928 	
      110	        18811 	
      111	        18132 	
      112	        17851 	
      113	        18225 	
      114	        18302 	
      115	        18280 	
      116	        18629 	
      117	        18836 	
      118	        18603 	
      119	        18717 	
      120	        18613 	
      121	        18923 	
      122	        18805 	
      123	        18873 	
      124	        18833 	
      125	        18793 	
      126	        19013 	
      127	        18600 	
      128	        18454 	
      129	        18336 	
      130	        18578 	
      131	        18604 	
      132	        18592 	
      133	        18786 	
      134	        18971 	
      135	        18553 	
      136	        18628 	
      137	        18755 	
      138	        19014 	
      139	        18791 	
      140	        18450 	
      141	        18360 	
      142	        18283 	
      143	        18070 	
      144	        18190 	
      145	        18197 	
      146	        17976 	
      147	        18029 	
      148	        17997 	
      149	        17988 	
      150	        18081 	
      151	        18271 	
      152	        18250 	
      153	        18076 	
      154	        18283 	
      155	        18587 	
      156	        18779 	
      157	        18716 	
      158	        18667 	
      159	        18761 	
      160	        19008 	
      161	        18604 	
      162	        19078 	
      163	        18908 	
      164	        18928 	
      165	        18712 	
      166	        18947 	
      167	        18203 	
      168	        17920 	
      169	        17787 	
      170	        17635 	
      171	        17633 	
      172	        17494 	
      173	        17332 	
      174	        17554 	
      175	        17742 	
      176	        17413 	
      177	        17284 	
      178	        17255 	
      179	        17238 	
      180	        17251 	
      181	        17433 	
      182	        17454 	
      183	        17756 	
      184	        17328 	
      185	        17222 	
      186	        17550 	
      187	        17285 	
      188	        17453 	
      189	        17414 	
      190	        17495 	
      191	        17248 	
      192	        17480 	
      193	        17396 	
      194	        17315 	
      195	        17279 	
      196	        17304 	
      197	        17510 	
      198	        17215 	
      199	        17552 	
      200	        17529 	
      201	        17565 	
      202	        17417 	
      203	        17619 	
      204	        17883 	
      205	        18284 	
      206	        18816 	
      207	        18532 	
      208	        18131 	
      209	        17917 	
      210	        18268 	
      211	        17866 	
      212	        17930 	
      213	        18295 	
      214	        18590 	
      215	        19300 	
      216	        19168 	
      217	        19151 	
      218	        19115 	
      219	        19038 	
      220	        19273 	
      221	        19195 	
      222	        18860 	
      223	        18520 	
      224	        18634 	
      225	        18638 	
      226	        18610 	
      227	        18616 	
      228	        18611 	
      229	        18152 	
      230	        18219 	
