Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-07-11
Time (HH:MM:SS):	14:17:34
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	         1664 	
        2	         1634 	
        3	         1691 	
        4	         1640 	
        5	         1711 	
        6	         1621 	
        7	         1688 	
        8	         1614 	
        9	         1699 	
       10	         1714 	
       11	         1702 	
       12	         1637 	
       13	         1706 	
       14	         1581 	
       15	         1552 	
       16	         1522 	
       17	         1538 	
       18	         1538 	
       19	         1523 	
       20	         1443 	
       21	         1602 	
       22	         1603 	
       23	         1584 	
       24	         1603 	
       25	         1519 	
       26	         1508 	
       27	         1608 	
       28	         1548 	
       29	         1630 	
       30	         1572 	
       31	         1579 	
       32	         1560 	
       33	         1562 	
       34	         1575 	
       35	         1548 	
       36	         1487 	
       37	         1474 	
       38	         1593 	
       39	         1600 	
       40	         1633 	
       41	         1602 	
       42	         1679 	
       43	         1737 	
       44	         1671 	
       45	         1709 	
       46	         1615 	
       47	         1736 	
       48	         1658 	
       49	         1628 	
       50	         1640 	
       51	         1597 	
       52	         1635 	
       53	         1573 	
       54	         1642 	
       55	         1634 	
       56	         1589 	
       57	         1584 	
       58	         1619 	
       59	         1593 	
       60	         1554 	
       61	         1621 	
       62	         1586 	
       63	         1598 	
       64	         1662 	
       65	         1556 	
       66	         1554 	
       67	         1562 	
       68	         1592 	
       69	         1632 	
       70	         1559 	
       71	         1644 	
       72	         1700 	
       73	         1596 	
       74	         1595 	
       75	         1596 	
       76	         1602 	
       77	         1584 	
       78	         1670 	
       79	         1689 	
       80	         1691 	
       81	         1757 	
       82	         1699 	
       83	         1584 	
       84	         1654 	
       85	         1625 	
       86	         1618 	
       87	         1590 	
       88	         1557 	
       89	         1614 	
       90	         1561 	
       91	         1584 	
       92	         1624 	
       93	         1611 	
       94	         1598 	
       95	         1683 	
       96	         1673 	
       97	         1748 	
       98	         1711 	
       99	         1662 	
      100	         1697 	
      101	         1683 	
      102	         1738 	
      103	         1720 	
      104	         1827 	
      105	         1690 	
      106	         1743 	
      107	         1646 	
      108	         1771 	
      109	         1687 	
      110	         1545 	
      111	         1574 	
      112	         1551 	
      113	         1594 	
      114	         1621 	
      115	         1538 	
      116	         1535 	
      117	         1508 	
      118	         1521 	
      119	         1483 	
      120	         1552 	
      121	         1464 	
      122	         1554 	
      123	         1558 	
      124	         1512 	
      125	         1457 	
      126	         1574 	
      127	         1476 	
      128	         1615 	
      129	         1496 	
      130	         1572 	
      131	         1519 	
      132	         1646 	
      133	         1522 	
      134	         1556 	
      135	         1532 	
      136	         1583 	
      137	         1590 	
      138	         1545 	
      139	         1642 	
      140	         1606 	
      141	         1579 	
      142	         1571 	
      143	         1545 	
      144	         1571 	
      145	         1566 	
      146	         1584 	
      147	         1613 	
      148	         1529 	
      149	         1597 	
      150	         1530 	
      151	         1512 	
      152	         1569 	
      153	         1608 	
