Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-07-11
Time (HH:MM:SS):	14:14:39
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	         1077 	
        2	         1072 	
        3	         1112 	
        4	         1048 	
        5	         1092 	
        6	         1077 	
        7	         1059 	
        8	         1061 	
        9	         1118 	
       10	         1029 	
       11	         1023 	
       12	         1092 	
       13	         1047 	
       14	         1103 	
       15	         1001 	
       16	         1072 	
       17	         1060 	
       18	         1061 	
       19	         1038 	
       20	         1050 	
       21	         1083 	
       22	         1034 	
       23	         1067 	
       24	         1081 	
       25	         1029 	
       26	         1081 	
       27	         1029 	
       28	         1051 	
       29	         1090 	
       30	         1080 	
       31	         1113 	
       32	         1066 	
       33	         1028 	
       34	         1066 	
       35	         1139 	
       36	         1188 	
       37	         1060 	
       38	         1048 	
       39	          934 	
       40	          956 	
       41	          961 	
       42	          986 	
       43	         1005 	
       44	          938 	
       45	          984 	
       46	          972 	
       47	          917 	
       48	         1022 	
       49	          998 	
       50	          978 	
       51	          990 	
       52	          935 	
       53	          978 	
       54	          965 	
       55	         1022 	
       56	          967 	
       57	          987 	
       58	         1029 	
       59	         1118 	
       60	         1053 	
       61	         1100 	
       62	         1118 	
       63	         1065 	
       64	         1074 	
       65	         1139 	
       66	         1171 	
       67	         1091 	
       68	         1136 	
       69	         1061 	
       70	         1047 	
       71	         1075 	
       72	         1104 	
       73	         1067 	
       74	         1042 	
       75	         1036 	
       76	         1057 	
       77	         1017 	
       78	         1066 	
       79	          986 	
       80	         1046 	
       81	          972 	
       82	         1007 	
       83	          998 	
       84	         1083 	
       85	          973 	
       86	         1101 	
       87	         1015 	
       88	         1046 	
       89	          988 	
       90	          999 	
       91	         1071 	
       92	         1020 	
       93	         1019 	
       94	         1038 	
       95	         1051 	
       96	          989 	
       97	          960 	
       98	         1024 	
       99	         1011 	
      100	         1031 	
      101	         1035 	
      102	          999 	
      103	         1034 	
      104	         1127 	
      105	         1006 	
      106	          990 	
      107	          975 	
      108	         1049 	
      109	         1034 	
      110	         1060 	
      111	         1012 	
      112	         1042 	
      113	         1054 	
      114	         1042 	
      115	         1138 	
      116	         1084 	
      117	         1078 	
      118	         1011 	
      119	         1050 	
      120	         1013 	
      121	          958 	
      122	          971 	
      123	          932 	
      124	          965 	
      125	          935 	
      126	         1070 	
      127	          955 	
      128	         1060 	
      129	         1087 	
      130	          994 	
      131	          969 	
      132	          986 	
      133	         1064 	
      134	         1020 	
      135	          976 	
      136	         1025 	
      137	         1024 	
      138	         1043 	
      139	         1053 	
      140	         1021 	
      141	         1013 	
      142	          921 	
      143	         1023 	
      144	          964 	
      145	          996 	
      146	          942 	
      147	          986 	
      148	          944 	
      149	          965 	
      150	          974 	
      151	          937 	
      152	          968 	
      153	         1018 	
      154	         1003 	
      155	         1011 	
      156	         1040 	
      157	         1057 	
      158	         1037 	
      159	         1112 	
      160	         1062 	
      161	         1059 	
      162	         1092 	
      163	         1060 	
      164	         1030 	
      165	         1055 	
      166	         1048 	
      167	         1040 	
      168	         1079 	
      169	         1039 	
      170	         1080 	
      171	         1027 	
      172	         1082 	
      173	         1050 	
      174	         1041 	
      175	         1041 	
      176	         1056 	
      177	         1056 	
      178	         1019 	
      179	         1002 	
      180	          970 	
      181	         1036 	
      182	         1050 	
      183	          972 	
      184	         1047 	
      185	         1033 	
      186	         1034 	
      187	         1043 	
      188	         1001 	
      189	         1027 	
      190	         1088 	
      191	         1049 	
      192	         1060 	
      193	         1040 	
      194	         1003 	
      195	         1083 	
      196	         1001 	
      197	         1074 	
      198	         1010 	
      199	          975 	
      200	         1032 	
      201	         1031 	
      202	         1043 	
      203	          978 	
      204	         1010 	
      205	          938 	
      206	         1019 	
      207	          981 	
      208	         1085 	
      209	         1004 	
      210	         1098 	
      211	         1025 	
      212	          989 	
      213	          989 	
      214	         1019 	
      215	         1010 	
      216	          941 	
      217	         1009 	
      218	          985 	
      219	         1001 	
      220	         1037 	
      221	         1045 	
      222	         1026 	
      223	         1017 	
      224	          983 	
      225	         1064 	
      226	         1039 	
      227	         1117 	
      228	          994 	
      229	         1029 	
      230	         1066 	
      231	         1038 	
      232	         1037 	
      233	         1067 	
      234	         1077 	
      235	         1029 	
      236	         1109 	
      237	         1024 	
      238	         1055 	
      239	         1080 	
      240	         1042 	
      241	         1004 	
      242	          998 	
      243	         1026 	
      244	         1008 	
      245	         1065 	
      246	         1043 	
      247	         1032 	
      248	          995 	
      249	         1040 	
      250	         1066 	
      251	         1058 	
      252	         1074 	
      253	         1052 	
      254	         1076 	
      255	          976 	
      256	         1033 	
      257	         1084 	
      258	          987 	
      259	         1046 	
      260	          920 	
      261	          961 	
      262	         1014 	
      263	         1004 	
      264	         1042 	
      265	          958 	
      266	         1039 	
      267	         1058 	
      268	         1062 	
      269	          998 	
      270	         1124 	
      271	         1134 	
      272	         1062 	
      273	         1070 	
      274	         1217 	
      275	         1164 	
      276	         1105 	
      277	         1119 	
      278	         1124 	
      279	         1090 	
      280	         1092 	
      281	         1090 	
      282	         1096 	
