Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-07-11
Time (HH:MM:SS):	14:20:53
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	          668 	
        2	          703 	
        3	          690 	
        4	          689 	
        5	          661 	
        6	          732 	
        7	          717 	
        8	          638 	
        9	          637 	
       10	          746 	
       11	          721 	
       12	          667 	
       13	          673 	
       14	          700 	
       15	          692 	
       16	          686 	
       17	          717 	
       18	          728 	
       19	          655 	
       20	          720 	
       21	          717 	
       22	          698 	
       23	          673 	
       24	          731 	
       25	          670 	
       26	          701 	
       27	          741 	
       28	          706 	
       29	          698 	
       30	          671 	
       31	          693 	
       32	          728 	
       33	          679 	
       34	          704 	
       35	          664 	
       36	          716 	
       37	          673 	
       38	          714 	
       39	          659 	
       40	          733 	
       41	          689 	
       42	          695 	
       43	          715 	
       44	          640 	
       45	          687 	
       46	          659 	
       47	          692 	
       48	          721 	
       49	          736 	
       50	          697 	
       51	          729 	
       52	          744 	
       53	          712 	
       54	          706 	
       55	          732 	
       56	          710 	
       57	          754 	
       58	          681 	
       59	          733 	
       60	          723 	
       61	          695 	
       62	          675 	
       63	          727 	
       64	          706 	
       65	          744 	
       66	          727 	
       67	          659 	
       68	          675 	
       69	          710 	
       70	          694 	
       71	          681 	
       72	          695 	
       73	          688 	
       74	          684 	
       75	          687 	
       76	          691 	
       77	          712 	
       78	          759 	
       79	          675 	
       80	          646 	
       81	          725 	
       82	          745 	
       83	          693 	
       84	          690 	
       85	          692 	
       86	          727 	
       87	          765 	
       88	          727 	
       89	          737 	
       90	          747 	
       91	          728 	
       92	          704 	
       93	          704 	
       94	          680 	
       95	          723 	
       96	          708 	
       97	          691 	
       98	          680 	
       99	          677 	
      100	          663 	
      101	          716 	
      102	          638 	
      103	          670 	
      104	          744 	
      105	          698 	
      106	          724 	
      107	          700 	
      108	          720 	
      109	          675 	
      110	          683 	
      111	          722 	
      112	          690 	
      113	          714 	
      114	          703 	
      115	          689 	
      116	          758 	
      117	          750 	
      118	          635 	
      119	          699 	
      120	          704 	
      121	          724 	
      122	          721 	
      123	          724 	
      124	          714 	
      125	          747 	
      126	          699 	
      127	          726 	
      128	          679 	
      129	          721 	
      130	          708 	
      131	          658 	
      132	          665 	
      133	          697 	
