Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-07-11
Time (HH:MM:SS):	14:15:52
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	         3873 	
        2	         3917 	
        3	         3887 	
        4	         3830 	
        5	         3934 	
        6	         3880 	
        7	         3902 	
        8	         3855 	
        9	         3884 	
       10	         3718 	
       11	         3783 	
       12	         3861 	
       13	         3940 	
       14	         4019 	
       15	         3805 	
       16	         3758 	
       17	         3878 	
       18	         4036 	
       19	         3999 	
       20	         3889 	
       21	         3975 	
       22	         4001 	
       23	         3920 	
       24	         3984 	
       25	         3890 	
       26	         3885 	
       27	         3942 	
       28	         3759 	
       29	         3830 	
       30	         3609 	
       31	         3651 	
       32	         3605 	
       33	         3555 	
       34	         3572 	
       35	         3532 	
       36	         3698 	
       37	         3893 	
       38	         3788 	
       39	         3805 	
       40	         3781 	
       41	         3797 	
       42	         3878 	
       43	         3760 	
       44	         3962 	
       45	         3909 	
       46	         3952 	
       47	         3835 	
       48	         3919 	
       49	         3974 	
       50	         3867 	
       51	         3766 	
       52	         3827 	
       53	         4037 	
       54	         3880 	
       55	         3503 	
       56	         3809 	
       57	         3659 	
       58	         3585 	
       59	         3841 	
       60	         3657 	
       61	         3854 	
       62	         3895 	
       63	         3908 	
       64	         4021 	
       65	         4100 	
       66	         4160 	
       67	         4055 	
       68	         3972 	
       69	         4025 	
       70	         3886 	
       71	         3946 	
       72	         3944 	
       73	         3957 	
       74	         3822 	
       75	         3791 	
       76	         3884 	
       77	         3911 	
       78	         3904 	
       79	         3930 	
       80	         3989 	
       81	         3846 	
       82	         3856 	
       83	         3877 	
       84	         3814 	
       85	         3812 	
       86	         3738 	
       87	         3729 	
       88	         3811 	
       89	         3919 	
       90	         3793 	
       91	         3768 	
       92	         3844 	
       93	         3938 	
       94	         3851 	
       95	         3802 	
       96	         3817 	
       97	         3862 	
       98	         3862 	
       99	         3883 	
      100	         3849 	
      101	         3855 	
      102	         3930 	
      103	         3874 	
      104	         3812 	
      105	         3860 	
      106	         3977 	
      107	         3836 	
      108	         3812 	
      109	         3740 	
      110	         3770 	
      111	         3842 	
      112	         3854 	
      113	         3754 	
      114	         3677 	
      115	         3871 	
      116	         3932 	
      117	         3904 	
      118	         3987 	
      119	         4047 	
      120	         3969 	
      121	         3707 	
      122	         3746 	
      123	         3806 	
      124	         3539 	
      125	         3895 	
      126	         4019 	
      127	         3978 	
      128	         3856 	
      129	         3892 	
      130	         3839 	
      131	         3896 	
      132	         3926 	
      133	         3852 	
      134	         3887 	
      135	         4053 	
      136	         4021 	
      137	         4035 	
      138	         4012 	
      139	         3908 	
      140	         3881 	
      141	         4050 	
      142	         3887 	
      143	         3891 	
      144	         3926 	
      145	         3863 	
      146	         3928 	
      147	         4124 	
      148	         4372 	
      149	         4125 	
      150	         4027 	
      151	         3643 	
      152	         3816 	
      153	         4033 	
      154	         4044 	
      155	         4118 	
      156	         3968 	
      157	         3963 	
      158	         3717 	
      159	         3731 	
      160	         3824 	
      161	         3825 	
      162	         3937 	
      163	         3936 	
      164	         3890 	
      165	         3824 	
      166	         3949 	
      167	         4019 	
      168	         3923 	
      169	         3964 	
      170	         3898 	
      171	         3730 	
      172	         3739 	
      173	         3580 	
      174	         3669 	
      175	         3853 	
      176	         3964 	
      177	         3936 	
      178	         3862 	
      179	         3816 	
      180	         3797 	
      181	         3681 	
      182	         3787 	
      183	         3655 	
      184	         3800 	
      185	         3690 	
      186	         3697 	
      187	         4200 	
      188	         4285 	
      189	         4380 	
      190	         3962 	
      191	         3788 	
      192	         3838 	
      193	         4103 	
      194	         4017 	
      195	         3953 	
      196	         3885 	
      197	         3948 	
      198	         3987 	
      199	         3797 	
      200	         3797 	
      201	         3872 	
      202	         3709 	
      203	         4112 	
      204	         4062 	
      205	         3972 	
      206	         3994 	
      207	         3834 	
      208	         3856 	
      209	         3900 	
      210	         3911 	
      211	         3707 	
      212	         3713 	
      213	         3691 	
      214	         3786 	
      215	         3822 	
      216	         3813 	
      217	         3638 	
      218	         3843 	
      219	         3698 	
      220	         3685 	
      221	         3679 	
      222	         3749 	
      223	         3571 	
      224	         3671 	
      225	         3537 	
      226	         3675 	
      227	         3593 	
      228	         3615 	
      229	         3654 	
      230	         3682 	
      231	         3432 	
      232	         3553 	
      233	         3497 	
      234	         3496 	
      235	         3473 	
      236	         3478 	
      237	         3529 	
      238	         3613 	
      239	         3485 	
      240	         3429 	
      241	         3493 	
      242	         3473 	
      243	         3400 	
      244	         3437 	
      245	         3553 	
      246	         3522 	
      247	         3588 	
      248	         3472 	
      249	         3602 	
      250	         4203 	
      251	         4150 	
      252	         4186 	
      253	         4122 	
      254	         4090 	
      255	         3953 	
      256	         3834 	
      257	         3883 	
      258	         3829 	
      259	         3877 	
      260	         3982 	
      261	         4104 	
      262	         4088 	
