Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-07-13
Time (HH:MM:SS):	13:01:01
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	          346 	
        2	          321 	
        3	          331 	
        4	          284 	
        5	          286 	
        6	          332 	
        7	          312 	
        8	          314 	
        9	          324 	
       10	          326 	
       11	          322 	
       12	          294 	
       13	          297 	
       14	          322 	
       15	          348 	
       16	          345 	
       17	          336 	
       18	          338 	
       19	          335 	
       20	          326 	
       21	          279 	
       22	          296 	
       23	          291 	
       24	          330 	
       25	          317 	
       26	          299 	
       27	          322 	
       28	          336 	
       29	          305 	
       30	          303 	
       31	          296 	
       32	          318 	
       33	          312 	
       34	          311 	
       35	          269 	
       36	          301 	
       37	          314 	
       38	          343 	
       39	          322 	
       40	          355 	
       41	          338 	
       42	          306 	
       43	          319 	
       44	          345 	
       45	          325 	
       46	          306 	
       47	          286 	
       48	          301 	
       49	          300 	
       50	          342 	
       51	          301 	
       52	          345 	
       53	          317 	
       54	          321 	
       55	          319 	
       56	          281 	
       57	          281 	
       58	          310 	
       59	          312 	
       60	          344 	
       61	          319 	
       62	          320 	
       63	          316 	
       64	          333 	
       65	          312 	
       66	          342 	
       67	          290 	
       68	          304 	
       69	          285 	
       70	          339 	
       71	          292 	
       72	          333 	
       73	          298 	
       74	          326 	
       75	          302 	
       76	          331 	
       77	          339 	
       78	          291 	
       79	          317 	
       80	          284 	
       81	          327 	
       82	          321 	
       83	          313 	
       84	          306 	
       85	          287 	
       86	          321 	
       87	          324 	
       88	          311 	
       89	          297 	
       90	          284 	
       91	          339 	
       92	          315 	
       93	          325 	
       94	          332 	
       95	          311 	
       96	          352 	
       97	          336 	
       98	          329 	
       99	          326 	
      100	          347 	
      101	          346 	
      102	          338 	
      103	          294 	
      104	          352 	
      105	          343 	
      106	          303 	
      107	          285 	
      108	          307 	
      109	          325 	
      110	          327 	
      111	          306 	
      112	          293 	
      113	          320 	
      114	          318 	
      115	          302 	
      116	          289 	
      117	          317 	
      118	          316 	
      119	          320 	
      120	          305 	
      121	          318 	
      122	          329 	
      123	          314 	
      124	          321 	
      125	          315 	
      126	          311 	
      127	          307 	
      128	          327 	
      129	          320 	
      130	          320 	
      131	          324 	
      132	          301 	
      133	          303 	
      134	          301 	
      135	          298 	
      136	          297 	
      137	          328 	
      138	          337 	
      139	          314 	
      140	          321 	
      141	          312 	
      142	          337 	
      143	          304 	
      144	          346 	
      145	          311 	
      146	          310 	
      147	          314 	
      148	          344 	
      149	          296 	
      150	          267 	
      151	          297 	
      152	          352 	
      153	          311 	
      154	          292 	
      155	          306 	
      156	          307 	
      157	          311 	
      158	          312 	
      159	          305 	
      160	          302 	
      161	          272 	
      162	          290 	
      163	          314 	
      164	          321 	
      165	          305 	
      166	          317 	
      167	          321 	
      168	          276 	
      169	          342 	
      170	          297 	
      171	          285 	
      172	          340 	
      173	          324 	
      174	          321 	
      175	          328 	
      176	          321 	
      177	          333 	
      178	          309 	
      179	          328 	
      180	          304 	
      181	          283 	
      182	          297 	
      183	          319 	
      184	          337 	
      185	          367 	
      186	          319 	
      187	          331 	
      188	          346 	
      189	          301 	
      190	          307 	
      191	          274 	
      192	          322 	
      193	          319 	
      194	          305 	
      195	          305 	
      196	          295 	
      197	          342 	
      198	          294 	
      199	          292 	
      200	          342 	
      201	          337 	
      202	          326 	
      203	          341 	
      204	          344 	
      205	          303 	
      206	          302 	
      207	          311 	
      208	          331 	
