Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-07-13
Time (HH:MM:SS):	13:14:44
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	           13 	
        2	           10 	
        3	           14 	
        4	           10 	
        5	            8 	
        6	           14 	
        7	           16 	
        8	            8 	
        9	           12 	
       10	            7 	
       11	            9 	
       12	           12 	
       13	           10 	
       14	            8 	
       15	           11 	
       16	           10 	
       17	            8 	
       18	           10 	
       19	            7 	
       20	           10 	
       21	           13 	
       22	           16 	
       23	           12 	
       24	           18 	
       25	           12 	
       26	           10 	
       27	            7 	
       28	            9 	
       29	            8 	
       30	            9 	
       31	           22 	
       32	            8 	
       33	            7 	
       34	            8 	
       35	            9 	
       36	           11 	
       37	            4 	
       38	           12 	
       39	           12 	
       40	           12 	
       41	            8 	
       42	            8 	
       43	           13 	
       44	           15 	
       45	           12 	
       46	           13 	
       47	           16 	
       48	           13 	
       49	           14 	
       50	            9 	
       51	            8 	
       52	           11 	
       53	           17 	
       54	            6 	
       55	           16 	
       56	           10 	
       57	            8 	
       58	           19 	
       59	           18 	
       60	           10 	
       61	           11 	
       62	           10 	
       63	           12 	
       64	           16 	
       65	           14 	
       66	           14 	
       67	            9 	
       68	           10 	
       69	            8 	
       70	           12 	
       71	           10 	
       72	            9 	
       73	           10 	
       74	           10 	
       75	           18 	
       76	           21 	
       77	           18 	
       78	           11 	
       79	            6 	
       80	           12 	
       81	           10 	
       82	           14 	
       83	           10 	
       84	           12 	
       85	           12 	
       86	           11 	
       87	           14 	
       88	           12 	
       89	           17 	
       90	           13 	
       91	           12 	
       92	           10 	
       93	            9 	
       94	           17 	
       95	           14 	
       96	            5 	
       97	           15 	
       98	           16 	
       99	           11 	
      100	            8 	
      101	           21 	
      102	            9 	
      103	           14 	
      104	            9 	
      105	           11 	
      106	           13 	
      107	            8 	
      108	            7 	
      109	           16 	
      110	           13 	
      111	           12 	
      112	           14 	
      113	           11 	
      114	           15 	
      115	           13 	
      116	           10 	
      117	           12 	
      118	           10 	
      119	           18 	
      120	           16 	
      121	           15 	
      122	            8 	
      123	           14 	
      124	           15 	
      125	           11 	
      126	            6 	
      127	           12 	
      128	           11 	
      129	           10 	
      130	           16 	
      131	           11 	
      132	           15 	
      133	           21 	
      134	           13 	
      135	           15 	
      136	           13 	
      137	           12 	
      138	           10 	
      139	           13 	
      140	            9 	
      141	           11 	
      142	           12 	
      143	           11 	
      144	           14 	
      145	           14 	
      146	           13 	
      147	           10 	
      148	           13 	
      149	           13 	
      150	            9 	
      151	           14 	
      152	           16 	
      153	            8 	
      154	            4 	
      155	           13 	
      156	           20 	
      157	            3 	
      158	           11 	
      159	           13 	
      160	           22 	
      161	            9 	
      162	            9 	
      163	           12 	
      164	           13 	
      165	            9 	
      166	           16 	
      167	            8 	
      168	            9 	
      169	           13 	
      170	           11 	
      171	           15 	
      172	            8 	
      173	           11 	
      174	           10 	
      175	           12 	
      176	            7 	
      177	            8 	
      178	           10 	
      179	            7 	
      180	            9 	
      181	           13 	
      182	            9 	
      183	           11 	
      184	           13 	
      185	            9 	
      186	           10 	
      187	           15 	
      188	            9 	
      189	           13 	
      190	            9 	
      191	           10 	
      192	           14 	
      193	           12 	
      194	           17 	
      195	            6 	
      196	            5 	
      197	           15 	
      198	           12 	
      199	           12 	
      200	           15 	
      201	           10 	
      202	           12 	
      203	           16 	
      204	           10 	
      205	           20 	
      206	           15 	
      207	            9 	
      208	           10 	
      209	            7 	
      210	           12 	
      211	           18 	
      212	           12 	
      213	           16 	
      214	           15 	
      215	           12 	
      216	           16 	
      217	           11 	
      218	           10 	
      219	           15 	
      220	           13 	
      221	           11 	
      222	           10 	
      223	            8 	
      224	           12 	
      225	            9 	
      226	           10 	
      227	           11 	
      228	           12 	
      229	           12 	
      230	           11 	
      231	           15 	
      232	           14 	
      233	           11 	
      234	           16 	
      235	            8 	
      236	           11 	
      237	           13 	
      238	           13 	
      239	           19 	
      240	           13 	
      241	           16 	
      242	           17 	
      243	           22 	
      244	           14 	
      245	            8 	
      246	           16 	
      247	           13 	
      248	            8 	
      249	            7 	
      250	           10 	
      251	           12 	
      252	           11 	
      253	           13 	
      254	            4 	
      255	           17 	
      256	           17 	
      257	           16 	
      258	           19 	
      259	           10 	
      260	           13 	
      261	            9 	
      262	           17 	
      263	           10 	
      264	           15 	
      265	            9 	
      266	           14 	
      267	            9 	
      268	           11 	
      269	            4 	
      270	           14 	
      271	           10 	
      272	           12 	
      273	           10 	
      274	            8 	
      275	           13 	
      276	            8 	
      277	           19 	
      278	           13 	
      279	            7 	
      280	            7 	
      281	            3 	
      282	           11 	
      283	           13 	
      284	           10 	
      285	            8 	
      286	           11 	
      287	           10 	
      288	            8 	
      289	            4 	
      290	            7 	
      291	           11 	
      292	           12 	
      293	            6 	
      294	           13 	
      295	            8 	
      296	            6 	
      297	           12 	
      298	           16 	
      299	            9 	
      300	           11 	
      301	           15 	
      302	            7 	
      303	            7 	
      304	            6 	
      305	           10 	
      306	           12 	
      307	            3 	
      308	            8 	
      309	           11 	
      310	           12 	
      311	            7 	
      312	           17 	
      313	           15 	
      314	            7 	
      315	           12 	
      316	           12 	
      317	           14 	
