Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-07-13
Time (HH:MM:SS):	13:03:41
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	          252 	
        2	          261 	
        3	          280 	
        4	          241 	
        5	          298 	
        6	          268 	
        7	          249 	
        8	          294 	
        9	          237 	
       10	          243 	
       11	          284 	
       12	          269 	
       13	          283 	
       14	          279 	
       15	          268 	
       16	          276 	
       17	          265 	
       18	          266 	
       19	          232 	
       20	          275 	
       21	          259 	
       22	          251 	
       23	          262 	
       24	          230 	
       25	          274 	
       26	          255 	
       27	          251 	
       28	          302 	
       29	          248 	
       30	          262 	
       31	          243 	
       32	          292 	
       33	          244 	
       34	          234 	
       35	          240 	
       36	          252 	
       37	          252 	
       38	          272 	
       39	          279 	
       40	          272 	
       41	          251 	
       42	          297 	
       43	          261 	
       44	          290 	
       45	          249 	
       46	          256 	
       47	          270 	
       48	          280 	
       49	          248 	
       50	          249 	
       51	          239 	
       52	          256 	
       53	          302 	
       54	          261 	
       55	          283 	
       56	          259 	
       57	          278 	
       58	          237 	
       59	          273 	
       60	          289 	
       61	          257 	
       62	          272 	
       63	          243 	
       64	          302 	
       65	          263 	
       66	          273 	
       67	          242 	
       68	          271 	
       69	          260 	
       70	          278 	
       71	          272 	
       72	          247 	
       73	          267 	
       74	          252 	
       75	          284 	
       76	          278 	
       77	          234 	
       78	          252 	
       79	          264 	
       80	          255 	
       81	          262 	
       82	          270 	
       83	          255 	
       84	          286 	
       85	          273 	
       86	          264 	
       87	          228 	
       88	          257 	
       89	          289 	
       90	          250 	
       91	          255 	
       92	          264 	
       93	          267 	
       94	          269 	
       95	          248 	
       96	          283 	
       97	          242 	
       98	          266 	
       99	          269 	
      100	          262 	
      101	          256 	
      102	          243 	
      103	          254 	
      104	          243 	
      105	          242 	
      106	          236 	
      107	          254 	
