Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-07-13
Time (HH:MM:SS):	13:05:44
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	          773 	
        2	          782 	
        3	          822 	
        4	          773 	
        5	          788 	
        6	          788 	
        7	          798 	
        8	          803 	
        9	          842 	
       10	          779 	
       11	          827 	
       12	          798 	
       13	          775 	
       14	          792 	
       15	          785 	
       16	          802 	
       17	          790 	
       18	          837 	
       19	          825 	
       20	          806 	
       21	          768 	
       22	          823 	
       23	          818 	
       24	          788 	
       25	          807 	
       26	          818 	
       27	          792 	
       28	          793 	
       29	          815 	
       30	          780 	
       31	          820 	
       32	          870 	
       33	          791 	
       34	          813 	
       35	          770 	
       36	          828 	
       37	          791 	
       38	          778 	
       39	          832 	
       40	          795 	
       41	          843 	
       42	          810 	
       43	          780 	
       44	          767 	
       45	          798 	
       46	          814 	
       47	          846 	
       48	          795 	
       49	          757 	
       50	          791 	
       51	          824 	
       52	          792 	
       53	          802 	
       54	          812 	
       55	          847 	
       56	          800 	
       57	          800 	
       58	          798 	
       59	          799 	
       60	          791 	
       61	          801 	
       62	          813 	
       63	          874 	
       64	          801 	
       65	          795 	
       66	          761 	
       67	          805 	
       68	          799 	
       69	          800 	
       70	          793 	
       71	          780 	
       72	          781 	
       73	          809 	
       74	          795 	
       75	          793 	
       76	          858 	
       77	          849 	
       78	          811 	
       79	          820 	
       80	          810 	
       81	          874 	
       82	          791 	
       83	          800 	
       84	          775 	
       85	          833 	
       86	          782 	
       87	          817 	
       88	          852 	
       89	          827 	
       90	          831 	
       91	          792 	
       92	          798 	
       93	          768 	
       94	          832 	
       95	          824 	
       96	          820 	
       97	          879 	
       98	          799 	
       99	          799 	
      100	          836 	
      101	          878 	
      102	          819 	
      103	          840 	
      104	          805 	
      105	          807 	
      106	          823 	
      107	          778 	
      108	          783 	
      109	          819 	
      110	          867 	
      111	          778 	
      112	          811 	
      113	          790 	
      114	          784 	
      115	          742 	
      116	          820 	
      117	          839 	
      118	          817 	
      119	          818 	
      120	          790 	
      121	          751 	
      122	          793 	
      123	          820 	
      124	          855 	
      125	          740 	
      126	          862 	
      127	          825 	
      128	          810 	
      129	          772 	
      130	          794 	
      131	          781 	
      132	          822 	
      133	          834 	
      134	          789 	
      135	          760 	
      136	          771 	
      137	          770 	
      138	          796 	
      139	          786 	
      140	          761 	
      141	          818 	
      142	          823 	
      143	          822 	
      144	          815 	
      145	          844 	
      146	          798 	
      147	          851 	
      148	          753 	
      149	          796 	
      150	          809 	
      151	          790 	
      152	          797 	
      153	          799 	
      154	          799 	
      155	          793 	
      156	          843 	
      157	          764 	
      158	          812 	
      159	          865 	
      160	          843 	
      161	          796 	
      162	          798 	
      163	          784 	
      164	          811 	
      165	          743 	
      166	          845 	
      167	          810 	
      168	          788 	
      169	          803 	
      170	          789 	
      171	          816 	
      172	          829 	
      173	          827 	
      174	          780 	
      175	          791 	
      176	          751 	
      177	          814 	
      178	          822 	
      179	          768 	
      180	          825 	
      181	          846 	
      182	          780 	
      183	          766 	
      184	          806 	
      185	          778 	
      186	          820 	
      187	          778 	
      188	          821 	
      189	          776 	
      190	          811 	
      191	          819 	
      192	          767 	
      193	          827 	
      194	          799 	
      195	          847 	
      196	          822 	
      197	          826 	
      198	          824 	
      199	          883 	
      200	          829 	
      201	          782 	
      202	          755 	
      203	          804 	
      204	          781 	
      205	          766 	
      206	          785 	
      207	          813 	
      208	          793 	
      209	          821 	
      210	          784 	
      211	          818 	
      212	          800 	
      213	          773 	
      214	          831 	
      215	          815 	
      216	          830 	
      217	          816 	
      218	          827 	
      219	          769 	
      220	          874 	
      221	          794 	
      222	          793 	
      223	          798 	
      224	          720 	
      225	          818 	
      226	          798 	
      227	          792 	
      228	          766 	
      229	          828 	
      230	          779 	
      231	          827 	
      232	          762 	
      233	          837 	
      234	          803 	
      235	          814 	
      236	          806 	
      237	          751 	
      238	          780 	
      239	          841 	
      240	          882 	
      241	          801 	
      242	          830 	
      243	          834 	
      244	          808 	
      245	          840 	
      246	          834 	
      247	          787 	
      248	          814 	
      249	          787 	
      250	          760 	
      251	          784 	
      252	          805 	
      253	          831 	
      254	          844 	
      255	          795 	
      256	          827 	
      257	          888 	
      258	          789 	
      259	          748 	
      260	          790 	
      261	          761 	
      262	          791 	
      263	          862 	
      264	          835 	
      265	          806 	
      266	          775 	
      267	          716 	
      268	          812 	
      269	          807 	
      270	          779 	
      271	          823 	
      272	          809 	
      273	          811 	
      274	          798 	
      275	          765 	
      276	          785 	
      277	          787 	
      278	          791 	
      279	          789 	
      280	          851 	
      281	          747 	
      282	          880 	
      283	          805 	
      284	          778 	
      285	          812 	
      286	          791 	
      287	          782 	
      288	          786 	
      289	          791 	
      290	          765 	
      291	          770 	
      292	          792 	
      293	          829 	
      294	          735 	
      295	          841 	
      296	          774 	
      297	          811 	
      298	          773 	
      299	          753 	
      300	          791 	
      301	          793 	
      302	          763 	
      303	          803 	
      304	          759 	
      305	          784 	
      306	          831 	
      307	          799 	
      308	          806 	
      309	          814 	
      310	          780 	
      311	          761 	
      312	          797 	
      313	          819 	
      314	          817 	
      315	          795 	
      316	          806 	
      317	          821 	
      318	          787 	
      319	          825 	
      320	          775 	
      321	          759 	
      322	          833 	
      323	          777 	
      324	          816 	
      325	          823 	
      326	          784 	
      327	          777 	
      328	          818 	
      329	          746 	
      330	          753 	
      331	          771 	
      332	          780 	
      333	          756 	
      334	          783 	
      335	          810 	
      336	          777 	
      337	          783 	
      338	          791 	
      339	          825 	
      340	          836 	
