Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-07-13
Time (HH:MM:SS):	12:59:12
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	          562 	
        2	          568 	
        3	          563 	
        4	          509 	
        5	          515 	
        6	          529 	
        7	          542 	
        8	          530 	
        9	          522 	
       10	          555 	
       11	          535 	
       12	          537 	
       13	          517 	
       14	          566 	
       15	          556 	
       16	          573 	
       17	          543 	
       18	          509 	
       19	          524 	
       20	          571 	
       21	          522 	
       22	          569 	
       23	          588 	
       24	          546 	
       25	          559 	
       26	          528 	
       27	          600 	
       28	          541 	
       29	          513 	
       30	          543 	
       31	          557 	
       32	          530 	
       33	          537 	
       34	          577 	
       35	          578 	
       36	          556 	
       37	          549 	
       38	          527 	
       39	          543 	
       40	          517 	
       41	          528 	
       42	          540 	
       43	          483 	
       44	          536 	
       45	          536 	
       46	          527 	
       47	          552 	
       48	          557 	
       49	          513 	
       50	          521 	
       51	          505 	
       52	          597 	
       53	          500 	
       54	          556 	
       55	          546 	
       56	          526 	
       57	          503 	
       58	          550 	
       59	          516 	
       60	          537 	
       61	          556 	
       62	          552 	
       63	          560 	
       64	          556 	
       65	          565 	
       66	          572 	
       67	          578 	
       68	          526 	
       69	          543 	
       70	          540 	
       71	          547 	
       72	          489 	
       73	          584 	
       74	          548 	
       75	          560 	
       76	          530 	
       77	          574 	
       78	          555 	
       79	          563 	
       80	          548 	
       81	          592 	
       82	          581 	
       83	          563 	
       84	          564 	
       85	          539 	
       86	          528 	
       87	          538 	
       88	          585 	
       89	          551 	
       90	          555 	
       91	          566 	
       92	          524 	
       93	          541 	
       94	          587 	
       95	          515 	
       96	          587 	
       97	          521 	
       98	          526 	
       99	          549 	
      100	          569 	
      101	          528 	
      102	          570 	
      103	          531 	
      104	          557 	
      105	          557 	
      106	          533 	
      107	          556 	
      108	          562 	
      109	          587 	
      110	          560 	
      111	          530 	
      112	          555 	
      113	          543 	
      114	          522 	
      115	          572 	
      116	          558 	
      117	          549 	
      118	          546 	
      119	          582 	
      120	          574 	
      121	          556 	
      122	          523 	
      123	          574 	
      124	          578 	
      125	          482 	
      126	          538 	
      127	          539 	
      128	          513 	
      129	          525 	
      130	          567 	
      131	          524 	
      132	          570 	
      133	          556 	
      134	          573 	
      135	          571 	
      136	          561 	
      137	          588 	
      138	          598 	
      139	          575 	
      140	          537 	
      141	          509 	
      142	          533 	
      143	          498 	
      144	          555 	
      145	          577 	
      146	          556 	
      147	          561 	
      148	          524 	
      149	          553 	
      150	          549 	
      151	          561 	
      152	          604 	
      153	          548 	
      154	          547 	
      155	          555 	
      156	          538 	
      157	          474 	
      158	          500 	
      159	          553 	
      160	          558 	
      161	          527 	
      162	          550 	
      163	          548 	
      164	          584 	
      165	          541 	
      166	          545 	
      167	          564 	
      168	          533 	
      169	          579 	
      170	          581 	
      171	          538 	
      172	          502 	
      173	          567 	
      174	          544 	
      175	          539 	
      176	          541 	
      177	          573 	
      178	          538 	
      179	          528 	
      180	          536 	
      181	          518 	
      182	          536 	
      183	          502 	
      184	          578 	
      185	          494 	
      186	          561 	
      187	          494 	
      188	          550 	
      189	          512 	
      190	          520 	
      191	          576 	
      192	          556 	
      193	          556 	
      194	          508 	
      195	          494 	
      196	          520 	
      197	          563 	
      198	          553 	
      199	          496 	
      200	          550 	
      201	          525 	
      202	          511 	
      203	          601 	
      204	          523 	
      205	          545 	
      206	          579 	
      207	          540 	
      208	          561 	
      209	          552 	
      210	          552 	
      211	          529 	
      212	          519 	
      213	          490 	
      214	          561 	
      215	          566 	
      216	          597 	
      217	          521 	
      218	          547 	
      219	          493 	
      220	          565 	
      221	          525 	
      222	          604 	
      223	          555 	
      224	          527 	
      225	          568 	
      226	          539 	
      227	          529 	
      228	          559 	
      229	          550 	
      230	          617 	
      231	          538 	
      232	          533 	
      233	          535 	
      234	          551 	
      235	          559 	
      236	          549 	
      237	          595 	
      238	          531 	
      239	          542 	
      240	          561 	
      241	          541 	
      242	          570 	
      243	          537 	
      244	          529 	
      245	          523 	
      246	          544 	
      247	          535 	
      248	          523 	
      249	          536 	
      250	          535 	
      251	          557 	
      252	          527 	
      253	          556 	
      254	          527 	
      255	          562 	
      256	          518 	
      257	          569 	
      258	          586 	
      259	          516 	
      260	          543 	
      261	          557 	
      262	          517 	
      263	          551 	
      264	          550 	
      265	          559 	
      266	          536 	
      267	          539 	
      268	          557 	
      269	          565 	
      270	          576 	
      271	          542 	
      272	          545 	
      273	          569 	
      274	          557 	
      275	          566 	
      276	          518 	
      277	          587 	
      278	          561 	
      279	          534 	
      280	          562 	
      281	          554 	
      282	          624 	
      283	          573 	
      284	          559 	
      285	          543 	
      286	          623 	
      287	          565 	
      288	          601 	
      289	          567 	
      290	          548 	
      291	          593 	
      292	          568 	
      293	          575 	
      294	          576 	
      295	          551 	
      296	          509 	
      297	          534 	
      298	          551 	
      299	          525 	
      300	          565 	
      301	          545 	
      302	          564 	
      303	          558 	
      304	          520 	
      305	          530 	
      306	          530 	
      307	          547 	
      308	          558 	
      309	          587 	
      310	          531 	
      311	          554 	
      312	          547 	
      313	          602 	
      314	          571 	
      315	          565 	
      316	          617 	
      317	          512 	
      318	          570 	
      319	          591 	
      320	          542 	
      321	          562 	
      322	          554 	
      323	          521 	
      324	          557 	
      325	          545 	
      326	          548 	
      327	          516 	
      328	          596 	
      329	          582 	
      330	          585 	
      331	          585 	
      332	          593 	
      333	          577 	
      334	          570 	
      335	          574 	
      336	          535 	
      337	          570 	
      338	          546 	
      339	          537 	
      340	          611 	
      341	          589 	
      342	          548 	
      343	          584 	
      344	          542 	
      345	          565 	
      346	          567 	
      347	          534 	
      348	          543 	
      349	          506 	
      350	          560 	
      351	          537 	
      352	          566 	
      353	          548 	
      354	          586 	
      355	          565 	
      356	          564 	
      357	          598 	
      358	          561 	
      359	          576 	
      360	          598 	
      361	          556 	
      362	          568 	
      363	          549 	
      364	          604 	
      365	          552 	
      366	          575 	
      367	          574 	
      368	          587 	
      369	          552 	
      370	          581 	
      371	          516 	
      372	          506 	
      373	          555 	
      374	          571 	
      375	          563 	
      376	          512 	
      377	          548 	
      378	          546 	
      379	          537 	
      380	          549 	
      381	          493 	
      382	          577 	
      383	          581 	
      384	          567 	
      385	          533 	
      386	          544 	
      387	          627 	
      388	          552 	
      389	          587 	
      390	          571 	
      391	          600 	
      392	          572 	
      393	          568 	
      394	          533 	
      395	          562 	
      396	          555 	
      397	          566 	
      398	          560 	
      399	          551 	
      400	          549 	
      401	          506 	
      402	          556 	
      403	          553 	
      404	          568 	
      405	          553 	
      406	          570 	
      407	          573 	
      408	          555 	
      409	          515 	
      410	          543 	
      411	          532 	
      412	          550 	
      413	          534 	
      414	          552 	
      415	          525 	
      416	          579 	
      417	          520 	
      418	          579 	
      419	          528 	
      420	          514 	
      421	          564 	
      422	          507 	
      423	          514 	
      424	          542 	
      425	          566 	
      426	          577 	
      427	          568 	
      428	          542 	
      429	          532 	
      430	          532 	
      431	          527 	
      432	          531 	
      433	          563 	
      434	          557 	
      435	          534 	
      436	          571 	
      437	          554 	
      438	          563 	
      439	          536 	
      440	          543 	
      441	          564 	
      442	          566 	
      443	          524 	
      444	          575 	
      445	          541 	
      446	          586 	
      447	          510 	
      448	          560 	
      449	          552 	
      450	          579 	
      451	          590 	
      452	          549 	
      453	          565 	
      454	          564 	
      455	          563 	
      456	          555 	
      457	          535 	
      458	          532 	
      459	          516 	
      460	          531 	
      461	          499 	
      462	          555 	
      463	          533 	
      464	          542 	
      465	          543 	
      466	          517 	
      467	          547 	
      468	          541 	
      469	          493 	
      470	          499 	
      471	          512 	
      472	          541 	
      473	          545 	
      474	          551 	
      475	          537 	
      476	          532 	
      477	          543 	
      478	          512 	
      479	          517 	
