Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-07-13
Time (HH:MM:SS):	13:31:35
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	          828 	
        2	          824 	
        3	          845 	
        4	          859 	
        5	          837 	
        6	          847 	
        7	          838 	
        8	          895 	
        9	          812 	
       10	          810 	
       11	          892 	
       12	          807 	
       13	          853 	
       14	          831 	
       15	          841 	
       16	          823 	
       17	          830 	
       18	          847 	
       19	          828 	
       20	          824 	
       21	          831 	
       22	          845 	
       23	          809 	
       24	          801 	
       25	          780 	
       26	          816 	
       27	          841 	
       28	          841 	
       29	          858 	
       30	          801 	
       31	          875 	
       32	          770 	
       33	          776 	
       34	          841 	
       35	          831 	
       36	          821 	
       37	          834 	
       38	          782 	
       39	          855 	
       40	          807 	
       41	          821 	
       42	          857 	
       43	          855 	
       44	          892 	
       45	          889 	
       46	          882 	
       47	          887 	
       48	          913 	
       49	          891 	
       50	          907 	
       51	          856 	
       52	          792 	
       53	          893 	
       54	          824 	
       55	          845 	
       56	          816 	
       57	          826 	
       58	          813 	
       59	          806 	
       60	          858 	
       61	          873 	
       62	          862 	
       63	          803 	
       64	          807 	
       65	          865 	
       66	          813 	
       67	          850 	
       68	          829 	
       69	          850 	
       70	          786 	
       71	          823 	
       72	          798 	
       73	          851 	
       74	          804 	
       75	          805 	
       76	          805 	
       77	          772 	
       78	          860 	
       79	          821 	
       80	          875 	
       81	          874 	
       82	          845 	
       83	          814 	
       84	          785 	
       85	          856 	
       86	          825 	
       87	          815 	
       88	          856 	
       89	          852 	
       90	          856 	
       91	          833 	
       92	          816 	
       93	          818 	
       94	          900 	
       95	          856 	
       96	          832 	
       97	          818 	
       98	          764 	
       99	          839 	
      100	          859 	
      101	          908 	
      102	          910 	
      103	          815 	
      104	          881 	
      105	          824 	
      106	          827 	
      107	          806 	
      108	          848 	
      109	          858 	
      110	          791 	
      111	          851 	
      112	          847 	
      113	          865 	
      114	          819 	
      115	          811 	
      116	          781 	
      117	          799 	
      118	          801 	
      119	          822 	
      120	          825 	
      121	          825 	
      122	          803 	
      123	          814 	
      124	          819 	
      125	          807 	
      126	          783 	
      127	          779 	
      128	          843 	
      129	          816 	
      130	          816 	
      131	          854 	
      132	          855 	
      133	          839 	
      134	          812 	
      135	          819 	
      136	          825 	
      137	          796 	
      138	          829 	
      139	          808 	
      140	          824 	
      141	          858 	
      142	          832 	
      143	          816 	
      144	          847 	
      145	          850 	
      146	          864 	
      147	          839 	
      148	          854 	
      149	          847 	
      150	          835 	
      151	          850 	
      152	          832 	
      153	          813 	
      154	          794 	
      155	          823 	
      156	          803 	
      157	          752 	
      158	          839 	
      159	          809 	
      160	          776 	
      161	          828 	
      162	          859 	
      163	          836 	
      164	          815 	
      165	          844 	
      166	          831 	
      167	          787 	
      168	          795 	
      169	          838 	
      170	          832 	
      171	          842 	
      172	          865 	
      173	          831 	
      174	          894 	
      175	          901 	
      176	          838 	
      177	          861 	
      178	          855 	
      179	          829 	
      180	          833 	
      181	          853 	
      182	          813 	
      183	          825 	
      184	          853 	
      185	          871 	
      186	          861 	
      187	          928 	
      188	          808 	
      189	          780 	
      190	          834 	
      191	          821 	
      192	          799 	
      193	          893 	
      194	          809 	
      195	          825 	
      196	          829 	
      197	          843 	
      198	          832 	
      199	          839 	
      200	          817 	
      201	          849 	
      202	          861 	
      203	          863 	
      204	          852 	
      205	          903 	
      206	          892 	
      207	          836 	
      208	          880 	
      209	          864 	
      210	          819 	
      211	          848 	
      212	          869 	
      213	          803 	
      214	          828 	
      215	          820 	
      216	          868 	
      217	          812 	
      218	          787 	
      219	          825 	
      220	          811 	
      221	          848 	
      222	          794 	
      223	          855 	
      224	          840 	
      225	          852 	
      226	          866 	
      227	          847 	
      228	          798 	
      229	          836 	
      230	          878 	
      231	          887 	
      232	          845 	
      233	          879 	
      234	          938 	
      235	          904 	
      236	          865 	
      237	          894 	
      238	          832 	
      239	          867 	
      240	          824 	
      241	          834 	
      242	          830 	
      243	          843 	
      244	          795 	
      245	          745 	
      246	          844 	
      247	          863 	
      248	          827 	
      249	          799 	
      250	          835 	
      251	          835 	
      252	          869 	
      253	          830 	
      254	          886 	
      255	          875 	
      256	          831 	
      257	          857 	
      258	          818 	
      259	          830 	
      260	          808 	
      261	          786 	
      262	          818 	
      263	          875 	
      264	          849 	
      265	          824 	
      266	          808 	
      267	          816 	
      268	          884 	
      269	          852 	
      270	          924 	
      271	          854 	
      272	          845 	
      273	          908 	
      274	          885 	
      275	          885 	
      276	          841 	
      277	          864 	
      278	          805 	
      279	          871 	
      280	          837 	
      281	          795 	
      282	          873 	
      283	          840 	
      284	          875 	
      285	          804 	
      286	          827 	
      287	          866 	
      288	          850 	
      289	          810 	
      290	          879 	
      291	          889 	
      292	          869 	
      293	          878 	
      294	          806 	
      295	          900 	
      296	          887 	
      297	          893 	
      298	          887 	
      299	          892 	
      300	          817 	
      301	          878 	
      302	          918 	
      303	          864 	
      304	          872 	
      305	          880 	
      306	          855 	
      307	          890 	
      308	          900 	
      309	          841 	
      310	          865 	
      311	          899 	
      312	          876 	
      313	          837 	
      314	          880 	
      315	          872 	
      316	          888 	
      317	          832 	
      318	          850 	
      319	          891 	
      320	          836 	
      321	          905 	
      322	          869 	
      323	          843 	
      324	          867 	
      325	          895 	
      326	          809 	
      327	          832 	
      328	          838 	
      329	          843 	
      330	          837 	
      331	          773 	
      332	          882 	
      333	          842 	
      334	          849 	
      335	          844 	
      336	          826 	
      337	          835 	
      338	          880 	
      339	          850 	
      340	          812 	
      341	          865 	
      342	          828 	
      343	          884 	
      344	          844 	
      345	          838 	
      346	          848 	
      347	          838 	
      348	          852 	
      349	          821 	
      350	          814 	
      351	          846 	
      352	          880 	
      353	          852 	
      354	          865 	
      355	          911 	
      356	          823 	
      357	          845 	
      358	          873 	
      359	          900 	
      360	          840 	
      361	          876 	
      362	          782 	
      363	          871 	
      364	          876 	
      365	          864 	
      366	          856 	
      367	          867 	
      368	          859 	
      369	          820 	
      370	          859 	
      371	          814 	
      372	          839 	
      373	          830 	
      374	          886 	
      375	          837 	
      376	          774 	
      377	          811 	
      378	          823 	
      379	          841 	
      380	          839 	
      381	          786 	
      382	          806 	
      383	          772 	
      384	          825 	
      385	          788 	
      386	          809 	
      387	          848 	
      388	          815 	
      389	          799 	
      390	          873 	
      391	          818 	
      392	          817 	
      393	          844 	
      394	          794 	
      395	          824 	
      396	          831 	
      397	          848 	
      398	          848 	
      399	          790 	
      400	          888 	
      401	          813 	
      402	          832 	
      403	          836 	
      404	          862 	
      405	          811 	
      406	          787 	
      407	          796 	
      408	          840 	
      409	          886 	
      410	          891 	
      411	          828 	
      412	          841 	
      413	          786 	
      414	          899 	
      415	          846 	
      416	          847 	
      417	          796 	
      418	          821 	
      419	          820 	
      420	          829 	
      421	          862 	
      422	          857 	
      423	          817 	
      424	          895 	
      425	          849 	
      426	          819 	
      427	          849 	
      428	          877 	
      429	          875 	
      430	          844 	
      431	          841 	
      432	          835 	
      433	          854 	
      434	          854 	
      435	          893 	
      436	          837 	
      437	          853 	
      438	          907 	
      439	          895 	
      440	          858 	
      441	          861 	
      442	          835 	
      443	          829 	
      444	          841 	
      445	          824 	
      446	          815 	
      447	          899 	
      448	          895 	
      449	          867 	
      450	          842 	
      451	          938 	
      452	          856 	
      453	          861 	
      454	          839 	
      455	          794 	
      456	          854 	
      457	          832 	
      458	          854 	
      459	          820 	
      460	          793 	
      461	          861 	
      462	          829 	
      463	          859 	
      464	          872 	
      465	          826 	
      466	          813 	
      467	          859 	
      468	          858 	
      469	          851 	
      470	          885 	
      471	          830 	
      472	          885 	
      473	          879 	
      474	          835 	
      475	          859 	
      476	          824 	
      477	          808 	
      478	          844 	
      479	          847 	
      480	          868 	
      481	          798 	
      482	          829 	
      483	          851 	
      484	          880 	
      485	          888 	
      486	          848 	
      487	          849 	
      488	          816 	
      489	          890 	
      490	          836 	
      491	          825 	
      492	          871 	
      493	          861 	
      494	          812 	
      495	          813 	
      496	          885 	
      497	          849 	
      498	          864 	
      499	          928 	
      500	          815 	
      501	          852 	
      502	          856 	
      503	          770 	
      504	          825 	
      505	          850 	
      506	          816 	
      507	          851 	
      508	          885 	
      509	          854 	
      510	          855 	
      511	          851 	
      512	          849 	
      513	          890 	
      514	          781 	
      515	          833 	
      516	          822 	
      517	          854 	
      518	          843 	
      519	          835 	
      520	          860 	
      521	          815 	
      522	          769 	
      523	          917 	
      524	          777 	
      525	          861 	
      526	          835 	
