Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-07-12
Time (HH:MM:SS):	15:24:55
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	          387 	
        2	          397 	
        3	          439 	
        4	          363 	
        5	          412 	
        6	          403 	
        7	          388 	
        8	          377 	
        9	          388 	
       10	          377 	
       11	          415 	
       12	          364 	
       13	          365 	
       14	          402 	
       15	          371 	
       16	          428 	
       17	          444 	
       18	          411 	
       19	          416 	
       20	          426 	
       21	          394 	
       22	          405 	
       23	          397 	
       24	          413 	
       25	          392 	
       26	          379 	
       27	          389 	
       28	          385 	
       29	          361 	
       30	          403 	
       31	          389 	
       32	          409 	
       33	          402 	
       34	          398 	
       35	          347 	
       36	          420 	
       37	          413 	
       38	          400 	
       39	          360 	
       40	          401 	
       41	          374 	
       42	          397 	
       43	          366 	
       44	          357 	
       45	          375 	
       46	          389 	
       47	          331 	
       48	          368 	
       49	          337 	
       50	          388 	
       51	          396 	
       52	          391 	
       53	          424 	
       54	          388 	
       55	          372 	
       56	          393 	
       57	          368 	
       58	          357 	
       59	          365 	
       60	          358 	
       61	          371 	
       62	          389 	
       63	          371 	
       64	          372 	
       65	          369 	
       66	          437 	
       67	          386 	
       68	          371 	
       69	          395 	
       70	          354 	
       71	          367 	
       72	          394 	
       73	          400 	
       74	          381 	
       75	          342 	
       76	          417 	
       77	          375 	
       78	          385 	
       79	          388 	
       80	          375 	
       81	          445 	
       82	          382 	
       83	          358 	
       84	          390 	
       85	          388 	
       86	          424 	
       87	          420 	
       88	          386 	
       89	          376 	
       90	          402 	
       91	          437 	
       92	          375 	
       93	          407 	
       94	          352 	
       95	          391 	
       96	          380 	
       97	          390 	
       98	          390 	
       99	          346 	
      100	          422 	
      101	          401 	
      102	          369 	
      103	          428 	
      104	          401 	
      105	          423 	
      106	          401 	
      107	          372 	
      108	          408 	
      109	          393 	
      110	          352 	
      111	          392 	
      112	          370 	
      113	          392 	
      114	          353 	
      115	          381 	
      116	          397 	
      117	          376 	
      118	          410 	
      119	          383 	
      120	          383 	
      121	          392 	
      122	          418 	
      123	          391 	
      124	          374 	
      125	          364 	
      126	          392 	
      127	          383 	
      128	          371 	
      129	          355 	
      130	          421 	
      131	          367 	
      132	          367 	
      133	          437 	
      134	          367 	
      135	          357 	
      136	          394 	
      137	          397 	
      138	          375 	
      139	          436 	
      140	          385 	
      141	          391 	
      142	          400 	
      143	          386 	
      144	          418 	
      145	          396 	
      146	          364 	
      147	          394 	
      148	          375 	
      149	          408 	
      150	          370 	
      151	          409 	
      152	          410 	
      153	          409 	
      154	          405 	
      155	          420 	
      156	          419 	
      157	          370 	
      158	          353 	
      159	          400 	
      160	          397 	
      161	          382 	
      162	          404 	
      163	          389 	
      164	          353 	
      165	          420 	
      166	          411 	
      167	          446 	
      168	          419 	
      169	          418 	
      170	          377 	
      171	          386 	
      172	          398 	
      173	          426 	
      174	          392 	
      175	          394 	
      176	          363 	
      177	          370 	
      178	          378 	
      179	          363 	
      180	          382 	
      181	          352 	
      182	          347 	
      183	          364 	
      184	          338 	
      185	          358 	
      186	          374 	
      187	          366 	
      188	          401 	
      189	          410 	
      190	          373 	
      191	          390 	
      192	          354 	
      193	          409 	
      194	          375 	
      195	          385 	
      196	          370 	
      197	          407 	
      198	          387 	
      199	          381 	
      200	          417 	
      201	          406 	
      202	          406 	
      203	          421 	
      204	          365 	
      205	          369 	
      206	          376 	
      207	          365 	
      208	          396 	
      209	          394 	
      210	          384 	
      211	          364 	
      212	          377 	
      213	          377 	
      214	          401 	
      215	          391 	
      216	          432 	
      217	          358 	
      218	          369 	
      219	          420 	
      220	          371 	
      221	          372 	
      222	          358 	
      223	          381 	
      224	          391 	
      225	          387 	
      226	          423 	
      227	          430 	
      228	          408 	
      229	          376 	
      230	          405 	
      231	          384 	
      232	          421 	
      233	          411 	
      234	          410 	
      235	          393 	
      236	          428 	
      237	          409 	
      238	          374 	
      239	          376 	
      240	          374 	
      241	          361 	
      242	          380 	
      243	          349 	
      244	          379 	
      245	          400 	
      246	          355 	
      247	          389 	
      248	          352 	
      249	          398 	
      250	          354 	
      251	          394 	
      252	          408 	
      253	          397 	
      254	          362 	
      255	          369 	
      256	          360 	
      257	          386 	
      258	          392 	
      259	          346 	
      260	          347 	
      261	          401 	
      262	          410 	
      263	          380 	
      264	          355 	
      265	          386 	
      266	          383 	
      267	          399 	
      268	          358 	
      269	          374 	
      270	          330 	
      271	          388 	
      272	          381 	
      273	          373 	
      274	          379 	
      275	          398 	
      276	          393 	
      277	          360 	
      278	          369 	
      279	          399 	
      280	          354 	
      281	          371 	
      282	          345 	
      283	          400 	
      284	          347 	
      285	          402 	
      286	          362 	
      287	          379 	
      288	          377 	
      289	          424 	
      290	          423 	
      291	          368 	
      292	          410 	
      293	          412 	
      294	          394 	
      295	          388 	
      296	          390 	
      297	          364 	
      298	          378 	
      299	          378 	
      300	          402 	
      301	          400 	
      302	          344 	
      303	          371 	
      304	          324 	
      305	          355 	
      306	          373 	
      307	          345 	
      308	          388 	
      309	          352 	
      310	          404 	
      311	          410 	
      312	          348 	
      313	          410 	
      314	          355 	
      315	          339 	
      316	          396 	
      317	          377 	
      318	          357 	
      319	          353 	
      320	          391 	
      321	          360 	
      322	          370 	
      323	          370 	
      324	          387 	
      325	          354 	
      326	          380 	
      327	          355 	
      328	          363 	
      329	          393 	
      330	          411 	
      331	          363 	
      332	          383 	
      333	          366 	
      334	          379 	
      335	          415 	
      336	          379 	
      337	          358 	
      338	          384 	
      339	          384 	
      340	          389 	
      341	          369 	
      342	          384 	
      343	          417 	
      344	          433 	
      345	          366 	
      346	          441 	
      347	          417 	
      348	          361 	
      349	          412 	
      350	          365 	
      351	          398 	
      352	          390 	
      353	          356 	
      354	          401 	
      355	          377 	
      356	          359 	
      357	          382 	
      358	          363 	
      359	          371 	
      360	          324 	
      361	          390 	
      362	          359 	
      363	          406 	
      364	          359 	
      365	          436 	
      366	          364 	
      367	          368 	
      368	          375 	
      369	          373 	
      370	          354 	
      371	          381 	
      372	          366 	
      373	          356 	
      374	          390 	
      375	          414 	
      376	          381 	
      377	          375 	
      378	          381 	
      379	          415 	
      380	          392 	
      381	          400 	
      382	          401 	
      383	          390 	
      384	          402 	
      385	          389 	
      386	          386 	
      387	          426 	
      388	          370 	
      389	          386 	
      390	          405 	
      391	          412 	
      392	          383 	
      393	          407 	
