Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-07-16
Time (HH:MM:SS):	17:29:46
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	          676 	
        2	          718 	
        3	          679 	
        4	          683 	
        5	          691 	
        6	          685 	
        7	          645 	
        8	          671 	
        9	          670 	
       10	          695 	
       11	          685 	
       12	          729 	
       13	          711 	
       14	          710 	
       15	          706 	
       16	          726 	
       17	          668 	
       18	          705 	
       19	          700 	
       20	          670 	
       21	          743 	
       22	          735 	
       23	          661 	
       24	          694 	
       25	          669 	
       26	          712 	
       27	          710 	
       28	          726 	
       29	          688 	
       30	          724 	
       31	          698 	
       32	          703 	
       33	          718 	
       34	          684 	
       35	          669 	
       36	          658 	
       37	          657 	
       38	          721 	
       39	          691 	
       40	          650 	
       41	          665 	
       42	          728 	
       43	          714 	
       44	          672 	
       45	          705 	
       46	          701 	
       47	          744 	
       48	          689 	
       49	          702 	
       50	          731 	
       51	          688 	
       52	          664 	
       53	          724 	
       54	          668 	
       55	          685 	
       56	          666 	
       57	          711 	
       58	          728 	
       59	          669 	
       60	          645 	
       61	          654 	
       62	          703 	
       63	          683 	
       64	          729 	
       65	          716 	
       66	          722 	
       67	          734 	
       68	          690 	
       69	          677 	
       70	          664 	
       71	          671 	
       72	          690 	
       73	          659 	
       74	          703 	
       75	          692 	
       76	          642 	
       77	          748 	
       78	          689 	
       79	          629 	
       80	          686 	
       81	          671 	
       82	          683 	
       83	          655 	
       84	          693 	
       85	          727 	
       86	          657 	
       87	          622 	
       88	          710 	
       89	          673 	
       90	          681 	
       91	          699 	
       92	          655 	
       93	          677 	
       94	          693 	
       95	          655 	
       96	          699 	
       97	          708 	
       98	          694 	
       99	          708 	
      100	          638 	
      101	          693 	
      102	          683 	
      103	          706 	
      104	          698 	
      105	          664 	
      106	          650 	
      107	          700 	
      108	          674 	
      109	          725 	
      110	          677 	
      111	          652 	
      112	          678 	
      113	          721 	
      114	          691 	
      115	          670 	
      116	          642 	
      117	          642 	
      118	          676 	
      119	          676 	
      120	          712 	
      121	          706 	
      122	          696 	
      123	          677 	
      124	          665 	
      125	          693 	
      126	          660 	
      127	          663 	
      128	          693 	
      129	          713 	
      130	          720 	
      131	          668 	
      132	          689 	
      133	          732 	
      134	          649 	
      135	          698 	
      136	          671 	
      137	          699 	
      138	          641 	
      139	          697 	
      140	          736 	
      141	          695 	
      142	          679 	
      143	          661 	
      144	          703 	
      145	          684 	
      146	          688 	
      147	          664 	
      148	          681 	
      149	          639 	
      150	          664 	
      151	          683 	
      152	          685 	
      153	          654 	
      154	          670 	
      155	          659 	
      156	          674 	
      157	          720 	
      158	          685 	
      159	          595 	
      160	          690 	
      161	          654 	
      162	          658 	
      163	          701 	
      164	          686 	
      165	          712 	
      166	          662 	
      167	          684 	
      168	          649 	
      169	          704 	
      170	          668 	
      171	          739 	
      172	          681 	
      173	          690 	
      174	          672 	
      175	          692 	
      176	          748 	
      177	          688 	
      178	          662 	
      179	          700 	
      180	          688 	
      181	          702 	
      182	          664 	
      183	          697 	
      184	          679 	
      185	          717 	
      186	          688 	
      187	          660 	
      188	          702 	
      189	          660 	
      190	          665 	
      191	          649 	
      192	          715 	
      193	          671 	
      194	          637 	
      195	          676 	
      196	          701 	
      197	          660 	
      198	          637 	
      199	          691 	
      200	          674 	
      201	          675 	
      202	          654 	
      203	          647 	
      204	          634 	
      205	          639 	
      206	          647 	
      207	          659 	
      208	          699 	
      209	          741 	
      210	          661 	
      211	          656 	
      212	          663 	
      213	          684 	
      214	          648 	
      215	          649 	
      216	          716 	
      217	          740 	
      218	          664 	
      219	          659 	
      220	          661 	
      221	          661 	
      222	          678 	
      223	          709 	
      224	          666 	
      225	          655 	
      226	          690 	
      227	          671 	
      228	          660 	
      229	          653 	
      230	          699 	
      231	          709 	
      232	          675 	
      233	          628 	
      234	          672 	
      235	          670 	
      236	          643 	
      237	          738 	
      238	          696 	
      239	          746 	
      240	          715 	
      241	          640 	
      242	          681 	
      243	          714 	
      244	          666 	
      245	          741 	
      246	          689 	
      247	          705 	
      248	          721 	
      249	          699 	
      250	          687 	
      251	          691 	
      252	          691 	
      253	          677 	
      254	          695 	
      255	          732 	
      256	          687 	
      257	          711 	
      258	          690 	
      259	          707 	
      260	          662 	
      261	          727 	
      262	          698 	
      263	          680 	
      264	          697 	
      265	          708 	
      266	          674 	
      267	          671 	
      268	          700 	
      269	          666 	
      270	          660 	
      271	          743 	
      272	          648 	
      273	          649 	
      274	          716 	
      275	          679 	
      276	          683 	
      277	          669 	
      278	          710 	
      279	          720 	
      280	          697 	
      281	          720 	
      282	          667 	
      283	          762 	
      284	          691 	
      285	          705 	
      286	          705 	
      287	          679 	
      288	          724 	
      289	          692 	
      290	          670 	
      291	          707 	
      292	          710 	
      293	          704 	
      294	          679 	
      295	          707 	
      296	          706 	
      297	          699 	
      298	          705 	
      299	          663 	
      300	          699 	
      301	          701 	
      302	          687 	
      303	          679 	
      304	          706 	
      305	          681 	
      306	          740 	
      307	          714 	
      308	          696 	
      309	          723 	
      310	          708 	
      311	          722 	
      312	          692 	
      313	          737 	
      314	          729 	
      315	          700 	
      316	          755 	
      317	          702 	
      318	          726 	
      319	          707 	
      320	          703 	
      321	          704 	
      322	          707 	
      323	          675 	
      324	          727 	
      325	          741 	
      326	          741 	
      327	          733 	
      328	          688 	
      329	          700 	
      330	          678 	
      331	          691 	
      332	          715 	
      333	          719 	
      334	          667 	
      335	          714 	
      336	          723 	
      337	          714 	
      338	          734 	
      339	          693 	
      340	          721 	
      341	          713 	
      342	          674 	
      343	          702 	
      344	          715 	
      345	          684 	
      346	          654 	
      347	          727 	
      348	          729 	
      349	          672 	
      350	          726 	
      351	          725 	
      352	          667 	
      353	          667 	
      354	          688 	
      355	          730 	
      356	          688 	
      357	          700 	
      358	          692 	
      359	          696 	
      360	          693 	
      361	          695 	
      362	          684 	
      363	          670 	
      364	          754 	
      365	          719 	
      366	          664 	
      367	          740 	
      368	          651 	
      369	          701 	
      370	          715 	
      371	          726 	
      372	          674 	
      373	          722 	
      374	          686 	
      375	          702 	
      376	          695 	
      377	          690 	
      378	          645 	
      379	          704 	
      380	          742 	
      381	          718 	
      382	          681 	
      383	          672 	
      384	          752 	
      385	          678 	
      386	          653 	
      387	          683 	
      388	          719 	
      389	          636 	
      390	          714 	
      391	          715 	
      392	          666 	
      393	          744 	
      394	          679 	
      395	          695 	
      396	          665 	
      397	          727 	
      398	          714 	
      399	          698 	
      400	          700 	
      401	          717 	
      402	          693 	
      403	          716 	
      404	          707 	
      405	          693 	
      406	          698 	
      407	          645 	
      408	          687 	
      409	          693 	
      410	          679 	
      411	          729 	
      412	          669 	
      413	          679 	
      414	          724 	
      415	          698 	
      416	          674 	
      417	          703 	
      418	          711 	
      419	          742 	
      420	          687 	
      421	          624 	
      422	          717 	
      423	          662 	
      424	          691 	
      425	          674 	
      426	          658 	
      427	          728 	
      428	          678 	
      429	          683 	
      430	          671 	
      431	          715 	
      432	          710 	
      433	          634 	
      434	          680 	
      435	          734 	
      436	          709 	
      437	          694 	
      438	          670 	
      439	          702 	
      440	          710 	
      441	          636 	
      442	          701 	
      443	          713 	
      444	          721 	
      445	          665 	
      446	          699 	
      447	          718 	
      448	          754 	
      449	          678 	
      450	          679 	
      451	          681 	
      452	          689 	
      453	          728 	
      454	          691 	
      455	          712 	
      456	          700 	
      457	          676 	
      458	          700 	
      459	          666 	
      460	          691 	
      461	          702 	
      462	          655 	
      463	          690 	
      464	          641 	
      465	          714 	
      466	          709 	
      467	          680 	
      468	          667 	
      469	          693 	
      470	          686 	
      471	          638 	
      472	          727 	
      473	          691 	
      474	          735 	
      475	          699 	
      476	          689 	
      477	          693 	
      478	          724 	
      479	          660 	
      480	          647 	
      481	          676 	
      482	          706 	
      483	          700 	
      484	          705 	
      485	          667 	
      486	          674 	
      487	          709 	
      488	          666 	
      489	          637 	
      490	          678 	
      491	          698 	
      492	          690 	
      493	          713 	
      494	          655 	
      495	          741 	
      496	          654 	
      497	          641 	
      498	          678 	
      499	          708 	
      500	          700 	
      501	          721 	
