Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-07-16
Time (HH:MM:SS):	17:28:18
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	          466 	
        2	          509 	
        3	          482 	
        4	          497 	
        5	          450 	
        6	          500 	
        7	          469 	
        8	          522 	
        9	          509 	
       10	          459 	
       11	          448 	
       12	          490 	
       13	          485 	
       14	          498 	
       15	          506 	
       16	          470 	
       17	          531 	
       18	          515 	
       19	          496 	
       20	          499 	
       21	          519 	
       22	          480 	
       23	          480 	
       24	          480 	
       25	          462 	
       26	          538 	
       27	          472 	
       28	          492 	
       29	          512 	
       30	          497 	
       31	          502 	
       32	          457 	
       33	          471 	
       34	          484 	
       35	          471 	
       36	          518 	
       37	          508 	
       38	          542 	
       39	          520 	
       40	          518 	
       41	          479 	
       42	          483 	
       43	          475 	
       44	          489 	
       45	          492 	
       46	          495 	
       47	          470 	
       48	          508 	
       49	          526 	
       50	          510 	
       51	          473 	
       52	          479 	
       53	          480 	
       54	          479 	
       55	          516 	
       56	          460 	
       57	          489 	
       58	          485 	
       59	          540 	
       60	          474 	
       61	          517 	
       62	          538 	
       63	          459 	
       64	          487 	
       65	          446 	
       66	          454 	
       67	          489 	
       68	          479 	
       69	          502 	
       70	          500 	
       71	          479 	
       72	          494 	
       73	          472 	
       74	          484 	
       75	          478 	
       76	          482 	
       77	          454 	
       78	          493 	
       79	          505 	
       80	          518 	
       81	          498 	
       82	          476 	
       83	          477 	
       84	          517 	
       85	          488 	
       86	          498 	
       87	          476 	
       88	          477 	
       89	          482 	
       90	          452 	
       91	          500 	
       92	          527 	
       93	          468 	
       94	          476 	
       95	          506 	
       96	          495 	
       97	          491 	
       98	          465 	
       99	          494 	
      100	          486 	
      101	          517 	
      102	          506 	
      103	          480 	
      104	          493 	
      105	          491 	
      106	          471 	
      107	          459 	
      108	          508 	
      109	          505 	
      110	          465 	
      111	          472 	
      112	          490 	
      113	          517 	
      114	          516 	
      115	          486 	
      116	          539 	
      117	          465 	
      118	          492 	
      119	          538 	
      120	          509 	
      121	          481 	
      122	          481 	
      123	          494 	
      124	          512 	
      125	          475 	
      126	          483 	
      127	          488 	
      128	          514 	
      129	          477 	
      130	          531 	
      131	          492 	
      132	          498 	
      133	          489 	
      134	          476 	
      135	          469 	
      136	          505 	
      137	          458 	
      138	          483 	
      139	          478 	
      140	          480 	
      141	          475 	
      142	          473 	
      143	          494 	
      144	          480 	
      145	          481 	
      146	          484 	
      147	          474 	
      148	          513 	
      149	          446 	
      150	          473 	
      151	          461 	
      152	          460 	
      153	          530 	
      154	          516 	
      155	          481 	
      156	          523 	
      157	          467 	
      158	          471 	
      159	          496 	
      160	          509 	
      161	          469 	
      162	          467 	
      163	          504 	
      164	          494 	
      165	          457 	
      166	          491 	
      167	          472 	
      168	          463 	
      169	          487 	
      170	          460 	
      171	          491 	
      172	          467 	
      173	          458 	
      174	          467 	
      175	          476 	
      176	          469 	
      177	          469 	
      178	          439 	
      179	          450 	
      180	          515 	
      181	          451 	
      182	          434 	
      183	          508 	
      184	          472 	
      185	          458 	
      186	          482 	
      187	          498 	
      188	          496 	
      189	          488 	
      190	          491 	
      191	          475 	
      192	          484 	
      193	          500 	
      194	          499 	
      195	          465 	
      196	          511 	
      197	          486 	
      198	          495 	
      199	          494 	
      200	          454 	
      201	          510 	
      202	          482 	
      203	          464 	
      204	          474 	
      205	          476 	
      206	          514 	
      207	          451 	
      208	          578 	
      209	          517 	
      210	          504 	
      211	          507 	
      212	          485 	
      213	          500 	
      214	          480 	
      215	          482 	
      216	          516 	
      217	          477 	
      218	          490 	
      219	          509 	
      220	          484 	
      221	          498 	
      222	          513 	
      223	          482 	
      224	          436 	
      225	          491 	
      226	          474 	
      227	          485 	
      228	          502 	
      229	          465 	
      230	          468 	
      231	          459 	
      232	          488 	
      233	          499 	
      234	          472 	
      235	          463 	
      236	          483 	
      237	          493 	
      238	          499 	
      239	          487 	
      240	          497 	
      241	          505 	
      242	          514 	
      243	          474 	
      244	          458 	
      245	          453 	
      246	          477 	
      247	          442 	
      248	          457 	
      249	          457 	
      250	          470 	
      251	          507 	
      252	          512 	
      253	          450 	
      254	          453 	
      255	          457 	
      256	          467 	
      257	          504 	
      258	          487 	
      259	          487 	
      260	          465 	
      261	          455 	
      262	          488 	
      263	          462 	
      264	          468 	
      265	          436 	
      266	          459 	
      267	          457 	
      268	          475 	
      269	          470 	
      270	          477 	
      271	          449 	
      272	          495 	
      273	          493 	
      274	          493 	
      275	          469 	
      276	          475 	
      277	          490 	
      278	          487 	
      279	          550 	
      280	          478 	
      281	          475 	
      282	          487 	
      283	          475 	
      284	          441 	
      285	          496 	
      286	          471 	
      287	          440 	
      288	          462 	
      289	          534 	
      290	          438 	
      291	          513 	
      292	          509 	
      293	          490 	
      294	          500 	
      295	          492 	
      296	          478 	
      297	          482 	
      298	          551 	
      299	          479 	
      300	          477 	
      301	          476 	
      302	          505 	
      303	          531 	
      304	          500 	
      305	          468 	
      306	          497 	
      307	          471 	
      308	          447 	
      309	          514 	
      310	          469 	
      311	          452 	
      312	          467 	
      313	          499 	
      314	          442 	
      315	          446 	
      316	          497 	
      317	          508 	
      318	          455 	
      319	          481 	
      320	          499 	
      321	          454 	
      322	          474 	
      323	          478 	
      324	          474 	
      325	          448 	
      326	          482 	
      327	          429 	
      328	          456 	
      329	          477 	
      330	          499 	
      331	          457 	
      332	          485 	
      333	          490 	
      334	          492 	
      335	          497 	
      336	          503 	
      337	          486 	
      338	          540 	
      339	          440 	
      340	          508 	
      341	          533 	
      342	          487 	
      343	          492 	
      344	          547 	
      345	          458 	
      346	          495 	
      347	          447 	
      348	          476 	
      349	          513 	
      350	          538 	
      351	          479 	
      352	          472 	
      353	          506 	
      354	          492 	
      355	          508 	
      356	          510 	
      357	          468 	
      358	          446 	
      359	          486 	
      360	          496 	
      361	          505 	
      362	          453 	
      363	          467 	
      364	          475 	
      365	          516 	
      366	          473 	
      367	          473 	
      368	          471 	
      369	          480 	
      370	          477 	
      371	          537 	
      372	          428 	
      373	          474 	
      374	          451 	
      375	          493 	
      376	          510 	
      377	          499 	
      378	          475 	
      379	          424 	
      380	          530 	
      381	          462 	
      382	          471 	
      383	          492 	
      384	          442 	
      385	          456 	
      386	          473 	
      387	          467 	
      388	          473 	
      389	          490 	
      390	          500 	
      391	          510 	
      392	          489 	
      393	          482 	
      394	          492 	
      395	          479 	
      396	          490 	
      397	          530 	
      398	          486 	
      399	          459 	
      400	          510 	
      401	          496 	
      402	          478 	
      403	          507 	
      404	          476 	
      405	          499 	
      406	          475 	
      407	          465 	
      408	          495 	
      409	          479 	
      410	          509 	
      411	          514 	
      412	          470 	
      413	          440 	
      414	          495 	
      415	          483 	
      416	          501 	
      417	          478 	
      418	          496 	
      419	          456 	
      420	          478 	
      421	          512 	
      422	          499 	
      423	          474 	
      424	          486 	
      425	          441 	
      426	          495 	
      427	          495 	
      428	          461 	
      429	          463 	
      430	          498 	
      431	          518 	
      432	          504 	
      433	          459 	
      434	          482 	
      435	          452 	
      436	          520 	
      437	          451 	
      438	          478 	
      439	          450 	
      440	          461 	
      441	          526 	
      442	          457 	
      443	          435 	
      444	          498 	
      445	          436 	
      446	          463 	
      447	          503 	
      448	          479 	
      449	          512 	
      450	          452 	
      451	          480 	
      452	          505 	
      453	          529 	
      454	          470 	
      455	          475 	
      456	          520 	
      457	          473 	
      458	          436 	
      459	          512 	
      460	          477 	
      461	          496 	
      462	          460 	
      463	          512 	
      464	          448 	
      465	          475 	
      466	          494 	
      467	          498 	
      468	          524 	
      469	          498 	
      470	          509 	
      471	          461 	
      472	          474 	
      473	          480 	
      474	          506 	
      475	          425 	
      476	          477 	
      477	          541 	
      478	          511 	
      479	          446 	
      480	          475 	
      481	          439 	
      482	          445 	
      483	          450 	
      484	          482 	
      485	          484 	
      486	          479 	
      487	          443 	
      488	          478 	
      489	          459 	
      490	          449 	
      491	          490 	
      492	          500 	
      493	          461 	
      494	          478 	
      495	          492 	
      496	          535 	
      497	          438 	
      498	          481 	
      499	          503 	
      500	          474 	
      501	          496 	
