Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-07-16
Time (HH:MM:SS):	17:47:03
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	          265 	
        2	          309 	
        3	          309 	
        4	          310 	
        5	          307 	
        6	          293 	
        7	          290 	
        8	          303 	
        9	          296 	
       10	          269 	
       11	          291 	
       12	          263 	
       13	          281 	
       14	          293 	
       15	          321 	
       16	          297 	
       17	          283 	
       18	          287 	
       19	          318 	
       20	          337 	
       21	          279 	
       22	          303 	
       23	          297 	
       24	          267 	
       25	          314 	
       26	          269 	
       27	          278 	
       28	          280 	
       29	          321 	
       30	          302 	
       31	          300 	
       32	          287 	
       33	          311 	
       34	          304 	
       35	          282 	
       36	          290 	
       37	          295 	
       38	          298 	
       39	          295 	
       40	          294 	
       41	          288 	
       42	          319 	
       43	          287 	
       44	          322 	
       45	          290 	
       46	          292 	
       47	          341 	
       48	          327 	
       49	          327 	
       50	          312 	
       51	          249 	
       52	          266 	
       53	          321 	
       54	          311 	
       55	          308 	
       56	          292 	
       57	          303 	
       58	          337 	
       59	          307 	
       60	          318 	
       61	          283 	
       62	          324 	
       63	          291 	
       64	          271 	
       65	          321 	
       66	          297 	
       67	          305 	
       68	          308 	
       69	          280 	
       70	          310 	
       71	          289 	
       72	          302 	
       73	          306 	
       74	          296 	
       75	          284 	
       76	          285 	
       77	          304 	
       78	          281 	
       79	          325 	
       80	          304 	
       81	          295 	
       82	          347 	
       83	          310 	
       84	          294 	
       85	          317 	
       86	          335 	
       87	          303 	
       88	          309 	
       89	          264 	
       90	          293 	
       91	          272 	
       92	          283 	
       93	          302 	
       94	          304 	
       95	          304 	
       96	          304 	
       97	          333 	
       98	          298 	
       99	          269 	
      100	          269 	
      101	          317 	
      102	          255 	
      103	          308 	
      104	          323 	
      105	          326 	
      106	          297 	
      107	          310 	
      108	          281 	
      109	          324 	
      110	          314 	
      111	          322 	
      112	          318 	
      113	          284 	
      114	          277 	
      115	          250 	
      116	          242 	
      117	          272 	
      118	          282 	
      119	          309 	
      120	          302 	
      121	          270 	
      122	          278 	
      123	          305 	
      124	          312 	
      125	          288 	
      126	          365 	
      127	          353 	
      128	          296 	
      129	          290 	
      130	          281 	
      131	          306 	
      132	          300 	
      133	          270 	
      134	          321 	
      135	          263 	
      136	          307 	
      137	          354 	
      138	          303 	
      139	          322 	
      140	          328 	
      141	          291 	
      142	          312 	
      143	          285 	
      144	          307 	
      145	          326 	
      146	          322 	
      147	          303 	
      148	          338 	
      149	          282 	
      150	          288 	
      151	          298 	
      152	          291 	
      153	          354 	
      154	          322 	
      155	          318 	
      156	          322 	
      157	          313 	
      158	          284 	
      159	          290 	
      160	          310 	
      161	          277 	
      162	          273 	
      163	          293 	
      164	          342 	
      165	          330 	
      166	          317 	
      167	          266 	
      168	          325 	
      169	          307 	
      170	          305 	
      171	          293 	
      172	          299 	
      173	          293 	
      174	          276 	
      175	          309 	
      176	          326 	
      177	          280 	
      178	          290 	
      179	          312 	
      180	          327 	
      181	          282 	
      182	          306 	
      183	          298 	
      184	          291 	
      185	          304 	
      186	          305 	
      187	          284 	
      188	          304 	
      189	          299 	
      190	          297 	
      191	          292 	
      192	          263 	
      193	          316 	
      194	          298 	
      195	          315 	
      196	          334 	
      197	          312 	
      198	          308 	
      199	          317 	
      200	          323 	
      201	          300 	
      202	          292 	
      203	          314 	
      204	          293 	
      205	          285 	
      206	          328 	
      207	          297 	
      208	          296 	
      209	          300 	
      210	          294 	
      211	          312 	
      212	          319 	
      213	          294 	
      214	          311 	
      215	          307 	
      216	          297 	
      217	          327 	
      218	          295 	
      219	          301 	
      220	          286 	
      221	          248 	
      222	          309 	
      223	          302 	
      224	          314 	
      225	          317 	
      226	          310 	
      227	          282 	
      228	          301 	
      229	          273 	
      230	          313 	
      231	          307 	
      232	          322 	
      233	          296 	
      234	          304 	
      235	          298 	
      236	          314 	
      237	          302 	
      238	          308 	
      239	          296 	
      240	          309 	
      241	          286 	
      242	          323 	
      243	          303 	
      244	          314 	
      245	          297 	
      246	          295 	
      247	          321 	
      248	          312 	
      249	          308 	
      250	          310 	
      251	          306 	
      252	          278 	
      253	          301 	
      254	          296 	
      255	          282 	
      256	          317 	
      257	          319 	
      258	          294 	
      259	          287 	
      260	          279 	
      261	          289 	
      262	          304 	
      263	          297 	
      264	          327 	
      265	          293 	
      266	          243 	
      267	          339 	
      268	          308 	
      269	          305 	
      270	          296 	
      271	          285 	
      272	          298 	
      273	          296 	
      274	          292 	
      275	          309 	
      276	          320 	
      277	          302 	
      278	          302 	
      279	          292 	
      280	          313 	
      281	          299 	
      282	          283 	
      283	          304 	
      284	          270 	
      285	          304 	
      286	          287 	
      287	          267 	
      288	          285 	
      289	          300 	
      290	          297 	
      291	          307 	
      292	          301 	
      293	          318 	
      294	          286 	
      295	          311 	
      296	          294 	
      297	          307 	
      298	          323 	
      299	          288 	
      300	          281 	
      301	          304 	
      302	          274 	
      303	          295 	
      304	          315 	
      305	          307 	
      306	          296 	
      307	          309 	
      308	          347 	
      309	          301 	
      310	          310 	
      311	          331 	
      312	          321 	
      313	          329 	
      314	          328 	
      315	          298 	
      316	          286 	
      317	          323 	
      318	          298 	
      319	          322 	
      320	          287 	
      321	          309 	
      322	          312 	
      323	          268 	
      324	          286 	
      325	          308 	
      326	          298 	
      327	          324 	
      328	          319 	
      329	          323 	
      330	          302 	
      331	          296 	
      332	          284 	
      333	          328 	
      334	          283 	
      335	          309 	
      336	          330 	
      337	          304 	
      338	          309 	
      339	          336 	
      340	          309 	
      341	          312 	
      342	          322 	
      343	          315 	
      344	          313 	
      345	          304 	
      346	          285 	
      347	          311 	
      348	          306 	
      349	          323 	
      350	          317 	
      351	          333 	
      352	          294 	
      353	          304 	
      354	          302 	
      355	          313 	
      356	          328 	
      357	          318 	
      358	          344 	
      359	          323 	
      360	          276 	
      361	          307 	
      362	          313 	
      363	          303 	
