Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-07-16
Time (HH:MM:SS):	16:51:42
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	          245 	
        2	          218 	
        3	          235 	
        4	          242 	
        5	          253 	
        6	          236 	
        7	          217 	
        8	          251 	
        9	          263 	
       10	          216 	
       11	          252 	
       12	          233 	
       13	          255 	
       14	          246 	
       15	          270 	
       16	          245 	
       17	          260 	
       18	          218 	
       19	          253 	
       20	          259 	
       21	          276 	
       22	          217 	
       23	          228 	
       24	          259 	
       25	          236 	
       26	          244 	
       27	          248 	
       28	          238 	
       29	          229 	
       30	          243 	
       31	          220 	
       32	          246 	
       33	          266 	
       34	          266 	
       35	          250 	
       36	          245 	
       37	          225 	
       38	          270 	
       39	          240 	
       40	          234 	
       41	          255 	
       42	          262 	
       43	          235 	
       44	          241 	
       45	          253 	
       46	          281 	
       47	          276 	
       48	          252 	
       49	          225 	
       50	          248 	
       51	          258 	
       52	          253 	
       53	          233 	
       54	          233 	
       55	          241 	
       56	          245 	
       57	          221 	
       58	          214 	
       59	          255 	
       60	          234 	
       61	          248 	
       62	          243 	
       63	          263 	
       64	          274 	
       65	          288 	
       66	          218 	
       67	          236 	
       68	          251 	
       69	          259 	
       70	          249 	
       71	          229 	
       72	          273 	
       73	          235 	
       74	          225 	
       75	          253 	
       76	          249 	
       77	          258 	
       78	          246 	
       79	          230 	
       80	          225 	
       81	          250 	
       82	          242 	
       83	          266 	
       84	          229 	
       85	          235 	
       86	          222 	
       87	          249 	
       88	          273 	
       89	          233 	
       90	          229 	
       91	          275 	
       92	          247 	
       93	          280 	
       94	          246 	
       95	          229 	
       96	          231 	
       97	          245 	
       98	          237 	
       99	          253 	
      100	          248 	
      101	          242 	
      102	          235 	
      103	          234 	
      104	          242 	
      105	          249 	
      106	          221 	
      107	          260 	
      108	          242 	
      109	          224 	
      110	          241 	
      111	          244 	
      112	          256 	
      113	          253 	
      114	          252 	
      115	          257 	
      116	          235 	
      117	          220 	
      118	          233 	
      119	          269 	
      120	          234 	
      121	          236 	
      122	          220 	
      123	          237 	
      124	          240 	
      125	          236 	
      126	          256 	
      127	          239 	
      128	          248 	
      129	          245 	
      130	          234 	
      131	          246 	
      132	          224 	
      133	          232 	
      134	          255 	
      135	          240 	
      136	          228 	
      137	          247 	
      138	          238 	
      139	          234 	
      140	          239 	
      141	          229 	
      142	          243 	
      143	          241 	
      144	          240 	
      145	          262 	
      146	          261 	
      147	          253 	
      148	          225 	
      149	          225 	
      150	          238 	
      151	          235 	
      152	          227 	
      153	          249 	
      154	          243 	
      155	          257 	
      156	          250 	
      157	          229 	
      158	          268 	
      159	          279 	
      160	          236 	
      161	          214 	
      162	          227 	
      163	          240 	
      164	          235 	
      165	          288 	
      166	          255 	
      167	          219 	
      168	          255 	
      169	          233 	
      170	          247 	
      171	          227 	
      172	          220 	
      173	          218 	
      174	          241 	
      175	          271 	
      176	          226 	
      177	          231 	
      178	          264 	
      179	          271 	
      180	          259 	
      181	          250 	
      182	          255 	
      183	          221 	
      184	          250 	
      185	          236 	
      186	          231 	
      187	          239 	
      188	          223 	
      189	          238 	
      190	          240 	
      191	          221 	
      192	          234 	
      193	          249 	
      194	          237 	
      195	          239 	
      196	          249 	
      197	          247 	
      198	          225 	
      199	          227 	
      200	          230 	
      201	          268 	
      202	          222 	
      203	          256 	
      204	          228 	
      205	          247 	
      206	          253 	
      207	          277 	
      208	          248 	
      209	          266 	
      210	          227 	
      211	          224 	
      212	          215 	
      213	          240 	
      214	          264 	
      215	          237 	
      216	          235 	
      217	          259 	
      218	          267 	
      219	          237 	
      220	          237 	
      221	          230 	
      222	          246 	
      223	          225 	
      224	          240 	
      225	          234 	
      226	          264 	
      227	          207 	
      228	          245 	
      229	          273 	
      230	          250 	
      231	          243 	
      232	          262 	
      233	          264 	
      234	          254 	
      235	          247 	
      236	          247 	
      237	          236 	
      238	          246 	
      239	          238 	
      240	          246 	
      241	          246 	
      242	          259 	
      243	          279 	
      244	          253 	
      245	          249 	
      246	          258 	
      247	          235 	
      248	          272 	
      249	          249 	
      250	          242 	
      251	          227 	
      252	          239 	
      253	          239 	
      254	          253 	
      255	          250 	
      256	          251 	
      257	          232 	
      258	          230 	
      259	          230 	
      260	          239 	
      261	          241 	
      262	          264 	
      263	          259 	
      264	          196 	
      265	          246 	
      266	          223 	
      267	          239 	
      268	          246 	
      269	          250 	
      270	          221 	
      271	          246 	
      272	          249 	
      273	          274 	
      274	          228 	
      275	          257 	
      276	          199 	
      277	          252 	
      278	          256 	
      279	          228 	
      280	          274 	
      281	          241 	
      282	          259 	
      283	          229 	
      284	          223 	
      285	          246 	
      286	          231 	
      287	          253 	
      288	          260 	
      289	          249 	
      290	          203 	
      291	          248 	
      292	          241 	
      293	          233 	
      294	          241 	
      295	          245 	
      296	          258 	
      297	          263 	
      298	          232 	
      299	          259 	
      300	          237 	
      301	          258 	
      302	          238 	
      303	          256 	
      304	          229 	
      305	          247 	
      306	          231 	
      307	          247 	
      308	          224 	
      309	          232 	
      310	          256 	
      311	          262 	
      312	          252 	
      313	          236 	
      314	          201 	
      315	          246 	
      316	          206 	
      317	          231 	
      318	          246 	
      319	          270 	
      320	          250 	
      321	          222 	
      322	          229 	
      323	          264 	
      324	          247 	
      325	          246 	
      326	          236 	
      327	          237 	
      328	          214 	
      329	          244 	
      330	          226 	
      331	          221 	
      332	          266 	
      333	          270 	
      334	          253 	
      335	          245 	
      336	          255 	
      337	          232 	
      338	          239 	
      339	          217 	
      340	          261 	
      341	          247 	
      342	          238 	
      343	          257 	
      344	          261 	
      345	          234 	
      346	          219 	
      347	          236 	
      348	          220 	
      349	          254 	
      350	          255 	
      351	          262 	
      352	          229 	
      353	          244 	
      354	          262 	
      355	          221 	
      356	          249 	
      357	          247 	
      358	          242 	
      359	          253 	
      360	          230 	
      361	          256 	
      362	          241 	
      363	          218 	
      364	          226 	
      365	          246 	
      366	          252 	
      367	          241 	
      368	          233 	
      369	          270 	
      370	          226 	
      371	          217 	
      372	          266 	
      373	          233 	
      374	          230 	
      375	          242 	
      376	          252 	
      377	          270 	
      378	          270 	
      379	          233 	
      380	          248 	
      381	          263 	
      382	          232 	
      383	          243 	
      384	          230 	
      385	          251 	
      386	          276 	
      387	          243 	
      388	          245 	
      389	          277 	
      390	          230 	
      391	          216 	
      392	          250 	
      393	          275 	
      394	          263 	
      395	          218 	
      396	          236 	
      397	          231 	
      398	          219 	
      399	          281 	
      400	          231 	
      401	          243 	
      402	          211 	
      403	          258 	
      404	          245 	
      405	          241 	
      406	          254 	
      407	          234 	
      408	          255 	
      409	          222 	
      410	          260 	
      411	          218 	
      412	          244 	
      413	          247 	
      414	          242 	
      415	          263 	
      416	          224 	
      417	          267 	
      418	          245 	
      419	          258 	
      420	          242 	
      421	          278 	
      422	          224 	
      423	          248 	
      424	          242 	
      425	          212 	
      426	          245 	
      427	          272 	
      428	          229 	
      429	          258 	
      430	          213 	
      431	          225 	
      432	          231 	
      433	          236 	
      434	          253 	
      435	          250 	
      436	          230 	
      437	          258 	
      438	          255 	
      439	          242 	
      440	          259 	
      441	          250 	
      442	          243 	
      443	          254 	
      444	          243 	
      445	          234 	
      446	          248 	
      447	          274 	
      448	          227 	
      449	          242 	
      450	          239 	
      451	          237 	
      452	          220 	
      453	          236 	
      454	          274 	
      455	          253 	
      456	          242 	
      457	          254 	
      458	          256 	
      459	          240 	
      460	          239 	
      461	          282 	
      462	          225 	
      463	          252 	
      464	          265 	
      465	          245 	
      466	          226 	
      467	          217 	
      468	          223 	
      469	          249 	
      470	          259 	
      471	          265 	
      472	          228 	
      473	          263 	
      474	          264 	
      475	          220 	
      476	          257 	
      477	          263 	
      478	          236 	
      479	          255 	
      480	          252 	
      481	          267 	
      482	          245 	
      483	          222 	
      484	          239 	
      485	          225 	
      486	          243 	
      487	          249 	
      488	          280 	
      489	          236 	
