Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-07-16
Time (HH:MM:SS):	16:44:31
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	          757 	
        2	          719 	
        3	          751 	
        4	          774 	
        5	          733 	
        6	          736 	
        7	          723 	
        8	          737 	
        9	          690 	
       10	          747 	
       11	          726 	
       12	          701 	
       13	          717 	
       14	          691 	
       15	          719 	
       16	          751 	
       17	          726 	
       18	          715 	
       19	          704 	
       20	          738 	
       21	          701 	
       22	          707 	
       23	          722 	
       24	          695 	
       25	          701 	
       26	          705 	
       27	          770 	
       28	          694 	
       29	          752 	
       30	          715 	
       31	          736 	
       32	          699 	
       33	          714 	
       34	          723 	
       35	          716 	
       36	          759 	
       37	          682 	
       38	          752 	
       39	          719 	
       40	          698 	
       41	          728 	
       42	          719 	
       43	          746 	
       44	          714 	
       45	          742 	
       46	          746 	
       47	          747 	
       48	          718 	
       49	          736 	
       50	          724 	
       51	          729 	
       52	          709 	
       53	          750 	
       54	          685 	
       55	          675 	
       56	          682 	
       57	          722 	
       58	          787 	
       59	          715 	
       60	          707 	
       61	          706 	
       62	          751 	
       63	          711 	
       64	          728 	
       65	          671 	
       66	          692 	
       67	          679 	
       68	          677 	
       69	          688 	
       70	          692 	
       71	          744 	
       72	          710 	
       73	          736 	
       74	          703 	
       75	          703 	
       76	          718 	
       77	          709 	
       78	          748 	
       79	          775 	
       80	          671 	
       81	          752 	
       82	          774 	
       83	          706 	
       84	          715 	
       85	          715 	
       86	          717 	
       87	          755 	
       88	          776 	
       89	          708 	
       90	          753 	
       91	          716 	
       92	          735 	
       93	          704 	
       94	          684 	
       95	          761 	
       96	          767 	
       97	          706 	
       98	          721 	
       99	          715 	
      100	          733 	
      101	          710 	
      102	          680 	
      103	          669 	
      104	          730 	
      105	          726 	
      106	          731 	
      107	          728 	
      108	          743 	
      109	          763 	
      110	          719 	
      111	          789 	
      112	          745 	
      113	          720 	
      114	          778 	
      115	          689 	
      116	          771 	
      117	          745 	
      118	          697 	
      119	          715 	
      120	          660 	
      121	          739 	
      122	          712 	
      123	          734 	
      124	          712 	
      125	          735 	
      126	          738 	
      127	          756 	
      128	          771 	
      129	          736 	
      130	          711 	
      131	          741 	
      132	          726 	
      133	          689 	
      134	          700 	
      135	          760 	
      136	          701 	
      137	          731 	
      138	          717 	
      139	          730 	
      140	          744 	
      141	          714 	
      142	          758 	
      143	          743 	
      144	          695 	
      145	          739 	
      146	          728 	
      147	          715 	
      148	          687 	
      149	          737 	
      150	          723 	
      151	          720 	
      152	          766 	
      153	          774 	
      154	          742 	
      155	          752 	
      156	          702 	
      157	          711 	
      158	          709 	
      159	          710 	
      160	          767 	
      161	          738 	
      162	          715 	
      163	          684 	
      164	          752 	
      165	          720 	
      166	          669 	
      167	          700 	
      168	          730 	
      169	          676 	
      170	          745 	
      171	          695 	
      172	          771 	
      173	          698 	
      174	          748 	
      175	          715 	
      176	          703 	
      177	          770 	
      178	          720 	
      179	          698 	
      180	          736 	
      181	          748 	
      182	          758 	
      183	          760 	
      184	          734 	
      185	          692 	
      186	          735 	
      187	          699 	
      188	          747 	
      189	          731 	
      190	          764 	
      191	          742 	
      192	          732 	
      193	          710 	
      194	          771 	
      195	          687 	
      196	          692 	
      197	          702 	
      198	          743 	
      199	          765 	
      200	          760 	
      201	          732 	
      202	          731 	
      203	          734 	
      204	          742 	
      205	          663 	
      206	          736 	
      207	          736 	
      208	          708 	
      209	          725 	
      210	          725 	
      211	          779 	
      212	          748 	
      213	          726 	
      214	          735 	
      215	          767 	
      216	          686 	
      217	          712 	
      218	          715 	
      219	          703 	
      220	          713 	
      221	          687 	
      222	          742 	
      223	          694 	
      224	          669 	
      225	          709 	
      226	          759 	
      227	          773 	
      228	          727 	
      229	          726 	
      230	          691 	
      231	          674 	
      232	          693 	
      233	          686 	
      234	          684 	
      235	          705 	
      236	          710 	
      237	          699 	
      238	          661 	
      239	          740 	
      240	          724 	
      241	          710 	
      242	          799 	
      243	          719 	
      244	          706 	
      245	          740 	
      246	          724 	
      247	          730 	
      248	          720 	
      249	          758 	
      250	          743 	
      251	          715 	
      252	          735 	
      253	          719 	
      254	          737 	
      255	          737 	
      256	          707 	
      257	          723 	
      258	          708 	
      259	          724 	
      260	          697 	
      261	          686 	
      262	          740 	
      263	          722 	
      264	          690 	
      265	          702 	
      266	          771 	
      267	          712 	
      268	          718 	
      269	          711 	
      270	          723 	
      271	          742 	
      272	          691 	
      273	          734 	
      274	          752 	
      275	          758 	
      276	          764 	
      277	          778 	
      278	          712 	
      279	          739 	
      280	          708 	
      281	          781 	
      282	          767 	
      283	          704 	
      284	          704 	
      285	          685 	
      286	          710 	
      287	          728 	
      288	          765 	
      289	          704 	
      290	          702 	
      291	          710 	
      292	          696 	
      293	          711 	
      294	          747 	
      295	          738 	
      296	          725 	
      297	          718 	
      298	          690 	
      299	          723 	
      300	          722 	
      301	          747 	
      302	          696 	
      303	          707 	
      304	          766 	
      305	          782 	
      306	          697 	
      307	          721 	
      308	          715 	
      309	          746 	
      310	          752 	
      311	          727 	
      312	          732 	
      313	          703 	
      314	          719 	
      315	          723 	
      316	          734 	
      317	          709 	
      318	          741 	
      319	          759 	
      320	          685 	
      321	          753 	
      322	          736 	
      323	          743 	
      324	          686 	
      325	          715 	
      326	          745 	
      327	          675 	
      328	          687 	
      329	          749 	
      330	          747 	
      331	          791 	
      332	          686 	
      333	          703 	
      334	          675 	
      335	          718 	
      336	          718 	
      337	          728 	
      338	          732 	
      339	          717 	
      340	          760 	
      341	          763 	
      342	          744 	
      343	          721 	
      344	          704 	
      345	          750 	
      346	          785 	
      347	          693 	
      348	          727 	
      349	          710 	
      350	          767 	
      351	          744 	
      352	          754 	
      353	          712 	
      354	          728 	
      355	          696 	
      356	          752 	
      357	          755 	
      358	          716 	
      359	          685 	
      360	          741 	
      361	          711 	
      362	          755 	
      363	          715 	
      364	          730 	
      365	          714 	
      366	          754 	
      367	          706 	
      368	          709 	
      369	          740 	
      370	          753 	
      371	          702 	
      372	          721 	
      373	          703 	
      374	          734 	
      375	          740 	
      376	          691 	
      377	          700 	
      378	          763 	
      379	          690 	
      380	          746 	
      381	          654 	
      382	          720 	
      383	          745 	
      384	          743 	
      385	          734 	
      386	          724 	
      387	          727 	
      388	          679 	
      389	          750 	
      390	          715 	
      391	          749 	
      392	          693 	
      393	          737 	
      394	          717 	
      395	          733 	
      396	          688 	
      397	          762 	
      398	          738 	
      399	          689 	
      400	          737 	
      401	          735 	
      402	          743 	
      403	          725 	
      404	          722 	
      405	          686 	
      406	          742 	
      407	          785 	
      408	          674 	
      409	          705 	
      410	          717 	
      411	          720 	
      412	          773 	
      413	          728 	
      414	          712 	
      415	          700 	
      416	          709 	
      417	          721 	
      418	          788 	
      419	          719 	
      420	          755 	
      421	          745 	
      422	          730 	
      423	          703 	
      424	          747 	
      425	          689 	
      426	          711 	
      427	          722 	
      428	          696 	
      429	          728 	
      430	          694 	
      431	          690 	
      432	          761 	
      433	          714 	
      434	          720 	
      435	          698 	
      436	          760 	
      437	          691 	
      438	          709 	
      439	          727 	
      440	          703 	
      441	          708 	
      442	          722 	
      443	          730 	
      444	          688 	
      445	          714 	
      446	          747 	
      447	          717 	
      448	          694 	
      449	          731 	
      450	          693 	
      451	          719 	
      452	          750 	
      453	          698 	
      454	          718 	
      455	          691 	
      456	          732 	
      457	          695 	
      458	          716 	
      459	          771 	
      460	          717 	
      461	          746 	
      462	          728 	
      463	          688 	
      464	          723 	
      465	          711 	
      466	          729 	
      467	          742 	
      468	          728 	
      469	          691 	
      470	          755 	
      471	          786 	
      472	          750 	
      473	          742 	
      474	          706 	
      475	          716 	
      476	          724 	
      477	          725 	
      478	          773 	
      479	          755 	
      480	          726 	
      481	          710 	
      482	          754 	
      483	          752 	
      484	          680 	
      485	          719 	
      486	          754 	
      487	          760 	
      488	          716 	
      489	          762 	
      490	          751 	
      491	          783 	
      492	          730 	
      493	          730 	
      494	          733 	
      495	          727 	
      496	          715 	
      497	          747 	
      498	          790 	
      499	          751 	
      500	          804 	
      501	          795 	
      502	          721 	
      503	          700 	
      504	          760 	
