Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-07-16
Time (HH:MM:SS):	16:33:18
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	           51 	
        2	           59 	
        3	           47 	
        4	           58 	
        5	           44 	
        6	           39 	
        7	           54 	
        8	           62 	
        9	           51 	
       10	           33 	
       11	           46 	
       12	           62 	
       13	           56 	
       14	           44 	
       15	           54 	
       16	           36 	
       17	           57 	
       18	           60 	
       19	           63 	
       20	           43 	
       21	           65 	
       22	           47 	
       23	           45 	
       24	           49 	
       25	           45 	
       26	           47 	
       27	           45 	
       28	           52 	
       29	           55 	
       30	           45 	
       31	           50 	
       32	           62 	
       33	           42 	
       34	           48 	
       35	           55 	
       36	           57 	
       37	           52 	
       38	           42 	
       39	           36 	
       40	           64 	
       41	           45 	
       42	           52 	
       43	           51 	
       44	           41 	
       45	           48 	
       46	           54 	
       47	           54 	
       48	           56 	
       49	           50 	
       50	           62 	
       51	           47 	
       52	           53 	
       53	           41 	
       54	           55 	
       55	           40 	
       56	           44 	
       57	           52 	
       58	           55 	
       59	           51 	
       60	           40 	
       61	           53 	
       62	           40 	
       63	           40 	
       64	           66 	
       65	           65 	
       66	           55 	
       67	           55 	
       68	           47 	
       69	           40 	
       70	           57 	
       71	           45 	
       72	           42 	
       73	           51 	
       74	           45 	
       75	           44 	
       76	           59 	
       77	           36 	
       78	           54 	
       79	           48 	
       80	           48 	
       81	           47 	
       82	           45 	
       83	           48 	
       84	           53 	
       85	           48 	
       86	           54 	
       87	           42 	
       88	           49 	
       89	           60 	
       90	           51 	
       91	           48 	
       92	           47 	
       93	           41 	
       94	           50 	
       95	           56 	
       96	           34 	
       97	           69 	
       98	           63 	
       99	           41 	
      100	           61 	
      101	           60 	
      102	           43 	
      103	           54 	
      104	           55 	
      105	           52 	
      106	           54 	
      107	           48 	
      108	           39 	
      109	           50 	
      110	           43 	
      111	           57 	
      112	           53 	
      113	           51 	
      114	           61 	
      115	           26 	
      116	           59 	
      117	           54 	
      118	           48 	
      119	           54 	
      120	           49 	
      121	           44 	
      122	           46 	
      123	           35 	
      124	           62 	
      125	           48 	
      126	           58 	
      127	           45 	
      128	           39 	
      129	           39 	
      130	           39 	
