Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-07-16
Time (HH:MM:SS):	16:18:38
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	           16 	
        2	            7 	
        3	           11 	
        4	            8 	
        5	           12 	
        6	           17 	
        7	            8 	
        8	           11 	
        9	            9 	
       10	            7 	
       11	            9 	
       12	            4 	
       13	           20 	
       14	           22 	
       15	            7 	
       16	           10 	
       17	            9 	
       18	           13 	
       19	            9 	
       20	           10 	
       21	           20 	
       22	            9 	
       23	           17 	
       24	            8 	
       25	           10 	
       26	            7 	
       27	           14 	
       28	            5 	
       29	            7 	
       30	            6 	
       31	            9 	
       32	           16 	
       33	            9 	
       34	            7 	
       35	            7 	
       36	            7 	
       37	           14 	
       38	           11 	
       39	           13 	
       40	            4 	
       41	           13 	
       42	           18 	
       43	           14 	
       44	           13 	
       45	           17 	
       46	            7 	
       47	           11 	
       48	           13 	
       49	           10 	
       50	            8 	
       51	            9 	
       52	            9 	
       53	           11 	
       54	            8 	
       55	            9 	
       56	           10 	
       57	           13 	
       58	           12 	
       59	           13 	
       60	            9 	
       61	           13 	
       62	           13 	
       63	           16 	
       64	            3 	
       65	           12 	
       66	           14 	
       67	            6 	
       68	            9 	
       69	            9 	
       70	            9 	
       71	           20 	
       72	            9 	
       73	            9 	
       74	           13 	
       75	           11 	
       76	           10 	
       77	           11 	
       78	            7 	
       79	            9 	
       80	           14 	
       81	            9 	
       82	            9 	
       83	           11 	
       84	            9 	
       85	            8 	
       86	           12 	
       87	           11 	
       88	            9 	
       89	            8 	
       90	            7 	
       91	           12 	
       92	           21 	
       93	           14 	
       94	           15 	
       95	           10 	
       96	            9 	
       97	            6 	
       98	           11 	
       99	            6 	
      100	            8 	
      101	            5 	
      102	           13 	
      103	           11 	
      104	            5 	
      105	           14 	
      106	            3 	
      107	           15 	
      108	           12 	
      109	           11 	
      110	            6 	
      111	           11 	
      112	           15 	
      113	           19 	
      114	           11 	
      115	           10 	
      116	           10 	
      117	           13 	
      118	           11 	
      119	           11 	
      120	            7 	
      121	           11 	
      122	           12 	
      123	           14 	
