Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-07-16
Time (HH:MM:SS):	16:14:46
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	          612 	
        2	          543 	
        3	          581 	
        4	          630 	
        5	          570 	
        6	          581 	
        7	          591 	
        8	          555 	
        9	          589 	
       10	          536 	
       11	          551 	
       12	          567 	
       13	          594 	
       14	          537 	
       15	          603 	
       16	          553 	
       17	          595 	
       18	          563 	
       19	          571 	
       20	          559 	
       21	          553 	
       22	          601 	
       23	          584 	
       24	          531 	
       25	          603 	
       26	          552 	
       27	          543 	
       28	          572 	
       29	          558 	
       30	          595 	
       31	          600 	
       32	          565 	
       33	          558 	
       34	          579 	
       35	          653 	
       36	          599 	
       37	          606 	
       38	          627 	
       39	          576 	
       40	          589 	
       41	          624 	
       42	          580 	
       43	          580 	
       44	          611 	
       45	          631 	
       46	          657 	
       47	          583 	
       48	          601 	
       49	          601 	
       50	          598 	
       51	          602 	
       52	          590 	
       53	          582 	
       54	          579 	
       55	          551 	
       56	          596 	
       57	          531 	
       58	          603 	
       59	          609 	
       60	          612 	
       61	          585 	
       62	          623 	
       63	          575 	
       64	          591 	
       65	          587 	
       66	          553 	
       67	          581 	
       68	          580 	
       69	          575 	
       70	          571 	
       71	          574 	
       72	          600 	
       73	          589 	
       74	          571 	
       75	          530 	
       76	          610 	
       77	          569 	
       78	          574 	
       79	          552 	
       80	          561 	
       81	          538 	
       82	          604 	
       83	          552 	
       84	          566 	
       85	          572 	
       86	          576 	
       87	          577 	
       88	          566 	
       89	          575 	
       90	          531 	
       91	          607 	
       92	          582 	
       93	          569 	
       94	          543 	
       95	          602 	
       96	          583 	
       97	          625 	
       98	          565 	
       99	          618 	
      100	          605 	
      101	          599 	
      102	          574 	
