Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-07-17
Time (HH:MM:SS):	18:48:18
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	          700 	
        2	          659 	
        3	          643 	
        4	          625 	
        5	          640 	
        6	          604 	
        7	          661 	
        8	          626 	
        9	          640 	
       10	          666 	
       11	          686 	
       12	          681 	
       13	          650 	
       14	          637 	
       15	          645 	
       16	          614 	
       17	          620 	
       18	          685 	
       19	          610 	
       20	          693 	
       21	          593 	
       22	          624 	
       23	          605 	
       24	          629 	
       25	          610 	
       26	          624 	
       27	          682 	
       28	          672 	
       29	          649 	
       30	          620 	
       31	          614 	
       32	          628 	
       33	          671 	
       34	          665 	
       35	          642 	
       36	          649 	
       37	          603 	
       38	          609 	
       39	          655 	
       40	          606 	
       41	          650 	
       42	          613 	
       43	          618 	
       44	          717 	
       45	          642 	
       46	          642 	
       47	          622 	
       48	          645 	
       49	          633 	
       50	          627 	
       51	          615 	
       52	          660 	
       53	          657 	
       54	          673 	
       55	          640 	
       56	          635 	
       57	          684 	
       58	          622 	
       59	          605 	
       60	          596 	
       61	          616 	
       62	          660 	
       63	          662 	
       64	          600 	
       65	          603 	
       66	          685 	
       67	          629 	
       68	          634 	
       69	          707 	
       70	          623 	
       71	          627 	
       72	          642 	
       73	          629 	
       74	          620 	
       75	          646 	
       76	          677 	
       77	          626 	
       78	          600 	
       79	          631 	
       80	          656 	
       81	          655 	
       82	          613 	
       83	          620 	
       84	          668 	
       85	          651 	
       86	          618 	
       87	          653 	
       88	          668 	
       89	          654 	
       90	          658 	
       91	          679 	
       92	          683 	
       93	          622 	
       94	          630 	
       95	          638 	
       96	          658 	
       97	          621 	
       98	          592 	
       99	          627 	
      100	          659 	
      101	          602 	
      102	          676 	
      103	          676 	
      104	          636 	
      105	          680 	
      106	          649 	
      107	          694 	
      108	          671 	
      109	          626 	
      110	          665 	
      111	          648 	
      112	          589 	
      113	          619 	
      114	          653 	
      115	          614 	
      116	          652 	
      117	          691 	
      118	          608 	
      119	          636 	
      120	          629 	
      121	          623 	
      122	          669 	
      123	          639 	
      124	          636 	
      125	          638 	
      126	          635 	
      127	          689 	
      128	          663 	
      129	          644 	
      130	          629 	
      131	          635 	
      132	          631 	
      133	          643 	
      134	          622 	
      135	          671 	
      136	          648 	
      137	          645 	
      138	          684 	
      139	          680 	
      140	          587 	
      141	          658 	
      142	          651 	
      143	          687 	
      144	          669 	
      145	          650 	
      146	          677 	
      147	          674 	
      148	          648 	
      149	          642 	
      150	          685 	
      151	          667 	
      152	          717 	
      153	          652 	
      154	          643 	
      155	          654 	
      156	          674 	
      157	          640 	
      158	          679 	
      159	          656 	
      160	          727 	
      161	          677 	
      162	          664 	
      163	          694 	
      164	          682 	
      165	          695 	
      166	          670 	
      167	          687 	
      168	          662 	
      169	          609 	
      170	          618 	
      171	          630 	
      172	          640 	
      173	          717 	
      174	          686 	
      175	          654 	
      176	          643 	
      177	          629 	
      178	          657 	
      179	          702 	
      180	          657 	
      181	          660 	
      182	          666 	
      183	          634 	
      184	          697 	
      185	          633 	
      186	          639 	
      187	          669 	
      188	          680 	
      189	          685 	
      190	          704 	
      191	          618 	
      192	          660 	
      193	          641 	
      194	          636 	
      195	          663 	
      196	          625 	
      197	          670 	
      198	          673 	
      199	          662 	
      200	          654 	
      201	          628 	
      202	          637 	
      203	          637 	
      204	          647 	
      205	          697 	
        1	          399 	
        2	          390 	
        3	          375 	
        4	          416 	
        5	          455 	
        6	          413 	
        7	          435 	
        8	          441 	
        9	          455 	
       10	          448 	
       11	          376 	
       12	          411 	
       13	          400 	
       14	          424 	
       15	          395 	
       16	          409 	
       17	          441 	
       18	          402 	
       19	          416 	
       20	          415 	
       21	          388 	
       22	          403 	
       23	          371 	
       24	          373 	
       25	          403 	
       26	          372 	
       27	          429 	
       28	          386 	
       29	          385 	
       30	          424 	
       31	          412 	
       32	          393 	
       33	          422 	
       34	          394 	
       35	          373 	
       36	          408 	
       37	          340 	
       38	          370 	
       39	          391 	
       40	          375 	
       41	          345 	
       42	          414 	
       43	          446 	
       44	          426 	
       45	          405 	
       46	          395 	
       47	          414 	
       48	          408 	
       49	          363 	
       50	          380 	
       51	          364 	
       52	          383 	
       53	          425 	
       54	          380 	
       55	          397 	
       56	          404 	
       57	          395 	
       58	          397 	
       59	          434 	
       60	          435 	
       61	          418 	
       62	          400 	
       63	          369 	
       64	          397 	
       65	          407 	
       66	          389 	
       67	          435 	
       68	          393 	
       69	          389 	
       70	          409 	
       71	          419 	
       72	          405 	
       73	          385 	
       74	          354 	
       75	          381 	
       76	          378 	
       77	          399 	
       78	          422 	
       79	          424 	
       80	          457 	
       81	          394 	
       82	          373 	
       83	          431 	
       84	          362 	
       85	          375 	
       86	          390 	
       87	          384 	
       88	          396 	
       89	          376 	
       90	          394 	
       91	          372 	
       92	          405 	
       93	          376 	
       94	          379 	
       95	          407 	
       96	          376 	
       97	          390 	
       98	          374 	
       99	          411 	
      100	          403 	
      101	          394 	
      102	          383 	
      103	          390 	
      104	          393 	
      105	          383 	
      106	          375 	
      107	          414 	
      108	          385 	
      109	          390 	
      110	          427 	
      111	          407 	
      112	          402 	
      113	          375 	
      114	          409 	
      115	          368 	
      116	          396 	
      117	          392 	
      118	          384 	
      119	          389 	
      120	          417 	
      121	          375 	
      122	          381 	
      123	          423 	
      124	          405 	
      125	          405 	
      126	          421 	
      127	          417 	
      128	          393 	
      129	          407 	
      130	          390 	
      131	          418 	
      132	          410 	
      133	          386 	
      134	          376 	
      135	          408 	
      136	          384 	
      137	          376 	
      138	          373 	
      139	          439 	
      140	          380 	
      141	          361 	
      142	          375 	
      143	          376 	
      144	          405 	
      145	          396 	
      146	          369 	
      147	          416 	
      148	          367 	
      149	          389 	
      150	          417 	
      151	          387 	
      152	          371 	
      153	          404 	
      154	          443 	
      155	          389 	
      156	          432 	
      157	          462 	
      158	          421 	
      159	          408 	
      160	          376 	
      161	          437 	
      162	          420 	
      163	          415 	
      164	          420 	
      165	          439 	
      166	          395 	
      167	          438 	
      168	          418 	
      169	          422 	
      170	          446 	
      171	          391 	
      172	          401 	
      173	          407 	
      174	          427 	
      175	          401 	
      176	          390 	
      177	          404 	
      178	          424 	
      179	          422 	
      180	          450 	
      181	          420 	
      182	          424 	
      183	          450 	
      184	          454 	
      185	          417 	
      186	          426 	
      187	          421 	
      188	          415 	
      189	          444 	
      190	          407 	
      191	          422 	
      192	          429 	
      193	          481 	
      194	          403 	
      195	          386 	
      196	          403 	
      197	          384 	
      198	          407 	
      199	          369 	
