Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-07-17
Time (HH:MM:SS):	17:45:49
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	            9 	
        2	            8 	
        3	            8 	
        4	            9 	
        5	            6 	
        6	           11 	
        7	           11 	
        8	            7 	
        9	            9 	
       10	           11 	
       11	           10 	
       12	           12 	
       13	            3 	
       14	            5 	
       15	            8 	
       16	           11 	
       17	            5 	
       18	            8 	
       19	            9 	
       20	           15 	
       21	            7 	
       22	            8 	
       23	            8 	
       24	            4 	
       25	            6 	
       26	            6 	
       27	           10 	
       28	            8 	
       29	            9 	
       30	            4 	
       31	            9 	
       32	            6 	
       33	            7 	
       34	           10 	
       35	           10 	
       36	           10 	
       37	            5 	
       38	            9 	
       39	            7 	
       40	            8 	
       41	            3 	
       42	            5 	
       43	            7 	
       44	            4 	
       45	            9 	
       46	           10 	
       47	           10 	
       48	            9 	
       49	            5 	
       50	            4 	
       51	           10 	
       52	            8 	
       53	            7 	
       54	            8 	
       55	            7 	
       56	            7 	
       57	            6 	
       58	            3 	
       59	            9 	
       60	            5 	
       61	            8 	
       62	            9 	
       63	            6 	
       64	            9 	
       65	            9 	
       66	            9 	
       67	            8 	
       68	            8 	
       69	            6 	
       70	            6 	
       71	           11 	
       72	            8 	
       73	            4 	
       74	            7 	
       75	            8 	
       76	            6 	
       77	            3 	
       78	            5 	
       79	            7 	
       80	           10 	
       81	           13 	
       82	            9 	
       83	            7 	
       84	            5 	
       85	            6 	
       86	            4 	
       87	            6 	
       88	            7 	
       89	            8 	
       90	            7 	
       91	            5 	
       92	            9 	
       93	            8 	
       94	           11 	
       95	            6 	
       96	            8 	
       97	            3 	
       98	            3 	
       99	            8 	
      100	            8 	
      101	            2 	
      102	           10 	
      103	            6 	
      104	           10 	
      105	            2 	
      106	           10 	
      107	            8 	
      108	           11 	
      109	           10 	
      110	            7 	
      111	            6 	
      112	            6 	
      113	            8 	
      114	            7 	
      115	            8 	
      116	            5 	
      117	            7 	
      118	            5 	
      119	            4 	
      120	            4 	
      121	            7 	
      122	           14 	
      123	            9 	
      124	            8 	
      125	            4 	
      126	            7 	
      127	            3 	
      128	            7 	
      129	            4 	
      130	            9 	
      131	            6 	
      132	            7 	
      133	            7 	
      134	            5 	
      135	           11 	
      136	            6 	
      137	            7 	
      138	           10 	
      139	           11 	
      140	            9 	
      141	            1 	
      142	            9 	
      143	            7 	
      144	            3 	
      145	            8 	
      146	           10 	
      147	            7 	
      148	            9 	
      149	            6 	
      150	           11 	
      151	            8 	
      152	            8 	
      153	            7 	
      154	            8 	
      155	           14 	
      156	            9 	
      157	            9 	
      158	            3 	
      159	           11 	
      160	           13 	
      161	            5 	
      162	           13 	
      163	            9 	
      164	            3 	
      165	            4 	
      166	            5 	
      167	           13 	
      168	            9 	
      169	           11 	
      170	            6 	
      171	           12 	
      172	           11 	
      173	            7 	
      174	            8 	
      175	            9 	
      176	            8 	
      177	            6 	
      178	            3 	
      179	            6 	
      180	            8 	
      181	           10 	
      182	           12 	
      183	            4 	
      184	            6 	
      185	            6 	
      186	            5 	
      187	            7 	
      188	           16 	
      189	            6 	
      190	           11 	
      191	            7 	
      192	            6 	
      193	           10 	
      194	            7 	
      195	           10 	
      196	            5 	
      197	            3 	
      198	            7 	
      199	           10 	
      200	            4 	
      201	           11 	
      202	            8 	
      203	            5 	
      204	            4 	
      205	            8 	
      206	            7 	
      207	            6 	
      208	            8 	
      209	            1 	
      210	            3 	
      211	           11 	
      212	            5 	
      213	            3 	
      214	            2 	
      215	           10 	
      216	            5 	
      217	           14 	
      218	            8 	
      219	            8 	
      220	            5 	
      221	            4 	
      222	            7 	
      223	            7 	
      224	           10 	
      225	            6 	
      226	            9 	
      227	            3 	
      228	            6 	
      229	            8 	
      230	            8 	
      231	            9 	
      232	            6 	
      233	           11 	
      234	           10 	
      235	            6 	
      236	            9 	
      237	            6 	
      238	            6 	
      239	            7 	
      240	            7 	
      241	            8 	
      242	            3 	
      243	           10 	
      244	            4 	
      245	            6 	
      246	            6 	
      247	            8 	
      248	            5 	
      249	            4 	
      250	           11 	
      251	            4 	
      252	            4 	
      253	            8 	
      254	           11 	
      255	            8 	
      256	            6 	
      257	            6 	
      258	            5 	
      259	            6 	
      260	           10 	
      261	            6 	
      262	            6 	
      263	            2 	
      264	            4 	
      265	            5 	
      266	            5 	
      267	            9 	
      268	           10 	
      269	            4 	
      270	            5 	
      271	            6 	
      272	            8 	
      273	           16 	
      274	            4 	
      275	            7 	
      276	           16 	
      277	            7 	
      278	            8 	
      279	            7 	
      280	            6 	
      281	            8 	
      282	            8 	
      283	            4 	
      284	           17 	
      285	            4 	
      286	           10 	
      287	            6 	
      288	           13 	
      289	            1 	
      290	            5 	
      291	            8 	
      292	            6 	
      293	           12 	
      294	            1 	
      295	            8 	
      296	            7 	
      297	            6 	
      298	            5 	
      299	            8 	
      300	            1 	
      301	            5 	
      302	           10 	
      303	           10 	
      304	            6 	
      305	           10 	
      306	           10 	
      307	            5 	
      308	            4 	
      309	           10 	
      310	           10 	
      311	           10 	
      312	            7 	
      313	            7 	
      314	            7 	
      315	            3 	
      316	            6 	
      317	            6 	
      318	            7 	
      319	            4 	
      320	            5 	
      321	           10 	
      322	           10 	
      323	            8 	
      324	           10 	
      325	            4 	
      326	            9 	
      327	            5 	
      328	            7 	
      329	            9 	
      330	           10 	
      331	            5 	
      332	           11 	
      333	            7 	
      334	            6 	
      335	            5 	
      336	            8 	
      337	            7 	
      338	            4 	
