Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-07-17
Time (HH:MM:SS):	17:59:14
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	          828 	
        2	          826 	
        3	          837 	
        4	          803 	
        5	          797 	
        6	          835 	
        7	          812 	
        8	          833 	
        9	          791 	
       10	          816 	
       11	          800 	
       12	          812 	
       13	          789 	
       14	          811 	
       15	          805 	
       16	          817 	
       17	          833 	
       18	          808 	
       19	          837 	
       20	          810 	
       21	          809 	
       22	          823 	
       23	          829 	
       24	          867 	
       25	          775 	
       26	          753 	
       27	          829 	
       28	          872 	
       29	          839 	
       30	          816 	
       31	          861 	
       32	          816 	
       33	          829 	
       34	          876 	
       35	          852 	
       36	          815 	
       37	          833 	
       38	          839 	
       39	          837 	
       40	          785 	
       41	          838 	
       42	          810 	
       43	          841 	
       44	          861 	
       45	          851 	
       46	          817 	
       47	          785 	
       48	          826 	
       49	          835 	
       50	          836 	
       51	          838 	
       52	          795 	
       53	          831 	
       54	          857 	
       55	          889 	
       56	          841 	
       57	          799 	
       58	          830 	
       59	          832 	
       60	          834 	
       61	          820 	
       62	          859 	
       63	          817 	
       64	          789 	
       65	          783 	
       66	          777 	
       67	          822 	
       68	          767 	
       69	          792 	
       70	          789 	
       71	          794 	
       72	          891 	
       73	          841 	
       74	          853 	
       75	          823 	
       76	          897 	
       77	          814 	
       78	          821 	
       79	          828 	
       80	          853 	
       81	          840 	
       82	          881 	
       83	          800 	
       84	          839 	
       85	          835 	
       86	          860 	
       87	          897 	
       88	          870 	
       89	          852 	
       90	          849 	
       91	          860 	
       92	          835 	
       93	          818 	
       94	          857 	
       95	          851 	
       96	          874 	
       97	          835 	
       98	          790 	
       99	          811 	
      100	          857 	
      101	          874 	
      102	          874 	
      103	          805 	
      104	          861 	
      105	          861 	
      106	          860 	
      107	          802 	
      108	          810 	
      109	          845 	
      110	          836 	
      111	          838 	
      112	          891 	
      113	          870 	
      114	          821 	
      115	          854 	
      116	          830 	
      117	          819 	
      118	          862 	
      119	          812 	
      120	          806 	
      121	          864 	
      122	          859 	
      123	          828 	
      124	          811 	
      125	          855 	
      126	          839 	
      127	          888 	
      128	          838 	
      129	          877 	
      130	          884 	
      131	          851 	
      132	          863 	
      133	          873 	
      134	          858 	
      135	          835 	
      136	          816 	
      137	          807 	
      138	          766 	
      139	          792 	
      140	          812 	
      141	          822 	
      142	          859 	
      143	          844 	
      144	          777 	
      145	          811 	
      146	          775 	
      147	          844 	
      148	          789 	
      149	          793 	
      150	          862 	
      151	          863 	
      152	          827 	
      153	          809 	
      154	          817 	
      155	          823 	
      156	          878 	
      157	          828 	
      158	          849 	
      159	          817 	
      160	          875 	
      161	          892 	
      162	          839 	
      163	          839 	
      164	          885 	
      165	          868 	
      166	          895 	
      167	          914 	
      168	          895 	
      169	          837 	
      170	          901 	
      171	          837 	
      172	          878 	
      173	          814 	
      174	          813 	
      175	          873 	
      176	          852 	
      177	          871 	
      178	          844 	
      179	          852 	
      180	          865 	
      181	          849 	
      182	          847 	
      183	          850 	
      184	          843 	
      185	          813 	
      186	          784 	
      187	          889 	
      188	          834 	
      189	          882 	
      190	          825 	
      191	          830 	
      192	          851 	
      193	          891 	
      194	          774 	
      195	          847 	
      196	          840 	
      197	          824 	
      198	          825 	
      199	          885 	
      200	          831 	
      201	          820 	
      202	          880 	
      203	          862 	
