Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-07-17
Time (HH:MM:SS):	17:42:17
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	          247 	
        2	          256 	
        3	          245 	
        4	          211 	
        5	          272 	
        6	          236 	
        7	          256 	
        8	          267 	
        9	          211 	
       10	          242 	
       11	          222 	
       12	          244 	
       13	          252 	
       14	          243 	
       15	          259 	
       16	          254 	
       17	          280 	
       18	          279 	
       19	          264 	
       20	          262 	
       21	          269 	
       22	          221 	
       23	          228 	
       24	          266 	
       25	          267 	
       26	          220 	
       27	          258 	
       28	          236 	
       29	          240 	
       30	          238 	
       31	          222 	
       32	          281 	
       33	          236 	
       34	          232 	
       35	          251 	
       36	          239 	
       37	          254 	
       38	          234 	
       39	          244 	
       40	          222 	
       41	          241 	
       42	          244 	
       43	          243 	
       44	          233 	
       45	          246 	
       46	          276 	
       47	          237 	
       48	          240 	
       49	          231 	
       50	          238 	
       51	          281 	
       52	          283 	
       53	          231 	
       54	          251 	
       55	          249 	
       56	          237 	
       57	          224 	
       58	          242 	
       59	          236 	
       60	          287 	
       61	          272 	
       62	          255 	
       63	          239 	
       64	          241 	
       65	          233 	
       66	          246 	
       67	          252 	
       68	          263 	
       69	          231 	
       70	          235 	
       71	          235 	
       72	          245 	
       73	          250 	
       74	          229 	
       75	          253 	
       76	          249 	
       77	          244 	
       78	          257 	
       79	          227 	
       80	          230 	
       81	          279 	
       82	          261 	
       83	          246 	
       84	          271 	
       85	          255 	
       86	          249 	
       87	          250 	
       88	          257 	
       89	          231 	
       90	          266 	
       91	          246 	
       92	          265 	
       93	          294 	
       94	          254 	
       95	          249 	
       96	          233 	
       97	          249 	
       98	          259 	
       99	          252 	
      100	          249 	
      101	          238 	
      102	          246 	
      103	          233 	
      104	          264 	
      105	          248 	
      106	          221 	
      107	          250 	
      108	          225 	
      109	          252 	
      110	          244 	
      111	          251 	
      112	          256 	
      113	          241 	
      114	          228 	
      115	          248 	
      116	          225 	
      117	          240 	
      118	          235 	
      119	          253 	
      120	          269 	
      121	          236 	
      122	          244 	
      123	          261 	
      124	          244 	
      125	          276 	
      126	          249 	
      127	          253 	
      128	          259 	
      129	          253 	
      130	          237 	
      131	          229 	
      132	          270 	
      133	          260 	
      134	          247 	
      135	          264 	
      136	          244 	
      137	          273 	
      138	          266 	
      139	          268 	
      140	          245 	
      141	          228 	
      142	          239 	
      143	          236 	
      144	          235 	
      145	          230 	
      146	          257 	
      147	          285 	
      148	          214 	
      149	          268 	
      150	          232 	
      151	          215 	
      152	          260 	
      153	          282 	
      154	          250 	
      155	          267 	
      156	          271 	
      157	          249 	
      158	          301 	
      159	          251 	
      160	          257 	
      161	          265 	
      162	          231 	
      163	          237 	
      164	          258 	
      165	          261 	
      166	          249 	
      167	          268 	
      168	          258 	
      169	          246 	
      170	          248 	
      171	          231 	
      172	          252 	
      173	          228 	
      174	          220 	
      175	          254 	
      176	          222 	
      177	          270 	
      178	          250 	
      179	          259 	
      180	          235 	
      181	          257 	
      182	          249 	
      183	          257 	
      184	          258 	
      185	          244 	
      186	          247 	
      187	          254 	
      188	          237 	
      189	          239 	
      190	          271 	
      191	          225 	
      192	          241 	
      193	          260 	
      194	          250 	
      195	          256 	
      196	          269 	
      197	          241 	
      198	          247 	
      199	          234 	
      200	          251 	
      201	          247 	
