Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-07-17
Time (HH:MM:SS):	18:03:24
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	          278 	
        2	          303 	
        3	          268 	
        4	          269 	
        5	          268 	
        6	          301 	
        7	          280 	
        8	          275 	
        9	          286 	
       10	          287 	
       11	          283 	
       12	          326 	
       13	          291 	
       14	          286 	
       15	          257 	
       16	          287 	
       17	          284 	
       18	          299 	
       19	          275 	
       20	          279 	
       21	          294 	
       22	          287 	
       23	          262 	
       24	          303 	
       25	          253 	
       26	          297 	
       27	          271 	
       28	          272 	
       29	          266 	
       30	          276 	
       31	          263 	
       32	          277 	
       33	          261 	
       34	          304 	
       35	          266 	
       36	          277 	
       37	          293 	
       38	          263 	
       39	          316 	
       40	          246 	
       41	          244 	
       42	          279 	
       43	          258 	
       44	          267 	
       45	          249 	
       46	          272 	
       47	          256 	
       48	          264 	
       49	          280 	
       50	          267 	
       51	          276 	
       52	          275 	
       53	          290 	
       54	          291 	
       55	          253 	
       56	          300 	
       57	          272 	
       58	          300 	
       59	          273 	
       60	          272 	
       61	          262 	
       62	          279 	
       63	          284 	
       64	          273 	
       65	          302 	
       66	          274 	
       67	          278 	
       68	          253 	
       69	          302 	
       70	          253 	
       71	          288 	
       72	          283 	
       73	          290 	
       74	          258 	
       75	          294 	
       76	          263 	
       77	          269 	
       78	          320 	
       79	          238 	
       80	          272 	
       81	          280 	
       82	          266 	
       83	          277 	
       84	          267 	
       85	          253 	
       86	          270 	
       87	          284 	
       88	          294 	
       89	          256 	
       90	          262 	
       91	          257 	
       92	          267 	
       93	          277 	
       94	          268 	
       95	          261 	
       96	          273 	
       97	          305 	
       98	          259 	
       99	          263 	
      100	          301 	
      101	          255 	
      102	          283 	
      103	          297 	
      104	          273 	
      105	          267 	
      106	          276 	
      107	          245 	
      108	          279 	
      109	          300 	
      110	          283 	
      111	          255 	
      112	          264 	
      113	          265 	
      114	          286 	
      115	          274 	
      116	          274 	
      117	          312 	
      118	          268 	
      119	          277 	
      120	          253 	
      121	          284 	
      122	          279 	
      123	          274 	
      124	          281 	
      125	          261 	
      126	          245 	
      127	          280 	
      128	          296 	
      129	          319 	
      130	          255 	
      131	          273 	
      132	          271 	
      133	          270 	
      134	          272 	
      135	          281 	
      136	          286 	
      137	          276 	
      138	          268 	
      139	          285 	
      140	          264 	
      141	          289 	
      142	          271 	
      143	          269 	
      144	          284 	
      145	          268 	
      146	          258 	
      147	          281 	
      148	          265 	
      149	          273 	
      150	          249 	
      151	          280 	
      152	          287 	
      153	          283 	
      154	          262 	
      155	          293 	
      156	          261 	
      157	          282 	
      158	          266 	
      159	          269 	
      160	          257 	
      161	          262 	
      162	          290 	
      163	          244 	
      164	          287 	
      165	          269 	
      166	          265 	
      167	          279 	
      168	          284 	
      169	          277 	
      170	          273 	
      171	          302 	
      172	          273 	
      173	          249 	
      174	          286 	
      175	          279 	
      176	          279 	
      177	          277 	
      178	          271 	
      179	          290 	
      180	          260 	
      181	          243 	
      182	          266 	
      183	          280 	
      184	          254 	
      185	          259 	
      186	          286 	
      187	          252 	
      188	          277 	
      189	          261 	
      190	          278 	
      191	          293 	
      192	          280 	
      193	          297 	
      194	          273 	
      195	          305 	
      196	          296 	
      197	          265 	
      198	          297 	
      199	          260 	
      200	          274 	
      201	          258 	
      202	          266 	
      203	          289 	
      204	          259 	
      205	          243 	
