Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-07-17
Time (HH:MM:SS):	18:46:35
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	          239 	
        2	          199 	
        3	          201 	
        4	          212 	
        5	          191 	
        6	          220 	
        7	          222 	
        8	          234 	
        9	          204 	
       10	          194 	
       11	          172 	
       12	          198 	
       13	          198 	
       14	          216 	
       15	          231 	
       16	          217 	
       17	          203 	
       18	          203 	
       19	          189 	
       20	          222 	
       21	          212 	
       22	          198 	
       23	          226 	
       24	          213 	
       25	          226 	
       26	          228 	
       27	          206 	
       28	          225 	
       29	          195 	
       30	          211 	
       31	          211 	
       32	          221 	
       33	          219 	
       34	          204 	
       35	          209 	
       36	          237 	
       37	          214 	
       38	          211 	
       39	          210 	
       40	          210 	
       41	          209 	
       42	          203 	
       43	          193 	
       44	          190 	
       45	          210 	
       46	          239 	
       47	          187 	
       48	          207 	
       49	          197 	
       50	          185 	
       51	          190 	
       52	          199 	
       53	          185 	
       54	          220 	
       55	          202 	
       56	          225 	
       57	          211 	
       58	          217 	
       59	          203 	
       60	          192 	
       61	          213 	
       62	          194 	
       63	          197 	
       64	          199 	
       65	          172 	
       66	          196 	
       67	          191 	
       68	          208 	
       69	          231 	
       70	          204 	
       71	          208 	
       72	          217 	
       73	          204 	
       74	          235 	
       75	          195 	
       76	          190 	
       77	          199 	
       78	          183 	
       79	          217 	
       80	          210 	
       81	          196 	
       82	          190 	
       83	          216 	
       84	          209 	
       85	          214 	
       86	          196 	
       87	          191 	
       88	          198 	
       89	          178 	
       90	          213 	
       91	          212 	
       92	          215 	
       93	          203 	
       94	          248 	
       95	          209 	
       96	          209 	
       97	          213 	
       98	          163 	
       99	          216 	
      100	          190 	
      101	          193 	
      102	          210 	
      103	          199 	
      104	          224 	
      105	          188 	
      106	          205 	
      107	          217 	
      108	          201 	
      109	          221 	
      110	          185 	
      111	          196 	
      112	          215 	
      113	          195 	
      114	          201 	
      115	          233 	
      116	          192 	
      117	          206 	
      118	          199 	
      119	          231 	
      120	          209 	
      121	          196 	
      122	          212 	
      123	          183 	
      124	          205 	
      125	          180 	
      126	          223 	
      127	          218 	
      128	          220 	
      129	          216 	
      130	          197 	
      131	          197 	
      132	          198 	
      133	          202 	
      134	          225 	
      135	          223 	
      136	          198 	
      137	          190 	
      138	          219 	
      139	          192 	
      140	          232 	
      141	          205 	
      142	          187 	
      143	          196 	
      144	          220 	
      145	          205 	
      146	          221 	
      147	          235 	
      148	          205 	
      149	          208 	
      150	          208 	
      151	          191 	
      152	          199 	
      153	          209 	
      154	          213 	
      155	          195 	
      156	          198 	
      157	          215 	
      158	          216 	
      159	          218 	
      160	          195 	
      161	          233 	
      162	          222 	
      163	          231 	
      164	          206 	
      165	          196 	
      166	          183 	
      167	          204 	
      168	          225 	
      169	          197 	
      170	          224 	
      171	          214 	
      172	          186 	
      173	          215 	
      174	          214 	
      175	          227 	
      176	          195 	
      177	          191 	
      178	          213 	
      179	          217 	
      180	          186 	
      181	          211 	
      182	          202 	
      183	          220 	
      184	          202 	
      185	          202 	
      186	          213 	
      187	          216 	
      188	          201 	
      189	          186 	
      190	          216 	
      191	          185 	
      192	          208 	
      193	          186 	
      194	          213 	
      195	          186 	
      196	          240 	
      197	          215 	
      198	          198 	
      199	          187 	
      200	          203 	
      201	          191 	
      202	          194 	
      203	          202 	
      204	          179 	
      205	          194 	
      206	          235 	
      207	          183 	
      208	          221 	
