Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-07-17
Time (HH:MM:SS):	18:02:32
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	          271 	
        2	          241 	
        3	          249 	
        4	          259 	
        5	          302 	
        6	          296 	
        7	          237 	
        8	          288 	
        9	          286 	
       10	          274 	
       11	          285 	
       12	          249 	
       13	          266 	
       14	          282 	
       15	          238 	
       16	          277 	
       17	          256 	
       18	          256 	
       19	          226 	
       20	          304 	
       21	          258 	
       22	          250 	
       23	          256 	
       24	          255 	
       25	          250 	
       26	          256 	
       27	          270 	
       28	          268 	
       29	          270 	
       30	          264 	
       31	          279 	
       32	          264 	
       33	          280 	
       34	          249 	
       35	          277 	
       36	          318 	
       37	          270 	
       38	          314 	
       39	          279 	
       40	          270 	
       41	          284 	
       42	          260 	
       43	          271 	
       44	          302 	
       45	          245 	
       46	          272 	
       47	          286 	
       48	          260 	
       49	          275 	
       50	          291 	
       51	          293 	
       52	          267 	
       53	          280 	
       54	          251 	
       55	          291 	
       56	          281 	
       57	          273 	
       58	          242 	
       59	          239 	
       60	          289 	
       61	          255 	
       62	          252 	
       63	          291 	
       64	          258 	
       65	          283 	
       66	          244 	
       67	          284 	
       68	          307 	
       69	          302 	
       70	          264 	
       71	          257 	
       72	          272 	
       73	          295 	
       74	          244 	
       75	          282 	
       76	          279 	
       77	          248 	
       78	          267 	
       79	          276 	
       80	          241 	
       81	          241 	
       82	          275 	
       83	          257 	
       84	          249 	
       85	          249 	
       86	          258 	
       87	          283 	
       88	          248 	
       89	          270 	
       90	          249 	
       91	          263 	
       92	          270 	
       93	          269 	
       94	          294 	
       95	          240 	
       96	          302 	
       97	          290 	
       98	          303 	
       99	          255 	
      100	          283 	
      101	          291 	
      102	          280 	
      103	          283 	
      104	          278 	
      105	          268 	
      106	          287 	
      107	          273 	
      108	          251 	
      109	          266 	
      110	          251 	
      111	          278 	
      112	          242 	
      113	          266 	
      114	          280 	
      115	          244 	
      116	          275 	
      117	          297 	
      118	          263 	
      119	          265 	
      120	          274 	
      121	          284 	
      122	          281 	
      123	          292 	
      124	          297 	
      125	          265 	
      126	          329 	
      127	          275 	
      128	          254 	
      129	          251 	
      130	          270 	
      131	          273 	
      132	          242 	
      133	          281 	
      134	          263 	
      135	          243 	
      136	          256 	
      137	          273 	
      138	          244 	
      139	          251 	
      140	          271 	
      141	          270 	
      142	          264 	
      143	          287 	
      144	          253 	
      145	          264 	
      146	          261 	
      147	          289 	
      148	          229 	
      149	          220 	
      150	          308 	
      151	          272 	
      152	          273 	
      153	          279 	
      154	          273 	
      155	          292 	
      156	          264 	
      157	          260 	
      158	          276 	
      159	          278 	
      160	          285 	
      161	          286 	
      162	          262 	
      163	          272 	
      164	          282 	
      165	          279 	
      166	          256 	
      167	          271 	
      168	          273 	
      169	          266 	
      170	          251 	
      171	          280 	
      172	          294 	
      173	          275 	
      174	          250 	
      175	          289 	
      176	          297 	
      177	          274 	
      178	          273 	
      179	          268 	
      180	          272 	
      181	          273 	
      182	          285 	
      183	          268 	
      184	          245 	
      185	          286 	
      186	          289 	
      187	          284 	
      188	          259 	
      189	          277 	
      190	          260 	
      191	          277 	
      192	          260 	
      193	          259 	
      194	          261 	
      195	          274 	
      196	          280 	
      197	          269 	
      198	          250 	
      199	          260 	
      200	          294 	
      201	          266 	
      202	          284 	
      203	          260 	
      204	          263 	
      205	          283 	
