Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-07-17
Time (HH:MM:SS):	18:42:05
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	          598 	
        2	          614 	
        3	          631 	
        4	          679 	
        5	          607 	
        6	          606 	
        7	          661 	
        8	          626 	
        9	          618 	
       10	          597 	
       11	          645 	
       12	          622 	
       13	          616 	
       14	          654 	
       15	          616 	
       16	          637 	
       17	          642 	
       18	          620 	
       19	          630 	
       20	          602 	
       21	          649 	
       22	          652 	
       23	          656 	
       24	          655 	
       25	          642 	
       26	          636 	
       27	          635 	
       28	          635 	
       29	          641 	
       30	          669 	
       31	          564 	
       32	          613 	
       33	          650 	
       34	          629 	
       35	          628 	
       36	          654 	
       37	          662 	
       38	          609 	
       39	          628 	
       40	          560 	
       41	          619 	
       42	          677 	
       43	          609 	
       44	          602 	
       45	          609 	
       46	          599 	
       47	          619 	
       48	          613 	
       49	          609 	
       50	          665 	
       51	          610 	
       52	          594 	
       53	          588 	
       54	          641 	
       55	          557 	
       56	          584 	
       57	          611 	
       58	          604 	
       59	          601 	
       60	          608 	
       61	          678 	
       62	          635 	
       63	          606 	
       64	          709 	
       65	          683 	
       66	          622 	
       67	          618 	
       68	          622 	
       69	          671 	
       70	          629 	
       71	          663 	
       72	          652 	
       73	          645 	
       74	          611 	
       75	          610 	
       76	          596 	
       77	          650 	
       78	          663 	
       79	          656 	
       80	          656 	
       81	          618 	
       82	          678 	
       83	          646 	
       84	          646 	
       85	          613 	
       86	          659 	
       87	          622 	
       88	          586 	
       89	          614 	
       90	          664 	
       91	          623 	
       92	          664 	
       93	          672 	
       94	          664 	
       95	          635 	
       96	          626 	
       97	          656 	
       98	          625 	
       99	          641 	
      100	          679 	
      101	          638 	
      102	          644 	
      103	          670 	
      104	          587 	
      105	          649 	
      106	          624 	
      107	          643 	
      108	          642 	
      109	          630 	
      110	          664 	
      111	          674 	
      112	          655 	
      113	          621 	
      114	          639 	
      115	          603 	
      116	          622 	
      117	          667 	
      118	          648 	
      119	          580 	
      120	          646 	
      121	          635 	
      122	          648 	
      123	          648 	
      124	          548 	
      125	          640 	
      126	          605 	
      127	          633 	
      128	          650 	
      129	          653 	
      130	          627 	
      131	          646 	
      132	          602 	
      133	          599 	
      134	          707 	
      135	          613 	
      136	          574 	
      137	          657 	
      138	          615 	
      139	          599 	
      140	          583 	
      141	          613 	
      142	          648 	
      143	          589 	
      144	          655 	
      145	          604 	
      146	          602 	
      147	          673 	
      148	          585 	
      149	          599 	
      150	          597 	
      151	          580 	
      152	          635 	
      153	          641 	
      154	          653 	
      155	          625 	
      156	          642 	
      157	          585 	
      158	          616 	
      159	          658 	
      160	          652 	
      161	          685 	
      162	          636 	
      163	          644 	
      164	          597 	
      165	          630 	
      166	          602 	
      167	          647 	
      168	          602 	
      169	          600 	
      170	          628 	
      171	          588 	
      172	          670 	
      173	          657 	
      174	          589 	
      175	          626 	
      176	          639 	
      177	          621 	
      178	          615 	
      179	          602 	
      180	          635 	
      181	          636 	
      182	          570 	
      183	          649 	
      184	          608 	
      185	          615 	
      186	          603 	
      187	          633 	
      188	          639 	
      189	          650 	
      190	          595 	
      191	          648 	
      192	          625 	
      193	          575 	
      194	          598 	
      195	          636 	
      196	          570 	
      197	          631 	
      198	          625 	
      199	          586 	
      200	          627 	
      201	          617 	
      202	          607 	
      203	          619 	
      204	          617 	
      205	          604 	
      206	          567 	
      207	          684 	
      208	          595 	
      209	          613 	
      210	          649 	
      211	          607 	
      212	          610 	
      213	          614 	
      214	          636 	
      215	          666 	
      216	          617 	
      217	          610 	
      218	          633 	
      219	          606 	
      220	          577 	
      221	          631 	
      222	          595 	
      223	          604 	
      224	          639 	
      225	          681 	
      226	          637 	
      227	          641 	
      228	          657 	
      229	          588 	
      230	          595 	
      231	          612 	
      232	          671 	
      233	          676 	
      234	          610 	
      235	          596 	
      236	          595 	
      237	          609 	
