Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-07-17
Time (HH:MM:SS):	17:43:11
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	          243 	
        2	          264 	
        3	          283 	
        4	          232 	
        5	          249 	
        6	          279 	
        7	          243 	
        8	          271 	
        9	          268 	
       10	          273 	
       11	          249 	
       12	          260 	
       13	          240 	
       14	          286 	
       15	          269 	
       16	          260 	
       17	          281 	
       18	          247 	
       19	          228 	
       20	          233 	
       21	          254 	
       22	          280 	
       23	          270 	
       24	          259 	
       25	          235 	
       26	          269 	
       27	          245 	
       28	          257 	
       29	          267 	
       30	          250 	
       31	          252 	
       32	          265 	
       33	          224 	
       34	          256 	
       35	          222 	
       36	          262 	
       37	          246 	
       38	          238 	
       39	          283 	
       40	          225 	
       41	          245 	
       42	          250 	
       43	          265 	
       44	          247 	
       45	          267 	
       46	          265 	
       47	          238 	
       48	          254 	
       49	          245 	
       50	          232 	
       51	          261 	
       52	          254 	
       53	          261 	
       54	          258 	
       55	          249 	
       56	          273 	
       57	          261 	
       58	          259 	
       59	          246 	
       60	          248 	
       61	          252 	
       62	          271 	
       63	          248 	
       64	          247 	
       65	          254 	
       66	          245 	
       67	          248 	
       68	          232 	
       69	          282 	
       70	          276 	
       71	          249 	
       72	          254 	
       73	          265 	
       74	          232 	
       75	          246 	
       76	          249 	
       77	          248 	
       78	          243 	
       79	          282 	
       80	          232 	
       81	          234 	
       82	          253 	
       83	          246 	
       84	          249 	
       85	          253 	
       86	          222 	
       87	          250 	
       88	          255 	
       89	          284 	
       90	          266 	
       91	          243 	
       92	          292 	
       93	          249 	
       94	          209 	
       95	          265 	
       96	          259 	
       97	          263 	
       98	          263 	
       99	          239 	
      100	          257 	
      101	          288 	
      102	          251 	
      103	          263 	
      104	          259 	
      105	          252 	
      106	          252 	
      107	          264 	
      108	          242 	
      109	          249 	
      110	          278 	
      111	          275 	
      112	          271 	
      113	          274 	
      114	          272 	
      115	          228 	
      116	          245 	
      117	          253 	
      118	          281 	
      119	          247 	
      120	          277 	
      121	          241 	
      122	          238 	
      123	          251 	
      124	          253 	
      125	          264 	
      126	          249 	
      127	          266 	
      128	          254 	
      129	          255 	
      130	          232 	
      131	          244 	
      132	          256 	
      133	          250 	
      134	          260 	
      135	          264 	
      136	          251 	
      137	          263 	
      138	          244 	
      139	          231 	
      140	          236 	
      141	          268 	
      142	          265 	
      143	          267 	
      144	          234 	
      145	          248 	
      146	          252 	
      147	          254 	
      148	          246 	
      149	          268 	
      150	          245 	
      151	          231 	
      152	          244 	
      153	          244 	
      154	          285 	
      155	          272 	
      156	          266 	
      157	          266 	
      158	          261 	
      159	          280 	
      160	          256 	
      161	          237 	
      162	          241 	
      163	          288 	
      164	          253 	
      165	          256 	
      166	          288 	
      167	          247 	
      168	          246 	
      169	          282 	
      170	          240 	
      171	          247 	
      172	          246 	
      173	          248 	
      174	          275 	
      175	          271 	
      176	          245 	
      177	          276 	
      178	          249 	
      179	          242 	
      180	          249 	
      181	          247 	
      182	          256 	
      183	          274 	
      184	          258 	
      185	          283 	
      186	          265 	
      187	          238 	
      188	          272 	
      189	          292 	
      190	          272 	
      191	          225 	
      192	          245 	
      193	          246 	
      194	          269 	
      195	          216 	
      196	          235 	
      197	          259 	
      198	          265 	
      199	          270 	
      200	          245 	
      201	          229 	
      202	          278 	
      203	          274 	
      204	          256 	
