Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-07-17
Time (HH:MM:SS):	17:00:31
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	          400 	
        2	          433 	
        3	          368 	
        4	          398 	
        5	          364 	
        6	          376 	
        7	          382 	
        8	          409 	
        9	          339 	
       10	          401 	
       11	          406 	
       12	          372 	
       13	          416 	
       14	          410 	
       15	          405 	
       16	          380 	
       17	          417 	
       18	          391 	
       19	          404 	
       20	          395 	
       21	          406 	
       22	          408 	
       23	          372 	
       24	          416 	
       25	          415 	
       26	          418 	
       27	          429 	
       28	          422 	
       29	          411 	
       30	          398 	
       31	          384 	
       32	          407 	
       33	          369 	
       34	          362 	
       35	          442 	
       36	          336 	
       37	          398 	
       38	          404 	
       39	          373 	
       40	          362 	
       41	          418 	
       42	          406 	
       43	          384 	
       44	          385 	
       45	          364 	
       46	          376 	
       47	          398 	
       48	          372 	
       49	          377 	
       50	          391 	
       51	          385 	
       52	          408 	
       53	          395 	
       54	          439 	
       55	          414 	
       56	          380 	
       57	          399 	
       58	          386 	
       59	          396 	
       60	          462 	
       61	          430 	
       62	          430 	
       63	          410 	
       64	          386 	
       65	          370 	
       66	          377 	
       67	          369 	
       68	          413 	
       69	          397 	
       70	          409 	
       71	          381 	
       72	          387 	
       73	          403 	
       74	          412 	
       75	          387 	
       76	          398 	
       77	          412 	
       78	          394 	
       79	          422 	
       80	          354 	
       81	          409 	
       82	          409 	
       83	          401 	
       84	          399 	
       85	          425 	
       86	          435 	
       87	          398 	
       88	          418 	
       89	          379 	
       90	          416 	
       91	          392 	
       92	          424 	
       93	          420 	
       94	          449 	
       95	          377 	
       96	          404 	
       97	          394 	
       98	          436 	
       99	          429 	
      100	          401 	
      101	          392 	
      102	          419 	
      103	          402 	
      104	          362 	
      105	          403 	
      106	          387 	
      107	          390 	
      108	          420 	
      109	          404 	
      110	          405 	
      111	          413 	
      112	          406 	
      113	          395 	
      114	          392 	
      115	          423 	
      116	          406 	
      117	          396 	
      118	          385 	
      119	          411 	
      120	          374 	
      121	          399 	
      122	          438 	
      123	          400 	
      124	          389 	
      125	          393 	
      126	          364 	
      127	          388 	
      128	          423 	
      129	          413 	
      130	          368 	
      131	          380 	
      132	          426 	
      133	          365 	
      134	          424 	
      135	          396 	
      136	          349 	
      137	          388 	
      138	          384 	
      139	          420 	
      140	          403 	
      141	          373 	
      142	          394 	
      143	          393 	
      144	          374 	
      145	          377 	
      146	          374 	
      147	          377 	
      148	          409 	
      149	          429 	
      150	          402 	
      151	          364 	
      152	          396 	
      153	          377 	
      154	          426 	
      155	          393 	
      156	          376 	
      157	          403 	
      158	          398 	
      159	          416 	
      160	          416 	
      161	          388 	
      162	          406 	
      163	          407 	
      164	          433 	
      165	          409 	
      166	          417 	
      167	          394 	
      168	          411 	
      169	          415 	
      170	          392 	
      171	          360 	
      172	          439 	
      173	          375 	
      174	          435 	
      175	          393 	
      176	          427 	
      177	          405 	
      178	          421 	
      179	          405 	
      180	          403 	
      181	          380 	
      182	          420 	
      183	          417 	
      184	          364 	
      185	          379 	
      186	          409 	
      187	          405 	
      188	          386 	
      189	          415 	
      190	          380 	
      191	          397 	
      192	          398 	
      193	          368 	
      194	          436 	
      195	          430 	
      196	          417 	
      197	          412 	
      198	          373 	
      199	          412 	
      200	          384 	
      201	          408 	
      202	          364 	
      203	          392 	
      204	          395 	
      205	          401 	
      206	          361 	
      207	          372 	
      208	          375 	
      209	          406 	
      210	          413 	
      211	          384 	
      212	          426 	
      213	          390 	
      214	          403 	
      215	          415 	
      216	          405 	
      217	          396 	
      218	          389 	
      219	          374 	
      220	          404 	
      221	          405 	
      222	          391 	
      223	          372 	
      224	          421 	
      225	          379 	
      226	          384 	
      227	          379 	
      228	          400 	
      229	          403 	
      230	          392 	
      231	          387 	
      232	          389 	
      233	          413 	
      234	          380 	
      235	          392 	
      236	          393 	
      237	          387 	
      238	          387 	
      239	          411 	
      240	          394 	
      241	          401 	
      242	          391 	
      243	          410 	
      244	          383 	
      245	          414 	
      246	          390 	
      247	          401 	
      248	          425 	
      249	          394 	
      250	          396 	
      251	          385 	
      252	          420 	
      253	          382 	
      254	          404 	
