Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-07-17
Time (HH:MM:SS):	16:57:30
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	          364 	
        2	          429 	
        3	          406 	
        4	          427 	
        5	          403 	
        6	          421 	
        7	          431 	
        8	          411 	
        9	          402 	
       10	          406 	
       11	          403 	
       12	          404 	
       13	          387 	
       14	          376 	
       15	          394 	
       16	          409 	
       17	          362 	
       18	          410 	
       19	          418 	
       20	          420 	
       21	          453 	
       22	          449 	
       23	          432 	
       24	          476 	
       25	          456 	
       26	          418 	
       27	          439 	
       28	          458 	
       29	          418 	
       30	          411 	
       31	          431 	
       32	          404 	
       33	          420 	
       34	          405 	
       35	          405 	
       36	          392 	
       37	          399 	
       38	          426 	
       39	          436 	
       40	          385 	
       41	          477 	
       42	          419 	
       43	          391 	
       44	          413 	
       45	          409 	
       46	          438 	
       47	          378 	
       48	          394 	
       49	          379 	
       50	          380 	
       51	          371 	
       52	          364 	
       53	          398 	
       54	          386 	
       55	          417 	
       56	          430 	
       57	          420 	
       58	          381 	
       59	          408 	
       60	          439 	
       61	          382 	
       62	          418 	
       63	          390 	
       64	          439 	
       65	          414 	
       66	          402 	
       67	          411 	
       68	          414 	
       69	          419 	
       70	          402 	
       71	          414 	
       72	          434 	
       73	          402 	
       74	          448 	
       75	          380 	
       76	          463 	
       77	          374 	
       78	          388 	
       79	          387 	
       80	          440 	
       81	          409 	
       82	          396 	
       83	          413 	
       84	          394 	
       85	          392 	
       86	          386 	
       87	          420 	
       88	          408 	
       89	          424 	
       90	          433 	
       91	          406 	
       92	          408 	
       93	          414 	
       94	          441 	
       95	          428 	
       96	          379 	
       97	          394 	
       98	          371 	
       99	          434 	
      100	          423 	
      101	          398 	
      102	          430 	
      103	          404 	
      104	          425 	
      105	          400 	
      106	          408 	
      107	          447 	
      108	          395 	
      109	          408 	
      110	          399 	
      111	          414 	
      112	          398 	
      113	          374 	
      114	          429 	
      115	          361 	
      116	          408 	
      117	          415 	
      118	          440 	
      119	          367 	
      120	          403 	
      121	          353 	
      122	          436 	
      123	          395 	
      124	          394 	
      125	          425 	
      126	          409 	
      127	          425 	
      128	          404 	
      129	          401 	
      130	          431 	
      131	          421 	
      132	          420 	
      133	          413 	
      134	          405 	
      135	          435 	
      136	          407 	
      137	          448 	
      138	          428 	
      139	          431 	
      140	          404 	
      141	          404 	
      142	          378 	
      143	          388 	
      144	          396 	
      145	          409 	
      146	          404 	
      147	          387 	
      148	          407 	
      149	          418 	
      150	          403 	
      151	          396 	
      152	          419 	
      153	          396 	
      154	          419 	
      155	          400 	
      156	          408 	
      157	          363 	
      158	          424 	
      159	          398 	
      160	          402 	
      161	          403 	
      162	          404 	
      163	          377 	
      164	          407 	
      165	          370 	
      166	          391 	
      167	          405 	
      168	          391 	
      169	          395 	
      170	          378 	
      171	          373 	
      172	          378 	
      173	          394 	
      174	          423 	
      175	          404 	
      176	          414 	
      177	          386 	
      178	          450 	
      179	          389 	
      180	          419 	
      181	          418 	
      182	          402 	
      183	          427 	
      184	          420 	
      185	          398 	
      186	          429 	
      187	          404 	
      188	          415 	
      189	          404 	
      190	          420 	
      191	          411 	
      192	          429 	
      193	          379 	
      194	          405 	
      195	          410 	
      196	          405 	
      197	          442 	
      198	          414 	
      199	          374 	
      200	          409 	
      201	          433 	
      202	          436 	
      203	          411 	
      204	          462 	
      205	          405 	
      206	          408 	
      207	          370 	
      208	          402 	
      209	          411 	
      210	          432 	
      211	          421 	
      212	          392 	
      213	          406 	
      214	          451 	
      215	          419 	
      216	          446 	
      217	          458 	
      218	          428 	
      219	          420 	
      220	          428 	
      221	          390 	
      222	          402 	
      223	          373 	
      224	          396 	
      225	          390 	
      226	          389 	
      227	          399 	
      228	          389 	
      229	          372 	
      230	          382 	
      231	          397 	
      232	          403 	
      233	          407 	
      234	          401 	
      235	          422 	
      236	          399 	
      237	          371 	
      238	          383 	
      239	          439 	
      240	          424 	
      241	          407 	
      242	          418 	
      243	          443 	
      244	          394 	
      245	          420 	
      246	          393 	
      247	          411 	
      248	          435 	
      249	          451 	
      250	          382 	
      251	          400 	
      252	          387 	
      253	          361 	
      254	          417 	
