Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-07-17
Time (HH:MM:SS):	16:51:38
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	          763 	
        2	          728 	
        3	          752 	
        4	          756 	
        5	          766 	
        6	          707 	
        7	          784 	
        8	          831 	
        9	          825 	
       10	          798 	
       11	          820 	
       12	          810 	
       13	          854 	
       14	          804 	
       15	          779 	
       16	          730 	
       17	          718 	
       18	          752 	
       19	          790 	
       20	          728 	
       21	          745 	
       22	          783 	
       23	          736 	
       24	          775 	
       25	          806 	
       26	          804 	
       27	          796 	
       28	          778 	
       29	          789 	
       30	          777 	
       31	          833 	
       32	          859 	
       33	          771 	
       34	          800 	
       35	          747 	
       36	          762 	
       37	          816 	
       38	          770 	
       39	          714 	
       40	          755 	
       41	          764 	
       42	          791 	
       43	          782 	
       44	          812 	
       45	          803 	
       46	          799 	
       47	          738 	
       48	          803 	
       49	          746 	
       50	          780 	
       51	          816 	
       52	          846 	
       53	          806 	
       54	          775 	
       55	          768 	
       56	          724 	
       57	          782 	
       58	          755 	
       59	          701 	
       60	          767 	
       61	          758 	
       62	          769 	
       63	          773 	
       64	          814 	
       65	          709 	
       66	          789 	
       67	          780 	
       68	          803 	
       69	          815 	
       70	          768 	
       71	          761 	
       72	          754 	
       73	          761 	
       74	          776 	
       75	          818 	
       76	          729 	
       77	          784 	
       78	          741 	
       79	          796 	
       80	          732 	
       81	          792 	
       82	          787 	
       83	          779 	
       84	          835 	
       85	          797 	
       86	          780 	
       87	          800 	
       88	          743 	
       89	          743 	
       90	          757 	
       91	          809 	
       92	          799 	
       93	          809 	
       94	          824 	
       95	          810 	
       96	          830 	
       97	          759 	
       98	          739 	
       99	          850 	
      100	          763 	
      101	          783 	
      102	          800 	
      103	          820 	
      104	          742 	
      105	          753 	
      106	          782 	
      107	          817 	
      108	          792 	
      109	          792 	
      110	          863 	
      111	          861 	
      112	          855 	
      113	          782 	
      114	          790 	
      115	          779 	
      116	          757 	
      117	          727 	
      118	          792 	
      119	          756 	
      120	          812 	
      121	          780 	
      122	          796 	
      123	          817 	
      124	          818 	
      125	          801 	
      126	          821 	
      127	          797 	
      128	          773 	
      129	          794 	
      130	          769 	
      131	          784 	
      132	          794 	
      133	          784 	
      134	          753 	
      135	          795 	
      136	          783 	
      137	          771 	
      138	          787 	
      139	          778 	
      140	          795 	
      141	          805 	
      142	          819 	
      143	          798 	
      144	          815 	
      145	          855 	
      146	          805 	
      147	          808 	
      148	          784 	
