Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-07-17
Time (HH:MM:SS):	17:12:22
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	          360 	
        2	          375 	
        3	          340 	
        4	          416 	
        5	          385 	
        6	          384 	
        7	          390 	
        8	          415 	
        9	          413 	
       10	          382 	
       11	          349 	
       12	          416 	
       13	          385 	
       14	          384 	
       15	          390 	
       16	          361 	
       17	          370 	
       18	          387 	
       19	          396 	
       20	          364 	
       21	          375 	
       22	          397 	
       23	          370 	
       24	          398 	
       25	          357 	
       26	          341 	
       27	          368 	
       28	          389 	
       29	          430 	
       30	          357 	
       31	          388 	
       32	          363 	
       33	          369 	
       34	          388 	
       35	          396 	
       36	          403 	
       37	          365 	
       38	          359 	
       39	          354 	
       40	          395 	
       41	          368 	
       42	          376 	
       43	          381 	
       44	          417 	
       45	          380 	
       46	          360 	
       47	          382 	
       48	          372 	
       49	          395 	
       50	          379 	
       51	          386 	
       52	          383 	
       53	          389 	
       54	          411 	
       55	          377 	
       56	          376 	
       57	          375 	
       58	          388 	
       59	          344 	
       60	          405 	
       61	          371 	
       62	          368 	
       63	          363 	
       64	          372 	
       65	          389 	
       66	          381 	
       67	          349 	
       68	          341 	
       69	          359 	
       70	          414 	
       71	          337 	
       72	          343 	
       73	          365 	
       74	          382 	
       75	          376 	
       76	          368 	
       77	          359 	
       78	          386 	
       79	          369 	
       80	          362 	
       81	          414 	
       82	          377 	
       83	          396 	
       84	          384 	
       85	          370 	
       86	          380 	
       87	          388 	
       88	          370 	
       89	          362 	
       90	          390 	
       91	          352 	
       92	          357 	
       93	          357 	
       94	          385 	
       95	          358 	
       96	          391 	
       97	          396 	
       98	          368 	
       99	          412 	
      100	          381 	
      101	          336 	
      102	          388 	
      103	          369 	
      104	          344 	
      105	          373 	
      106	          379 	
      107	          380 	
      108	          325 	
      109	          361 	
      110	          346 	
      111	          370 	
      112	          366 	
      113	          372 	
      114	          330 	
      115	          370 	
      116	          352 	
      117	          391 	
      118	          375 	
      119	          384 	
      120	          349 	
      121	          371 	
      122	          402 	
      123	          373 	
      124	          394 	
      125	          373 	
      126	          356 	
      127	          383 	
      128	          397 	
      129	          380 	
      130	          378 	
      131	          396 	
      132	          377 	
      133	          372 	
      134	          364 	
      135	          383 	
      136	          353 	
      137	          346 	
      138	          352 	
      139	          352 	
      140	          370 	
      141	          336 	
      142	          362 	
      143	          362 	
      144	          360 	
      145	          377 	
      146	          417 	
      147	          324 	
      148	          389 	
      149	          383 	
      150	          368 	
      151	          374 	
      152	          382 	
      153	          350 	
      154	          360 	
      155	          383 	
      156	          363 	
      157	          388 	
      158	          356 	
      159	          372 	
      160	          399 	
      161	          372 	
      162	          362 	
      163	          367 	
      164	          366 	
      165	          393 	
      166	          380 	
      167	          379 	
      168	          365 	
      169	          394 	
      170	          360 	
      171	          355 	
      172	          367 	
      173	          420 	
      174	          382 	
      175	          358 	
      176	          426 	
      177	          365 	
      178	          347 	
      179	          406 	
      180	          383 	
      181	          407 	
      182	          378 	
      183	          351 	
      184	          367 	
      185	          382 	
      186	          339 	
      187	          341 	
      188	          356 	
      189	          329 	
      190	          364 	
      191	          343 	
      192	          369 	
      193	          355 	
      194	          367 	
      195	          363 	
      196	          376 	
      197	          373 	
      198	          341 	
      199	          361 	
      200	          345 	
      201	          358 	
      202	          371 	
      203	          375 	
      204	          373 	
      205	          357 	
      206	          365 	
      207	          340 	
      208	          358 	
      209	          383 	
      210	          338 	
      211	          351 	
      212	          365 	
      213	          381 	
      214	          359 	
      215	          368 	
      216	          370 	
      217	          348 	
      218	          379 	
      219	          359 	
      220	          349 	
      221	          389 	
      222	          325 	
      223	          376 	
      224	          351 	
      225	          393 	
      226	          390 	
      227	          377 	
      228	          383 	
      229	          394 	
      230	          336 	
      231	          348 	
      232	          363 	
      233	          380 	
      234	          406 	
      235	          422 	
      236	          358 	
      237	          386 	
      238	          326 	
      239	          371 	
      240	          350 	
      241	          376 	
      242	          383 	
      243	          368 	
      244	          394 	
      245	          373 	
      246	          344 	
      247	          385 	
      248	          361 	
      249	          381 	
