Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-07-17
Time (HH:MM:SS):	17:09:36
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	          364 	
        2	          370 	
        3	          383 	
        4	          400 	
        5	          390 	
        6	          378 	
        7	          384 	
        8	          376 	
        9	          361 	
       10	          373 	
       11	          345 	
       12	          379 	
       13	          411 	
       14	          397 	
       15	          359 	
       16	          406 	
       17	          350 	
       18	          408 	
       19	          400 	
       20	          382 	
       21	          303 	
       22	          377 	
       23	          346 	
       24	          358 	
       25	          367 	
       26	          356 	
       27	          376 	
       28	          382 	
       29	          424 	
       30	          359 	
       31	          388 	
       32	          382 	
       33	          384 	
       34	          392 	
       35	          374 	
       36	          378 	
       37	          388 	
       38	          390 	
       39	          412 	
       40	          395 	
       41	          346 	
       42	          388 	
       43	          383 	
       44	          365 	
       45	          363 	
       46	          362 	
       47	          390 	
       48	          362 	
       49	          411 	
       50	          383 	
       51	          417 	
       52	          378 	
       53	          382 	
       54	          388 	
       55	          375 	
       56	          352 	
       57	          349 	
       58	          376 	
       59	          375 	
       60	          369 	
       61	          340 	
       62	          343 	
       63	          374 	
       64	          388 	
       65	          406 	
       66	          393 	
       67	          376 	
       68	          359 	
       69	          367 	
       70	          360 	
       71	          359 	
       72	          395 	
       73	          384 	
       74	          358 	
       75	          348 	
       76	          379 	
       77	          386 	
       78	          371 	
       79	          391 	
       80	          376 	
       81	          384 	
       82	          343 	
       83	          375 	
       84	          406 	
       85	          349 	
       86	          370 	
       87	          366 	
       88	          393 	
       89	          355 	
       90	          374 	
       91	          387 	
       92	          375 	
       93	          395 	
       94	          393 	
       95	          443 	
       96	          346 	
       97	          357 	
       98	          377 	
       99	          384 	
      100	          376 	
      101	          362 	
      102	          353 	
      103	          396 	
      104	          392 	
      105	          368 	
      106	          414 	
      107	          327 	
      108	          385 	
      109	          359 	
      110	          369 	
      111	          347 	
      112	          354 	
      113	          357 	
      114	          366 	
      115	          340 	
      116	          369 	
      117	          373 	
      118	          372 	
      119	          368 	
      120	          378 	
      121	          382 	
      122	          327 	
      123	          354 	
      124	          429 	
      125	          354 	
      126	          352 	
      127	          354 	
      128	          375 	
      129	          390 	
      130	          337 	
      131	          395 	
      132	          389 	
      133	          354 	
      134	          388 	
      135	          358 	
      136	          373 	
      137	          372 	
      138	          381 	
      139	          405 	
      140	          383 	
      141	          334 	
      142	          393 	
      143	          387 	
      144	          338 	
      145	          400 	
      146	          399 	
      147	          368 	
      148	          366 	
      149	          367 	
      150	          389 	
      151	          373 	
      152	          403 	
      153	          373 	
      154	          394 	
      155	          400 	
      156	          372 	
      157	          367 	
      158	          378 	
      159	          397 	
      160	          371 	
      161	          413 	
      162	          378 	
      163	          390 	
      164	          347 	
      165	          384 	
      166	          363 	
      167	          364 	
      168	          415 	
      169	          357 	
      170	          384 	
      171	          384 	
      172	          397 	
      173	          379 	
      174	          373 	
      175	          368 	
      176	          375 	
      177	          377 	
      178	          365 	
      179	          367 	
      180	          399 	
      181	          340 	
      182	          426 	
      183	          400 	
      184	          404 	
      185	          391 	
      186	          342 	
      187	          379 	
      188	          362 	
      189	          367 	
      190	          361 	
      191	          381 	
      192	          365 	
      193	          408 	
      194	          355 	
      195	          371 	
      196	          389 	
      197	          369 	
      198	          392 	
      199	          367 	
      200	          380 	
      201	          364 	
      202	          397 	
      203	          353 	
      204	          379 	
      205	          392 	
      206	          387 	
      207	          365 	
      208	          349 	
      209	          358 	
      210	          394 	
      211	          408 	
      212	          366 	
      213	          383 	
      214	          406 	
      215	          395 	
      216	          415 	
      217	          357 	
      218	          382 	
      219	          357 	
      220	          376 	
      221	          348 	
      222	          362 	
      223	          374 	
      224	          378 	
      225	          396 	
      226	          416 	
      227	          420 	
      228	          418 	
      229	          386 	
      230	          403 	
      231	          369 	
      232	          401 	
      233	          341 	
      234	          372 	
      235	          356 	
      236	          368 	
      237	          427 	
      238	          394 	
      239	          383 	
      240	          408 	
      241	          407 	
      242	          378 	
      243	          383 	
      244	          409 	
      245	          363 	
      246	          369 	
      247	          378 	
      248	          340 	
      249	          377 	
      250	          350 	
