Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-07-17
Time (HH:MM:SS):	16:55:42
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	            8 	
        2	            6 	
        3	           10 	
        4	           13 	
        5	            8 	
        6	            5 	
        7	           15 	
        8	           10 	
        9	            8 	
       10	            3 	
       11	            6 	
       12	            3 	
       13	           10 	
       14	           14 	
       15	            8 	
       16	            9 	
       17	            5 	
       18	           11 	
       19	            4 	
       20	            9 	
       21	            7 	
       22	            9 	
       23	            7 	
       24	            7 	
       25	            9 	
       26	           10 	
       27	            6 	
       28	            7 	
       29	            3 	
       30	            9 	
       31	            2 	
       32	            4 	
       33	            8 	
       34	            9 	
       35	           12 	
       36	           11 	
       37	           10 	
       38	            7 	
       39	            8 	
       40	            9 	
       41	            8 	
       42	            5 	
       43	            7 	
       44	            3 	
       45	            8 	
       46	            5 	
       47	            5 	
       48	            7 	
       49	            8 	
       50	            8 	
       51	           10 	
       52	            8 	
       53	            9 	
       54	            6 	
       55	            8 	
       56	           10 	
       57	            9 	
       58	            5 	
       59	            7 	
       60	            9 	
       61	            8 	
       62	            5 	
       63	            9 	
       64	            9 	
       65	            9 	
       66	            8 	
       67	            6 	
       68	            9 	
       69	           11 	
       70	            6 	
       71	           10 	
       72	            7 	
       73	            5 	
       74	            7 	
       75	            9 	
       76	           10 	
       77	           10 	
       78	            8 	
       79	            3 	
       80	           15 	
       81	            7 	
       82	            9 	
       83	            5 	
       84	            4 	
       85	            5 	
       86	            8 	
       87	           10 	
       88	            3 	
       89	           11 	
       90	            4 	
       91	           17 	
       92	            7 	
       93	            6 	
       94	            5 	
       95	            9 	
       96	            5 	
       97	           10 	
       98	            2 	
       99	           12 	
      100	            9 	
      101	            6 	
      102	            7 	
      103	           15 	
      104	            7 	
      105	            4 	
      106	            5 	
      107	           15 	
      108	            6 	
      109	            6 	
      110	           10 	
      111	           10 	
      112	            7 	
      113	           10 	
      114	            7 	
      115	            6 	
      116	            8 	
      117	            7 	
      118	           10 	
      119	            9 	
      120	            9 	
      121	           11 	
      122	            4 	
      123	           15 	
      124	           14 	
      125	            6 	
      126	            6 	
      127	            5 	
      128	           14 	
      129	            9 	
      130	            5 	
      131	            2 	
      132	            6 	
      133	           12 	
      134	            6 	
      135	            9 	
      136	            2 	
      137	            8 	
      138	            4 	
      139	           10 	
      140	           11 	
      141	            8 	
      142	            6 	
      143	            2 	
      144	           13 	
      145	            7 	
      146	            6 	
      147	            5 	
      148	           10 	
      149	            5 	
      150	            4 	
      151	            5 	
      152	           12 	
      153	            7 	
      154	           11 	
      155	           10 	
      156	            4 	
      157	           13 	
      158	            6 	
      159	            5 	
      160	           14 	
      161	            8 	
      162	            9 	
      163	           11 	
      164	            3 	
      165	           10 	
      166	            9 	
      167	           11 	
      168	            9 	
      169	            4 	
      170	            9 	
      171	           12 	
      172	            8 	
      173	           11 	
      174	           12 	
      175	            4 	
      176	            8 	
      177	            7 	
      178	            4 	
      179	            9 	
      180	            6 	
      181	            8 	
      182	            9 	
      183	            8 	
      184	            7 	
      185	            6 	
      186	            3 	
      187	            1 	
      188	            4 	
      189	            2 	
      190	            9 	
      191	            7 	
      192	            5 	
      193	           11 	
      194	            3 	
      195	            4 	
      196	            7 	
      197	            3 	
      198	            5 	
      199	            3 	
      200	           11 	
      201	            7 	
      202	            9 	
      203	           10 	
      204	            8 	
      205	            3 	
      206	           15 	
      207	            7 	
      208	            7 	
      209	            6 	
      210	           13 	
      211	            9 	
      212	            7 	
      213	           10 	
      214	           16 	
      215	            7 	
      216	            7 	
      217	           10 	
      218	            9 	
      219	            4 	
      220	           12 	
      221	            5 	
      222	           13 	
      223	            5 	
      224	           12 	
      225	           10 	
      226	           10 	
      227	            5 	
      228	            8 	
      229	            5 	
      230	            8 	
      231	            9 	
      232	           14 	
      233	            9 	
      234	            6 	
      235	            7 	
      236	            8 	
      237	            9 	
      238	            6 	
      239	            7 	
      240	           11 	
      241	            8 	
      242	            8 	
      243	            5 	
      244	            7 	
      245	            9 	
      246	            4 	
      247	           10 	
      248	           12 	
      249	           10 	
      250	           11 	
      251	            8 	
      252	            7 	
      253	           13 	
      254	            9 	
      255	            1 	
