Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-07-17
Time (HH:MM:SS):	18:26:04
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	          186 	
        2	          193 	
        3	          197 	
        4	          189 	
        5	          169 	
        6	          188 	
        7	          197 	
        8	          208 	
        9	          201 	
       10	          211 	
       11	          167 	
       12	          191 	
       13	          192 	
       14	          199 	
       15	          198 	
       16	          197 	
       17	          186 	
       18	          183 	
       19	          170 	
       20	          181 	
       21	          189 	
       22	          204 	
       23	          171 	
       24	          201 	
       25	          200 	
       26	          198 	
       27	          197 	
       28	          206 	
       29	          222 	
       30	          180 	
       31	          208 	
       32	          183 	
       33	          239 	
       34	          191 	
       35	          208 	
       36	          198 	
       37	          177 	
       38	          204 	
       39	          176 	
       40	          204 	
       41	          194 	
       42	          199 	
       43	          218 	
       44	          204 	
       45	          172 	
       46	          177 	
       47	          181 	
       48	          174 	
       49	          200 	
       50	          206 	
       51	          193 	
       52	          186 	
       53	          172 	
       54	          187 	
       55	          202 	
       56	          192 	
       57	          182 	
       58	          185 	
       59	          196 	
       60	          203 	
       61	          207 	
       62	          190 	
       63	          190 	
       64	          168 	
       65	          198 	
       66	          184 	
       67	          178 	
       68	          190 	
       69	          191 	
       70	          187 	
       71	          196 	
       72	          186 	
       73	          212 	
       74	          208 	
       75	          189 	
       76	          206 	
       77	          177 	
       78	          193 	
       79	          211 	
       80	          187 	
       81	          215 	
       82	          201 	
       83	          182 	
       84	          177 	
       85	          201 	
       86	          212 	
       87	          193 	
       88	          182 	
       89	          183 	
       90	          166 	
       91	          201 	
       92	          193 	
       93	          178 	
       94	          202 	
       95	          194 	
       96	          223 	
       97	          225 	
       98	          197 	
       99	          201 	
      100	          219 	
      101	          193 	
      102	          203 	
      103	          199 	
      104	          189 	
      105	          174 	
      106	          189 	
      107	          186 	
      108	          189 	
      109	          216 	
      110	          188 	
      111	          195 	
      112	          195 	
      113	          187 	
      114	          170 	
      115	          197 	
      116	          190 	
      117	          167 	
      118	          188 	
      119	          220 	
      120	          212 	
      121	          196 	
      122	          177 	
      123	          220 	
      124	          207 	
      125	          166 	
      126	          177 	
      127	          199 	
      128	          183 	
      129	          199 	
      130	          191 	
      131	          198 	
      132	          196 	
      133	          189 	
      134	          183 	
      135	          168 	
      136	          218 	
      137	          208 	
      138	          211 	
      139	          196 	
      140	          159 	
      141	          203 	
      142	          189 	
      143	          194 	
      144	          187 	
      145	          194 	
      146	          179 	
      147	          179 	
      148	          195 	
      149	          192 	
      150	          213 	
      151	          212 	
      152	          194 	
      153	          171 	
      154	          209 	
      155	          208 	
      156	          193 	
      157	          182 	
      158	          214 	
      159	          190 	
      160	          182 	
      161	          190 	
      162	          205 	
      163	          219 	
      164	          189 	
      165	          192 	
      166	          169 	
      167	          217 	
      168	          190 	
      169	          185 	
      170	          198 	
      171	          193 	
      172	          168 	
      173	          180 	
      174	          207 	
      175	          166 	
      176	          206 	
      177	          180 	
      178	          239 	
      179	          167 	
      180	          190 	
      181	          189 	
      182	          185 	
      183	          163 	
      184	          202 	
      185	          199 	
      186	          192 	
      187	          186 	
      188	          180 	
      189	          175 	
      190	          203 	
      191	          185 	
      192	          199 	
      193	          204 	
      194	          178 	
      195	          192 	
      196	          225 	
      197	          183 	
      198	          213 	
      199	          167 	
