Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-07-17
Time (HH:MM:SS):	18:23:27
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	          399 	
        2	          389 	
        3	          357 	
        4	          378 	
        5	          397 	
        6	          397 	
        7	          393 	
        8	          396 	
        9	          380 	
       10	          409 	
       11	          415 	
       12	          388 	
       13	          377 	
       14	          374 	
       15	          420 	
       16	          433 	
       17	          389 	
       18	          417 	
       19	          410 	
       20	          414 	
       21	          405 	
       22	          397 	
       23	          390 	
       24	          373 	
       25	          397 	
       26	          377 	
       27	          406 	
       28	          412 	
       29	          408 	
       30	          413 	
       31	          401 	
       32	          376 	
       33	          437 	
       34	          374 	
       35	          409 	
       36	          409 	
       37	          387 	
       38	          400 	
       39	          419 	
       40	          393 	
       41	          400 	
       42	          424 	
       43	          399 	
       44	          405 	
       45	          384 	
       46	          425 	
       47	          410 	
       48	          429 	
       49	          441 	
       50	          416 	
       51	          431 	
       52	          413 	
       53	          438 	
       54	          490 	
       55	          375 	
       56	          450 	
       57	          434 	
       58	          406 	
       59	          396 	
       60	          372 	
       61	          348 	
       62	          368 	
       63	          366 	
       64	          410 	
       65	          330 	
       66	          389 	
       67	          399 	
       68	          450 	
       69	          403 	
       70	          365 	
       71	          386 	
       72	          374 	
       73	          354 	
       74	          420 	
       75	          406 	
       76	          407 	
       77	          405 	
       78	          408 	
       79	          401 	
       80	          380 	
       81	          347 	
       82	          407 	
       83	          366 	
       84	          424 	
       85	          430 	
       86	          402 	
       87	          415 	
       88	          428 	
       89	          395 	
       90	          375 	
       91	          380 	
       92	          388 	
       93	          413 	
       94	          436 	
       95	          395 	
       96	          415 	
       97	          392 	
       98	          382 	
       99	          358 	
      100	          402 	
      101	          380 	
      102	          426 	
      103	          376 	
      104	          418 	
      105	          396 	
      106	          424 	
      107	          405 	
      108	          399 	
      109	          379 	
      110	          376 	
      111	          368 	
      112	          347 	
      113	          400 	
      114	          382 	
      115	          359 	
      116	          367 	
      117	          405 	
      118	          387 	
      119	          397 	
      120	          383 	
      121	          416 	
      122	          357 	
      123	          430 	
      124	          365 	
      125	          372 	
      126	          405 	
      127	          383 	
      128	          386 	
      129	          362 	
      130	          378 	
      131	          381 	
      132	          390 	
      133	          417 	
      134	          404 	
      135	          383 	
      136	          384 	
      137	          423 	
      138	          382 	
      139	          400 	
      140	          400 	
      141	          420 	
      142	          386 	
      143	          446 	
      144	          395 	
      145	          414 	
      146	          401 	
      147	          375 	
      148	          421 	
      149	          381 	
      150	          384 	
      151	          377 	
      152	          423 	
      153	          369 	
      154	          386 	
      155	          386 	
      156	          406 	
      157	          415 	
      158	          369 	
      159	          433 	
      160	          379 	
      161	          410 	
      162	          383 	
      163	          419 	
      164	          363 	
      165	          389 	
      166	          395 	
      167	          429 	
      168	          365 	
      169	          382 	
      170	          396 	
      171	          406 	
      172	          370 	
      173	          372 	
      174	          424 	
      175	          376 	
      176	          417 	
      177	          381 	
      178	          420 	
      179	          396 	
      180	          437 	
      181	          419 	
      182	          424 	
      183	          372 	
      184	          420 	
      185	          376 	
      186	          369 	
      187	          373 	
      188	          400 	
      189	          378 	
      190	          359 	
      191	          385 	
      192	          378 	
      193	          429 	
      194	          389 	
      195	          388 	
      196	          401 	
      197	          363 	
      198	          398 	
      199	          366 	
      200	          390 	
      201	          427 	
      202	          424 	
      203	          391 	
      204	          393 	
      205	          394 	
