Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-07-17
Time (HH:MM:SS):	18:22:38
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	          252 	
        2	          270 	
        3	          266 	
        4	          298 	
        5	          280 	
        6	          284 	
        7	          290 	
        8	          284 	
        9	          246 	
       10	          286 	
       11	          243 	
       12	          294 	
       13	          305 	
       14	          284 	
       15	          318 	
       16	          285 	
       17	          296 	
       18	          254 	
       19	          242 	
       20	          262 	
       21	          253 	
       22	          280 	
       23	          298 	
       24	          292 	
       25	          296 	
       26	          254 	
       27	          295 	
       28	          274 	
       29	          258 	
       30	          266 	
       31	          281 	
       32	          268 	
       33	          297 	
       34	          262 	
       35	          260 	
       36	          267 	
       37	          271 	
       38	          252 	
       39	          267 	
       40	          276 	
       41	          284 	
       42	          270 	
       43	          298 	
       44	          282 	
       45	          265 	
       46	          266 	
       47	          276 	
       48	          267 	
       49	          276 	
       50	          273 	
       51	          269 	
       52	          300 	
       53	          285 	
       54	          286 	
       55	          268 	
       56	          289 	
       57	          298 	
       58	          263 	
       59	          295 	
       60	          289 	
       61	          266 	
       62	          264 	
       63	          259 	
       64	          253 	
       65	          263 	
       66	          269 	
       67	          285 	
       68	          288 	
       69	          285 	
       70	          266 	
       71	          316 	
       72	          252 	
       73	          284 	
       74	          298 	
       75	          295 	
       76	          311 	
       77	          282 	
       78	          264 	
       79	          258 	
       80	          273 	
       81	          275 	
       82	          264 	
       83	          264 	
       84	          256 	
       85	          275 	
       86	          293 	
       87	          261 	
       88	          264 	
       89	          270 	
       90	          277 	
       91	          287 	
       92	          265 	
       93	          258 	
       94	          255 	
       95	          299 	
       96	          268 	
       97	          273 	
       98	          283 	
       99	          290 	
      100	          284 	
      101	          235 	
      102	          263 	
      103	          293 	
      104	          246 	
      105	          271 	
      106	          276 	
      107	          266 	
      108	          265 	
      109	          296 	
      110	          265 	
      111	          247 	
      112	          257 	
      113	          279 	
      114	          309 	
      115	          261 	
      116	          294 	
      117	          279 	
      118	          302 	
      119	          316 	
      120	          272 	
      121	          270 	
      122	          255 	
      123	          282 	
      124	          276 	
      125	          299 	
      126	          265 	
      127	          305 	
      128	          269 	
      129	          294 	
      130	          266 	
      131	          282 	
      132	          252 	
      133	          303 	
      134	          280 	
      135	          254 	
      136	          289 	
      137	          261 	
      138	          281 	
      139	          267 	
      140	          261 	
      141	          254 	
      142	          288 	
      143	          261 	
      144	          297 	
      145	          290 	
      146	          261 	
      147	          279 	
      148	          264 	
      149	          281 	
      150	          292 	
      151	          249 	
      152	          261 	
      153	          258 	
      154	          267 	
      155	          286 	
      156	          256 	
      157	          247 	
      158	          291 	
      159	          254 	
      160	          272 	
      161	          289 	
      162	          251 	
      163	          282 	
      164	          292 	
      165	          294 	
      166	          273 	
      167	          263 	
      168	          299 	
      169	          266 	
      170	          276 	
      171	          272 	
      172	          290 	
      173	          266 	
      174	          265 	
      175	          293 	
      176	          281 	
      177	          279 	
      178	          250 	
      179	          281 	
      180	          282 	
      181	          262 	
      182	          280 	
      183	          269 	
      184	          257 	
      185	          294 	
      186	          285 	
      187	          296 	
      188	          269 	
      189	          289 	
      190	          264 	
      191	          283 	
      192	          263 	
      193	          292 	
      194	          272 	
      195	          282 	
      196	          305 	
      197	          270 	
      198	          274 	
      199	          293 	
      200	          298 	
      201	          267 	
      202	          295 	
