Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-07-17
Time (HH:MM:SS):	18:18:27
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	           15 	
        2	            8 	
        3	           11 	
        4	           17 	
        5	           12 	
        6	           20 	
        7	           10 	
        8	            8 	
        9	           10 	
       10	           15 	
       11	           18 	
       12	           12 	
       13	           11 	
       14	           10 	
       15	           11 	
       16	           16 	
       17	           12 	
       18	            8 	
       19	           19 	
       20	           10 	
       21	           13 	
       22	           17 	
       23	           18 	
       24	           13 	
       25	           11 	
       26	           17 	
       27	           15 	
       28	            9 	
       29	           13 	
       30	           10 	
       31	            7 	
       32	            9 	
       33	           15 	
       34	            9 	
       35	           12 	
       36	           15 	
       37	            9 	
       38	           16 	
       39	           13 	
       40	           17 	
       41	           16 	
       42	            9 	
       43	           17 	
       44	           11 	
       45	           17 	
       46	           13 	
       47	           12 	
       48	           11 	
       49	            4 	
       50	           14 	
       51	           18 	
       52	           14 	
       53	           24 	
       54	           10 	
       55	           13 	
       56	           16 	
       57	           11 	
       58	           18 	
       59	           15 	
       60	            9 	
       61	           17 	
       62	           12 	
       63	           18 	
       64	            8 	
       65	           17 	
       66	           11 	
       67	           10 	
       68	           19 	
       69	           12 	
       70	            8 	
       71	           19 	
       72	           16 	
       73	           15 	
       74	            6 	
       75	           14 	
       76	           12 	
       77	           12 	
       78	           14 	
       79	           13 	
       80	           11 	
       81	           10 	
       82	           15 	
       83	           17 	
       84	           13 	
       85	           14 	
       86	           11 	
       87	           20 	
       88	           15 	
       89	           16 	
       90	           17 	
       91	           15 	
       92	           17 	
       93	           10 	
       94	           16 	
       95	            9 	
       96	           15 	
       97	            8 	
       98	           13 	
       99	           15 	
      100	            9 	
      101	            8 	
      102	           20 	
      103	           11 	
      104	            7 	
      105	           15 	
      106	           11 	
      107	           15 	
      108	           10 	
      109	           15 	
      110	           15 	
      111	           13 	
      112	           10 	
      113	           18 	
      114	            8 	
      115	           15 	
      116	           12 	
      117	           15 	
      118	           11 	
      119	            7 	
      120	           16 	
      121	           11 	
      122	           13 	
      123	           16 	
      124	           10 	
      125	           15 	
      126	           14 	
      127	           11 	
      128	           13 	
      129	           13 	
      130	           13 	
      131	           18 	
      132	           18 	
      133	           16 	
      134	            7 	
      135	           14 	
      136	            8 	
      137	           16 	
      138	           11 	
      139	           13 	
      140	           15 	
      141	           15 	
      142	           14 	
      143	           14 	
      144	           23 	
      145	           19 	
      146	           14 	
      147	           14 	
      148	           11 	
      149	           10 	
      150	            7 	
      151	           10 	
      152	           16 	
      153	           18 	
      154	           13 	
      155	           15 	
      156	           11 	
      157	           12 	
      158	           13 	
      159	           12 	
      160	           14 	
      161	           11 	
      162	           18 	
      163	           15 	
      164	           18 	
      165	           18 	
      166	           12 	
      167	           12 	
      168	           17 	
      169	           14 	
      170	           12 	
      171	           15 	
      172	           10 	
      173	           20 	
      174	           13 	
      175	           12 	
      176	            6 	
      177	           12 	
      178	           15 	
      179	           11 	
      180	           15 	
      181	            3 	
      182	           10 	
      183	           14 	
      184	           22 	
      185	           10 	
      186	           14 	
      187	            8 	
      188	           19 	
      189	           19 	
      190	           14 	
      191	            7 	
      192	            8 	
      193	           12 	
      194	           14 	
      195	           12 	
      196	           10 	
      197	           10 	
      198	           14 	
      199	            9 	
      200	           11 	
      201	           15 	
      202	           12 	
      203	           15 	
      204	           13 	
