Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-07-17
Time (HH:MM:SS):	18:16:29
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	          736 	
        2	          704 	
        3	          741 	
        4	          717 	
        5	          714 	
        6	          717 	
        7	          749 	
        8	          736 	
        9	          655 	
       10	          770 	
       11	          711 	
       12	          697 	
       13	          763 	
       14	          673 	
       15	          715 	
       16	          734 	
       17	          785 	
       18	          804 	
       19	          729 	
       20	          694 	
       21	          738 	
       22	          708 	
       23	          705 	
       24	          732 	
       25	          757 	
       26	          736 	
       27	          743 	
       28	          679 	
       29	          754 	
       30	          804 	
       31	          778 	
       32	          794 	
       33	          751 	
       34	          752 	
       35	          759 	
       36	          731 	
       37	          723 	
       38	          726 	
       39	          747 	
       40	          716 	
       41	          699 	
       42	          775 	
       43	          718 	
       44	          739 	
       45	          745 	
       46	          759 	
       47	          741 	
       48	          727 	
       49	          798 	
       50	          768 	
       51	          713 	
       52	          756 	
       53	          728 	
       54	          702 	
       55	          735 	
       56	          730 	
       57	          766 	
       58	          743 	
       59	          728 	
       60	          752 	
       61	          750 	
       62	          768 	
       63	          762 	
       64	          747 	
       65	          790 	
       66	          748 	
       67	          772 	
       68	          780 	
       69	          759 	
       70	          752 	
       71	          786 	
       72	          733 	
       73	          744 	
       74	          751 	
       75	          721 	
       76	          682 	
       77	          739 	
       78	          711 	
       79	          695 	
       80	          744 	
       81	          741 	
       82	          784 	
       83	          759 	
       84	          745 	
       85	          744 	
       86	          762 	
       87	          758 	
       88	          750 	
       89	          729 	
       90	          785 	
       91	          714 	
       92	          751 	
       93	          732 	
       94	          687 	
       95	          765 	
       96	          743 	
       97	          722 	
       98	          795 	
       99	          763 	
      100	          727 	
      101	          746 	
      102	          685 	
      103	          736 	
      104	          765 	
      105	          780 	
      106	          748 	
      107	          739 	
      108	          745 	
      109	          721 	
      110	          727 	
      111	          797 	
      112	          685 	
      113	          716 	
      114	          702 	
      115	          734 	
      116	          777 	
      117	          705 	
      118	          765 	
      119	          764 	
      120	          720 	
      121	          777 	
      122	          761 	
      123	          767 	
      124	          716 	
      125	          709 	
      126	          678 	
      127	          758 	
      128	          708 	
      129	          718 	
      130	          704 	
      131	          797 	
      132	          745 	
      133	          755 	
      134	          757 	
      135	          785 	
      136	          746 	
      137	          773 	
      138	          749 	
      139	          696 	
      140	          718 	
      141	          697 	
      142	          680 	
      143	          769 	
      144	          689 	
      145	          753 	
      146	          662 	
      147	          666 	
      148	          676 	
      149	          770 	
      150	          778 	
      151	          809 	
      152	          754 	
      153	          762 	
      154	          771 	
      155	          760 	
      156	          743 	
      157	          788 	
      158	          777 	
      159	          699 	
      160	          749 	
      161	          679 	
      162	          678 	
      163	          756 	
      164	          729 	
      165	          703 	
      166	          743 	
      167	          746 	
      168	          698 	
      169	          788 	
      170	          690 	
      171	          738 	
      172	          677 	
      173	          740 	
      174	          687 	
      175	          740 	
      176	          752 	
      177	          726 	
      178	          665 	
      179	          702 	
      180	          701 	
      181	          733 	
      182	          755 	
      183	          784 	
      184	          752 	
      185	          746 	
      186	          718 	
      187	          718 	
      188	          710 	
      189	          734 	
      190	          734 	
      191	          751 	
      192	          824 	
      193	          776 	
      194	          761 	
      195	          734 	
      196	          730 	
      197	          713 	
      198	          701 	
      199	          749 	
      200	          728 	
      201	          725 	
      202	          787 	
      203	          729 	
      204	          788 	
