Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-07-17
Time (HH:MM:SS):	18:21:08
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	          332 	
        2	          339 	
        3	          322 	
        4	          327 	
        5	          322 	
        6	          332 	
        7	          302 	
        8	          326 	
        9	          331 	
       10	          355 	
       11	          351 	
       12	          360 	
       13	          322 	
       14	          368 	
       15	          347 	
       16	          337 	
       17	          374 	
       18	          351 	
       19	          330 	
       20	          344 	
       21	          323 	
       22	          338 	
       23	          346 	
       24	          305 	
       25	          327 	
       26	          295 	
       27	          294 	
       28	          338 	
       29	          350 	
       30	          336 	
       31	          338 	
       32	          323 	
       33	          344 	
       34	          308 	
       35	          319 	
       36	          311 	
       37	          305 	
       38	          313 	
       39	          347 	
       40	          326 	
       41	          336 	
       42	          309 	
       43	          325 	
       44	          303 	
       45	          317 	
       46	          320 	
       47	          327 	
       48	          365 	
       49	          334 	
       50	          334 	
       51	          334 	
       52	          330 	
       53	          343 	
       54	          326 	
       55	          330 	
       56	          333 	
       57	          333 	
       58	          378 	
       59	          330 	
       60	          296 	
       61	          344 	
       62	          313 	
       63	          344 	
       64	          301 	
       65	          309 	
       66	          292 	
       67	          343 	
       68	          356 	
       69	          325 	
       70	          334 	
       71	          327 	
       72	          321 	
       73	          310 	
       74	          309 	
       75	          318 	
       76	          316 	
       77	          356 	
       78	          345 	
       79	          336 	
       80	          300 	
       81	          345 	
       82	          292 	
       83	          293 	
       84	          291 	
       85	          315 	
       86	          327 	
       87	          330 	
       88	          315 	
       89	          311 	
       90	          346 	
       91	          330 	
       92	          359 	
       93	          302 	
       94	          326 	
       95	          312 	
       96	          355 	
       97	          334 	
       98	          325 	
       99	          294 	
      100	          326 	
      101	          328 	
      102	          311 	
      103	          354 	
      104	          333 	
      105	          311 	
      106	          334 	
      107	          337 	
      108	          321 	
      109	          324 	
      110	          296 	
      111	          347 	
      112	          332 	
      113	          334 	
      114	          333 	
      115	          328 	
      116	          331 	
      117	          343 	
      118	          337 	
      119	          329 	
      120	          341 	
      121	          363 	
      122	          337 	
      123	          330 	
      124	          319 	
      125	          312 	
      126	          331 	
      127	          319 	
      128	          283 	
      129	          324 	
      130	          316 	
      131	          314 	
      132	          316 	
      133	          314 	
      134	          341 	
      135	          330 	
      136	          377 	
      137	          323 	
      138	          335 	
      139	          351 	
      140	          338 	
      141	          369 	
      142	          318 	
      143	          317 	
      144	          321 	
      145	          297 	
      146	          293 	
      147	          364 	
      148	          349 	
      149	          321 	
      150	          309 	
      151	          346 	
      152	          306 	
      153	          338 	
      154	          328 	
      155	          315 	
      156	          342 	
      157	          374 	
      158	          316 	
      159	          329 	
      160	          322 	
      161	          357 	
      162	          322 	
      163	          295 	
      164	          329 	
      165	          322 	
      166	          347 	
      167	          364 	
      168	          352 	
      169	          328 	
      170	          301 	
      171	          330 	
      172	          341 	
      173	          302 	
      174	          325 	
      175	          289 	
      176	          331 	
      177	          339 	
      178	          347 	
      179	          327 	
      180	          336 	
      181	          292 	
      182	          315 	
      183	          300 	
      184	          347 	
      185	          348 	
      186	          329 	
      187	          343 	
      188	          310 	
      189	          324 	
      190	          303 	
      191	          325 	
      192	          321 	
      193	          317 	
      194	          315 	
      195	          346 	
      196	          336 	
      197	          355 	
      198	          312 	
      199	          325 	
      200	          354 	
      201	          351 	
      202	          331 	
      203	          325 	
      204	          329 	
      205	          309 	
      206	          315 	
