Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-07-18
Time (HH:MM:SS):	16:03:46
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	          307 	
        2	          238 	
        3	          220 	
        4	          252 	
        5	          247 	
        6	          265 	
        7	          258 	
        8	          256 	
        9	          242 	
       10	          268 	
       11	          237 	
       12	          264 	
       13	          251 	
       14	          274 	
       15	          254 	
       16	          257 	
       17	          214 	
       18	          230 	
       19	          234 	
       20	          239 	
       21	          235 	
       22	          255 	
       23	          219 	
       24	          238 	
       25	          265 	
       26	          265 	
       27	          259 	
       28	          263 	
       29	          268 	
       30	          248 	
       31	          243 	
       32	          268 	
       33	          263 	
       34	          256 	
       35	          255 	
       36	          258 	
       37	          248 	
       38	          257 	
       39	          233 	
       40	          246 	
       41	          261 	
       42	          238 	
       43	          272 	
       44	          264 	
       45	          290 	
       46	          246 	
       47	          269 	
       48	          243 	
       49	          252 	
       50	          256 	
       51	          262 	
       52	          256 	
       53	          248 	
       54	          224 	
       55	          278 	
       56	          240 	
       57	          274 	
       58	          254 	
       59	          250 	
       60	          221 	
       61	          238 	
       62	          236 	
       63	          252 	
       64	          259 	
       65	          235 	
       66	          219 	
       67	          247 	
       68	          253 	
       69	          241 	
       70	          247 	
       71	          253 	
       72	          246 	
       73	          270 	
       74	          238 	
       75	          232 	
       76	          238 	
       77	          251 	
       78	          253 	
       79	          238 	
       80	          227 	
       81	          254 	
       82	          245 	
       83	          234 	
       84	          237 	
       85	          245 	
       86	          248 	
       87	          238 	
       88	          247 	
       89	          249 	
       90	          260 	
       91	          218 	
       92	          237 	
       93	          270 	
       94	          245 	
       95	          252 	
       96	          218 	
       97	          250 	
       98	          283 	
       99	          279 	
      100	          232 	
      101	          239 	
      102	          243 	
      103	          239 	
      104	          243 	
      105	          233 	
      106	          222 	
      107	          232 	
      108	          251 	
      109	          250 	
      110	          210 	
      111	          274 	
      112	          260 	
      113	          225 	
      114	          257 	
      115	          251 	
      116	          267 	
      117	          251 	
      118	          251 	
      119	          267 	
      120	          245 	
      121	          285 	
      122	          273 	
      123	          269 	
      124	          235 	
      125	          285 	
      126	          244 	
      127	          258 	
      128	          278 	
      129	          246 	
      130	          258 	
      131	          234 	
      132	          248 	
      133	          237 	
      134	          248 	
      135	          250 	
      136	          237 	
      137	          294 	
      138	          247 	
      139	          272 	
      140	          252 	
      141	          228 	
      142	          230 	
      143	          244 	
      144	          248 	
      145	          260 	
      146	          227 	
      147	          258 	
      148	          221 	
      149	          255 	
      150	          223 	
      151	          250 	
      152	          272 	
      153	          254 	
      154	          247 	
      155	          235 	
      156	          241 	
      157	          264 	
      158	          247 	
      159	          266 	
      160	          240 	
      161	          255 	
      162	          238 	
      163	          236 	
      164	          247 	
      165	          263 	
      166	          237 	
      167	          251 	
      168	          250 	
      169	          245 	
      170	          245 	
      171	          242 	
      172	          275 	
      173	          225 	
      174	          256 	
      175	          238 	
      176	          265 	
      177	          274 	
      178	          262 	
      179	          255 	
      180	          222 	
      181	          273 	
      182	          252 	
      183	          237 	
      184	          260 	
      185	          251 	
      186	          245 	
      187	          225 	
      188	          253 	
      189	          252 	
      190	          237 	
      191	          228 	
      192	          251 	
      193	          236 	
      194	          272 	
      195	          214 	
      196	          236 	
      197	          230 	
      198	          238 	
      199	          251 	
      200	          263 	
      201	          251 	
      202	          246 	
      203	          235 	
      204	          261 	
      205	          260 	
      206	          239 	
      207	          216 	
      208	          253 	
      209	          233 	
      210	          255 	
      211	          230 	
