Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-07-18
Time (HH:MM:SS):	16:05:40
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	          752 	
        2	          778 	
        3	          771 	
        4	          753 	
        5	          718 	
        6	          806 	
        7	          792 	
        8	          727 	
        9	          840 	
       10	          745 	
       11	          737 	
       12	          803 	
       13	          764 	
       14	          744 	
       15	          760 	
       16	          793 	
       17	          776 	
       18	          772 	
       19	          781 	
       20	          784 	
       21	          757 	
       22	          773 	
       23	          785 	
       24	          738 	
       25	          781 	
       26	          823 	
       27	          765 	
       28	          784 	
       29	          763 	
       30	          750 	
       31	          723 	
       32	          789 	
       33	          824 	
       34	          746 	
       35	          791 	
       36	          734 	
       37	          762 	
       38	          718 	
       39	          806 	
       40	          760 	
       41	          726 	
       42	          807 	
       43	          713 	
       44	          675 	
       45	          749 	
       46	          769 	
       47	          765 	
       48	          761 	
       49	          783 	
       50	          784 	
       51	          769 	
       52	          767 	
       53	          774 	
       54	          733 	
       55	          751 	
       56	          778 	
       57	          758 	
       58	          775 	
       59	          740 	
       60	          787 	
       61	          810 	
       62	          772 	
       63	          775 	
       64	          720 	
       65	          788 	
       66	          765 	
       67	          711 	
       68	          800 	
       69	          794 	
       70	          746 	
       71	          734 	
       72	          772 	
       73	          731 	
       74	          822 	
       75	          777 	
       76	          730 	
       77	          768 	
       78	          717 	
       79	          741 	
       80	          784 	
       81	          806 	
       82	          724 	
       83	          783 	
       84	          761 	
       85	          725 	
       86	          747 	
       87	          754 	
       88	          679 	
       89	          739 	
       90	          779 	
       91	          777 	
       92	          806 	
       93	          748 	
       94	          751 	
       95	          703 	
       96	          797 	
       97	          789 	
       98	          811 	
       99	          766 	
      100	          760 	
      101	          727 	
      102	          793 	
      103	          814 	
      104	          765 	
      105	          777 	
      106	          821 	
      107	          741 	
      108	          815 	
      109	          774 	
      110	          754 	
      111	          731 	
      112	          805 	
      113	          725 	
      114	          755 	
      115	          739 	
      116	          779 	
      117	          768 	
      118	          809 	
      119	          773 	
      120	          766 	
      121	          778 	
      122	          791 	
      123	          742 	
      124	          728 	
      125	          779 	
      126	          837 	
      127	          749 	
      128	          759 	
      129	          770 	
      130	          769 	
      131	          741 	
      132	          759 	
      133	          714 	
      134	          779 	
      135	          793 	
      136	          796 	
      137	          717 	
      138	          748 	
      139	          789 	
      140	          737 	
      141	          726 	
      142	          766 	
      143	          751 	
      144	          689 	
      145	          787 	
      146	          793 	
      147	          766 	
      148	          770 	
      149	          759 	
      150	          764 	
      151	          742 	
      152	          794 	
      153	          791 	
      154	          731 	
      155	          785 	
      156	          744 	
      157	          788 	
      158	          763 	
      159	          792 	
      160	          802 	
      161	          767 	
      162	          740 	
      163	          719 	
      164	          743 	
      165	          770 	
      166	          776 	
      167	          756 	
      168	          746 	
      169	          787 	
      170	          755 	
      171	          780 	
      172	          762 	
      173	          750 	
      174	          795 	
      175	          755 	
      176	          760 	
      177	          756 	
      178	          743 	
      179	          821 	
      180	          756 	
      181	          796 	
      182	          789 	
      183	          813 	
      184	          775 	
      185	          780 	
      186	          767 	
      187	          767 	
      188	          763 	
      189	          746 	
      190	          807 	
      191	          822 	
      192	          766 	
      193	          784 	
      194	          710 	
      195	          798 	
      196	          751 	
      197	          760 	
      198	          734 	
      199	          766 	
      200	          796 	
      201	          757 	
      202	          760 	
      203	          795 	
